human_symbol,incidence_n_mutations,incidence_n_altered_samples,incidence_n_profiled_samples,incidence_pct,is_cancer_gene,n_reference_profiled,n_case_profiled,n_reference_mutated,n_case_mutated,is_candidate,candidate_gene_symbols,candidate_gene_labels,candidate_groups,candidate_group,n_total_profiled,n_total_mutated,profile_denominator_matches_incidence,test_status,reference_prevalence_pct,case_prevalence_pct,prevalence_difference_pct,corrected_odds_ratio,corrected_log2_odds_ratio,odds_ratio,p_value,q_value_all_mutated_genes,n_fdr_tests,association_direction,is_significant_candidate,volcano_category,candidate_group_plot
MRNIP,1,1,147,0.7,No,115,32,1,0,FALSE,NA,NA,NA,NA,147,1,TRUE,tested,0.8695652173913043,0,-0.8695652173913043,1.1743589743589744,0.2318734743473333,0,0.9999999999999999,1,18512,Not significant,FALSE,Not significant,NA
MRPL12,1,1,147,0.7,No,115,32,1,0,FALSE,NA,NA,NA,NA,147,1,TRUE,tested,0.8695652173913043,0,-0.8695652173913043,1.1743589743589744,0.2318734743473333,0,0.9999999999999999,1,18512,Not significant,FALSE,Not significant,NA
MRPL14,1,1,147,0.7,No,115,32,1,0,FALSE,NA,NA,NA,NA,147,1,TRUE,tested,0.8695652173913043,0,-0.8695652173913043,1.1743589743589744,0.2318734743473333,0,0.9999999999999999,1,18512,Not significant,FALSE,Not significant,NA
MRPL17,1,1,147,0.7,No,115,32,1,0,FALSE,NA,NA,NA,NA,147,1,TRUE,tested,0.8695652173913043,0,-0.8695652173913043,1.1743589743589744,0.2318734743473333,0,0.9999999999999999,1,18512,Not significant,FALSE,Not significant,NA
MRPL23,1,1,147,0.7,No,115,32,1,0,FALSE,NA,NA,NA,NA,147,1,TRUE,tested,0.8695652173913043,0,-0.8695652173913043,1.1743589743589744,0.2318734743473333,0,0.9999999999999999,1,18512,Not significant,FALSE,Not significant,NA
MRPL32,1,1,147,0.7,No,115,32,1,0,FALSE,NA,NA,NA,NA,147,1,TRUE,tested,0.8695652173913043,0,-0.8695652173913043,1.1743589743589744,0.2318734743473333,0,0.9999999999999999,1,18512,Not significant,FALSE,Not significant,NA
MRPL34,1,1,147,0.7,No,115,32,1,0,FALSE,NA,NA,NA,NA,147,1,TRUE,tested,0.8695652173913043,0,-0.8695652173913043,1.1743589743589744,0.2318734743473333,0,0.9999999999999999,1,18512,Not significant,FALSE,Not significant,NA
MRPL43,1,1,147,0.7,No,115,32,1,0,FALSE,NA,NA,NA,NA,147,1,TRUE,tested,0.8695652173913043,0,-0.8695652173913043,1.1743589743589744,0.2318734743473333,0,0.9999999999999999,1,18512,Not significant,FALSE,Not significant,NA
MRPL47,1,1,147,0.7,No,115,32,1,0,FALSE,NA,NA,NA,NA,147,1,TRUE,tested,0.8695652173913043,0,-0.8695652173913043,1.1743589743589744,0.2318734743473333,0,0.9999999999999999,1,18512,Not significant,FALSE,Not significant,NA
MRPL52,1,1,147,0.7,No,115,32,1,0,FALSE,NA,NA,NA,NA,147,1,TRUE,tested,0.8695652173913043,0,-0.8695652173913043,1.1743589743589744,0.2318734743473333,0,0.9999999999999999,1,18512,Not significant,FALSE,Not significant,NA
MRPS33,1,1,147,0.7,No,115,32,1,0,FALSE,NA,NA,NA,NA,147,1,TRUE,tested,0.8695652173913043,0,-0.8695652173913043,1.1743589743589744,0.2318734743473333,0,0.9999999999999999,1,18512,Not significant,FALSE,Not significant,NA
MRPS6,1,1,147,0.7,No,115,32,1,0,FALSE,NA,NA,NA,NA,147,1,TRUE,tested,0.8695652173913043,0,-0.8695652173913043,1.1743589743589744,0.2318734743473333,0,0.9999999999999999,1,18512,Not significant,FALSE,Not significant,NA
MRTO4,1,1,147,0.7,No,115,32,1,0,FALSE,NA,NA,NA,NA,147,1,TRUE,tested,0.8695652173913043,0,-0.8695652173913043,1.1743589743589744,0.2318734743473333,0,0.9999999999999999,1,18512,Not significant,FALSE,Not significant,NA
MS4A3,13,13,147,8.8,No,115,32,10,3,FALSE,NA,NA,NA,NA,147,13,TRUE,tested,8.695652173913043,9.375,0.679347826086957,1.192090395480226,0.2534936386241877,1.0855947039009592,0.9999999999999999,1,18512,Not significant,FALSE,Not significant,NA
MSC,1,1,147,0.7,No,115,32,1,0,FALSE,NA,NA,NA,NA,147,1,TRUE,tested,0.8695652173913043,0,-0.8695652173913043,1.1743589743589744,0.2318734743473333,0,0.9999999999999999,1,18512,Not significant,FALSE,Not significant,NA
MT1F,1,1,147,0.7,No,115,32,1,0,FALSE,NA,NA,NA,NA,147,1,TRUE,tested,0.8695652173913043,0,-0.8695652173913043,1.1743589743589744,0.2318734743473333,0,0.9999999999999999,1,18512,Not significant,FALSE,Not significant,NA
MT1X,1,1,147,0.7,No,115,32,1,0,FALSE,NA,NA,NA,NA,147,1,TRUE,tested,0.8695652173913043,0,-0.8695652173913043,1.1743589743589744,0.2318734743473333,0,0.9999999999999999,1,18512,Not significant,FALSE,Not significant,NA
MT4,1,1,147,0.7,No,115,32,1,0,FALSE,NA,NA,NA,NA,147,1,TRUE,tested,0.8695652173913043,0,-0.8695652173913043,1.1743589743589744,0.2318734743473333,0,0.9999999999999999,1,18512,Not significant,FALSE,Not significant,NA
MTARC2,2,1,147,0.7,No,115,32,1,0,FALSE,NA,NA,NA,NA,147,1,TRUE,tested,0.8695652173913043,0,-0.8695652173913043,1.1743589743589744,0.2318734743473333,0,0.9999999999999999,1,18512,Not significant,FALSE,Not significant,NA
MTCH2,1,1,147,0.7,No,115,32,1,0,FALSE,NA,NA,NA,NA,147,1,TRUE,tested,0.8695652173913043,0,-0.8695652173913043,1.1743589743589744,0.2318734743473333,0,0.9999999999999999,1,18512,Not significant,FALSE,Not significant,NA
MTG1,1,1,147,0.7,No,115,32,1,0,FALSE,NA,NA,NA,NA,147,1,TRUE,tested,0.8695652173913043,0,-0.8695652173913043,1.1743589743589744,0.2318734743473333,0,0.9999999999999999,1,18512,Not significant,FALSE,Not significant,NA
MTRFR,1,1,147,0.7,No,115,32,1,0,FALSE,NA,NA,NA,NA,147,1,TRUE,tested,0.8695652173913043,0,-0.8695652173913043,1.1743589743589744,0.2318734743473333,0,0.9999999999999999,1,18512,Not significant,FALSE,Not significant,NA
MTRNR2L9,1,1,147,0.7,No,115,32,1,0,FALSE,NA,NA,NA,NA,147,1,TRUE,tested,0.8695652173913043,0,-0.8695652173913043,1.1743589743589744,0.2318734743473333,0,0.9999999999999999,1,18512,Not significant,FALSE,Not significant,NA
MTURN,1,1,147,0.7,No,115,32,1,0,FALSE,NA,NA,NA,NA,147,1,TRUE,tested,0.8695652173913043,0,-0.8695652173913043,1.1743589743589744,0.2318734743473333,0,0.9999999999999999,1,18512,Not significant,FALSE,Not significant,NA
MZB1,1,1,147,0.7,No,115,32,1,0,FALSE,NA,NA,NA,NA,147,1,TRUE,tested,0.8695652173913043,0,-0.8695652173913043,1.1743589743589744,0.2318734743473333,0,0.9999999999999999,1,18512,Not significant,FALSE,Not significant,NA
NAA20,1,1,147,0.7,No,115,32,1,0,FALSE,NA,NA,NA,NA,147,1,TRUE,tested,0.8695652173913043,0,-0.8695652173913043,1.1743589743589744,0.2318734743473333,0,0.9999999999999999,1,18512,Not significant,FALSE,Not significant,NA
NAPA-AS1,1,1,147,0.7,No,115,32,1,0,FALSE,NA,NA,NA,NA,147,1,TRUE,tested,0.8695652173913043,0,-0.8695652173913043,1.1743589743589744,0.2318734743473333,0,0.9999999999999999,1,18512,Not significant,FALSE,Not significant,NA
NCBP2,1,1,147,0.7,No,115,32,1,0,FALSE,NA,NA,NA,NA,147,1,TRUE,tested,0.8695652173913043,0,-0.8695652173913043,1.1743589743589744,0.2318734743473333,0,0.9999999999999999,1,18512,Not significant,FALSE,Not significant,NA
NDUFA2,1,1,147,0.7,No,115,32,1,0,FALSE,NA,NA,NA,NA,147,1,TRUE,tested,0.8695652173913043,0,-0.8695652173913043,1.1743589743589744,0.2318734743473333,0,0.9999999999999999,1,18512,Not significant,FALSE,Not significant,NA
NDUFA5,1,1,147,0.7,No,115,32,1,0,FALSE,NA,NA,NA,NA,147,1,TRUE,tested,0.8695652173913043,0,-0.8695652173913043,1.1743589743589744,0.2318734743473333,0,0.9999999999999999,1,18512,Not significant,FALSE,Not significant,NA
NDUFAB1,1,1,147,0.7,No,115,32,1,0,FALSE,NA,NA,NA,NA,147,1,TRUE,tested,0.8695652173913043,0,-0.8695652173913043,1.1743589743589744,0.2318734743473333,0,0.9999999999999999,1,18512,Not significant,FALSE,Not significant,NA
NDUFC2,1,1,147,0.7,No,115,32,1,0,FALSE,NA,NA,NA,NA,147,1,TRUE,tested,0.8695652173913043,0,-0.8695652173913043,1.1743589743589744,0.2318734743473333,0,0.9999999999999999,1,18512,Not significant,FALSE,Not significant,NA
NDUFS3,1,1,147,0.7,No,115,32,1,0,FALSE,NA,NA,NA,NA,147,1,TRUE,tested,0.8695652173913043,0,-0.8695652173913043,1.1743589743589744,0.2318734743473333,0,0.9999999999999999,1,18512,Not significant,FALSE,Not significant,NA
NDUFS5,2,1,147,0.7,No,115,32,1,0,FALSE,NA,NA,NA,NA,147,1,TRUE,tested,0.8695652173913043,0,-0.8695652173913043,1.1743589743589744,0.2318734743473333,0,0.9999999999999999,1,18512,Not significant,FALSE,Not significant,NA
NDUFV2,1,1,147,0.7,No,115,32,1,0,FALSE,NA,NA,NA,NA,147,1,TRUE,tested,0.8695652173913043,0,-0.8695652173913043,1.1743589743589744,0.2318734743473333,0,0.9999999999999999,1,18512,Not significant,FALSE,Not significant,NA
NEUROD2,1,1,147,0.7,No,115,32,1,0,FALSE,NA,NA,NA,NA,147,1,TRUE,tested,0.8695652173913043,0,-0.8695652173913043,1.1743589743589744,0.2318734743473333,0,0.9999999999999999,1,18512,Not significant,FALSE,Not significant,NA
NFYB,1,1,147,0.7,No,115,32,1,0,FALSE,NA,NA,NA,NA,147,1,TRUE,tested,0.8695652173913043,0,-0.8695652173913043,1.1743589743589744,0.2318734743473333,0,0.9999999999999999,1,18512,Not significant,FALSE,Not significant,NA
NKIRAS1,1,1,147,0.7,No,115,32,1,0,FALSE,NA,NA,NA,NA,147,1,TRUE,tested,0.8695652173913043,0,-0.8695652173913043,1.1743589743589744,0.2318734743473333,0,0.9999999999999999,1,18512,Not significant,FALSE,Not significant,NA
NKIRAS2,1,1,147,0.7,No,115,32,1,0,FALSE,NA,NA,NA,NA,147,1,TRUE,tested,0.8695652173913043,0,-0.8695652173913043,1.1743589743589744,0.2318734743473333,0,0.9999999999999999,1,18512,Not significant,FALSE,Not significant,NA
NKX2-1,3,3,176,1.7,Yes,115,61,2,1,FALSE,NA,NA,NA,NA,176,3,TRUE,tested,1.7391304347826086,1.639344262295082,-0.09978617248752664,1.1256198347107438,0.17071965585011428,0.9419816022613248,0.9999999999999999,1,18512,Not significant,FALSE,Not significant,NA
NKX2-3,1,1,147,0.7,No,115,32,1,0,FALSE,NA,NA,NA,NA,147,1,TRUE,tested,0.8695652173913043,0,-0.8695652173913043,1.1743589743589744,0.2318734743473333,0,0.9999999999999999,1,18512,Not significant,FALSE,Not significant,NA
NME1,1,1,147,0.7,No,115,32,1,0,FALSE,NA,NA,NA,NA,147,1,TRUE,tested,0.8695652173913043,0,-0.8695652173913043,1.1743589743589744,0.2318734743473333,0,0.9999999999999999,1,18512,Not significant,FALSE,Not significant,NA
