gene_symbol,analysis_family,analysis_scope,endpoint_id,endpoint_label,reference_group,case_group,gene_label,candidate_group,human_symbols,mutation_definition,n_reference_profiled,n_reference_mutated,n_case_profiled,n_case_mutated,n_informative_studies,informative_studies,test_method,study_adjustment,test_status,common_odds_ratio,common_odds_ratio_conf_low,common_odds_ratio_conf_high,corrected_common_odds_ratio,corrected_log2_common_odds_ratio,p_value,q_value,association_direction,candidate_group_plot
Huwe1,Recurrence / progression,Study-adjusted primary analysis,recurrence_pooled,Disease-free vs recurrent / progressed (DFCI + HGSC),Disease free,Recurred / progressed,Huwe1 / HUWE1,Predisposition,HUWE1,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,23,8,14,5,1,cscc_hgsc_bcm_2014,Two-sided Fisher exact test within HGSC; only one study profiles this candidate,Not applicable: candidate profiled in one informative study,tested,1.0405477904514693,0.2009749623355609,5.0710240358373415,1.0557275541795663,0.07823757433024722,1,1,Not significant,Predisposition (P)
Pkp4,Recurrence / progression,Study-adjusted primary analysis,recurrence_pooled,Disease-free vs recurrent / progressed (DFCI + HGSC),Disease free,Recurred / progressed,Pkp4 / PKP4,Initiation (I),PKP4,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,23,5,14,3,1,cscc_hgsc_bcm_2014,Two-sided Fisher exact test within HGSC; only one study profiles this candidate,Not applicable: candidate profiled in one informative study,tested,0.9823032552659758,0.12705083245161575,6.288808923682635,1.023715415019763,0.03381471299224388,1,1,Not significant,Initiation (I)
Plce1,Recurrence / progression,Study-adjusted primary analysis,recurrence_pooled,Disease-free vs recurrent / progressed (DFCI + HGSC),Disease free,Recurred / progressed,Plce1 / PLCE1,Initiation (I),PLCE1,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,23,9,14,6,1,cscc_hgsc_bcm_2014,Two-sided Fisher exact test within HGSC; only one study profiles this candidate,Not applicable: candidate profiled in one informative study,tested,1.1617898487560332,0.24231233989402806,5.453476292225335,1.1671826625386994,0.22303035857473902,1,1,Not significant,Initiation (I)
Psme4,Recurrence / progression,Study-adjusted primary analysis,recurrence_pooled,Disease-free vs recurrent / progressed (DFCI + HGSC),Disease free,Recurred / progressed,Psme4 / PSME4,Predisposition,PSME4,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,23,1,14,1,1,cscc_hgsc_bcm_2014,Two-sided Fisher exact test within HGSC; only one study profiles this candidate,Not applicable: candidate profiled in one informative study,tested,1.6673271201109965,0.02003293632979106,138.62123238861807,1.6666666666666665,0.736965594166206,1,1,Not significant,Predisposition (P)
Srgap1,Recurrence / progression,Study-adjusted primary analysis,recurrence_pooled,Disease-free vs recurrent / progressed (DFCI + HGSC),Disease free,Recurred / progressed,Srgap1 / SRGAP1,Initiation (I),SRGAP1,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,23,2,14,1,1,cscc_hgsc_bcm_2014,Two-sided Fisher exact test within HGSC; only one study profiles this candidate,Not applicable: candidate profiled in one informative study,tested,0.8122659420607088,0.01273079648619082,17.08842776685857,0.9555555555555555,-0.06558834162757687,1,1,Not significant,Initiation (I)
Tmprss9,Recurrence / progression,Study-adjusted primary analysis,recurrence_pooled,Disease-free vs recurrent / progressed (DFCI + HGSC),Disease free,Recurred / progressed,Tmprss9 / TMPRSS9,Initiation (I),TMPRSS9,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,23,2,14,1,1,cscc_hgsc_bcm_2014,Two-sided Fisher exact test within HGSC; only one study profiles this candidate,Not applicable: candidate profiled in one informative study,tested,0.8122659420607088,0.01273079648619082,17.08842776685857,0.9555555555555555,-0.06558834162757687,1,1,Not significant,Initiation (I)
Usp3,Recurrence / progression,Study-adjusted primary analysis,recurrence_pooled,Disease-free vs recurrent / progressed (DFCI + HGSC),Disease free,Recurred / progressed,Usp3 / USP3,Initiation (I),USP3,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,23,1,14,1,1,cscc_hgsc_bcm_2014,Two-sided Fisher exact test within HGSC; only one study profiles this candidate,Not applicable: candidate profiled in one informative study,tested,1.6673271201109965,0.02003293632979106,138.62123238861807,1.6666666666666665,0.736965594166206,1,1,Not significant,Initiation (I)
Ophn1,Recurrence / progression,Study-adjusted primary analysis,recurrence_pooled,Disease-free vs recurrent / progressed (DFCI + HGSC),Disease free,Recurred / progressed,Ophn1 / OPHN1,Initiation (I),OPHN1,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,23,0,14,0,0,,NA,NA,not_testable_no_mutation_variation,NA,NA,NA,1.6206896551724137,0.6966078565500652,NA,NA,Not testable,Initiation (I)
Otog,Recurrence / progression,Study-adjusted primary analysis,recurrence_pooled,Disease-free vs recurrent / progressed (DFCI + HGSC),Disease free,Recurred / progressed,Otog / OTOG,Initiation (I),OTOG,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,23,0,14,0,0,,NA,NA,not_testable_no_mutation_variation,NA,NA,NA,1.6206896551724137,0.6966078565500652,NA,NA,Not testable,Initiation (I)
Ube2d2a,Recurrence / progression,Study-adjusted primary analysis,recurrence_pooled,Disease-free vs recurrent / progressed (DFCI + HGSC),Disease free,Recurred / progressed,Ube2d2a / UBE2D2,Initiation (I),UBE2D2,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,23,0,14,0,0,,NA,NA,not_testable_no_mutation_variation,NA,NA,NA,1.6206896551724137,0.6966078565500652,NA,NA,Not testable,Initiation (I)
