gene_symbol,recurrence_n_skin_samples,gene_level_mean_vaf
Afg3l1,1,0.092
Aggf1,1,0.1
Agmo,1,0.1
Agt,1,0.091
Ahctf1,1,0.03
Aifm2,1,0.094
Ajm1,1,0.056
Ak1,1,0.053
Akap9,1,0.044
Akr1c12,1,0.017
Akr1d1,1,0.027
Aldh1b1,1,0.049
Aldh6a1,1,0.045
Aldh9a1,1,0.043
Alk,1,0.053
Alpi,1,0.086
Als2,1,0.049
Alx3,1,0.034
Ambra1,1,0.031
Amer1,1,0.063
Amfr,1,0.058
Amotl1,1,0.07
Amt,1,0.036
Anapc7,1,0.058
Angptl6,1,0.048
Ank2,1,0.083
Ankhd1,1,0.032
Ankrd11,1,0.026
Ankrd50,1,0.049
Ankrd6,1,0.023
Ankrd65,1,0.045
Anks1,1,0.037
Anks6,1,0.075
Ano2,1,0.049
Ano6,1,0.049
Anxa1,1,0.035
Ap2a2,1,0.03
Ap3b2,1,0.034
Ap5b1,1,0.053
Apaf1,1,0.049
Apba2,1,0.056
Apbb2,1,0.03
Apbb3,1,0.026
Apc2,1,0.04
Apol10b,1,0.024
Apol11a,1,0.059
Aqr,1,0.077
Arap1,1,0.077
Arc,1,0.067
Arcn1,4,0.0465
Arfgef3,1,0.058
Arhgap12,1,0.038
Arhgap21,1,0.046
Arhgap23,1,0.034
Arhgap25,1,0.054
Arhgap31,1,0.07
Arhgap44,1,0.077
Arhgap5,1,0.07
Arhgef11,1,0.092
Arhgef12,1,0.04
Arhgef19,1,0.055
Arhgef40,1,0.088
Arid2,1,0.061
Arid3b,1,0.091
Arl14ep,1,0.041
Arl16,1,0.024
Arl5c,1,0.067
Armc6,1,0.043
Armcx2,1,0.038
Arpc1b,1,0.067
Art2b,1,0.036
Asb8,1,0.048
Asic2,1,0.065
Asic3,1,0.031
Asic4,2,0.051000000000000004
Aspdh,1,0.035
Astn1,1,0.041
Atg4c,1,0.026
Atp1a1,1,0.1
Atp2b2,1,0.028
Atp6v0a2,1,0.053
Atp6v0e2,1,0.03
Atp6v1h,1,0.034
Atp8b3,1,0.044
Atp8b4,1,0.032
Atp8b5,1,0.0485
Atpaf2,1,0.035
Atrn,1,0.045
Atrnl1,1,0.046
Atrx,1,0.046
Atxn7,1,0.045
Avil,1,0.027
Avpr2,1,0.029
B3galt2,1,0.052
B4galnt1,1,0.097
B4galnt4,1,0.027
B4galt7,1,0.052
Bag5,1,0.034
Bahcc1,3,0.043333333333333335
Baiap2l2,2,0.072
Baiap3,1,0.073
Bap1,1,0.049
Barhl2,1,0.048
Baz1a,1,0.07200000000000001
Baz2a,1,0.057
Bbs7,1,0.071
Bcl11b,1,0.0915
Bcl7a,1,0.065
Bclaf3,1,0.088
Bend5,1,0.073
Bicra,1,0.097
Bik,1,0.043
Bmper,1,0.061
Bmpr2,2,0.0545
Bnc1,1,0.02
Bod1l,1,0.035
Bola1,1,0.06
Bpifb1,1,0.042
Bpifb4,1,0.055
Brinp2,1,0.029
Brip1,1,0.055
Brpf1,1,0.038
Brpf3,2,0.057499999999999996
Brwd1,1,0.021
Bst2,1,0.032
Btbd18,1,0.036
Btbd7,1,0.021
Bud13,3,0.044
C130026I21Rik,7,0.06342857142857143
C1qc,1,0.091
C2cd5,1,0.081
C87977,1,0.097
C8g,1,0.034
Cabs1,1,0.083
Cacna1b,1,0.073
Cacna1e,1,0.031
Cacna1f,1,0.023
Cacna1h,2,0.0665
Cacna2d1,1,0.05
Cacna2d4,1,0.091
Cactin,1,0.068
Cad,1,0.077
Cadps,1,0.065
Calhm4,2,0.058499999999999996
Caln1,1,0.041
Camk2g,2,0.041999999999999996
Camk2n1,1,0.073
Capn8,1,0.056
Capn9,1,0.054
Caprin2,1,0.097
Carmil1,1,0.079
Cars,2,0.0475
Casc1,1,0.036
Casd1,1,0.049
Casp12,1,0.036
Casp9,1,0.037
Casq2,1,0.067
Catsper1,1,0.023
Cbr4,1,0.04
Cbwd1,1,0.097
Cbx2,1,0.079
Cbx4,1,0.071
Ccdc106,1,0.058
Ccdc110,1,0.056
Ccdc116,1,0.03
Ccdc120,1,0.05
Ccdc13,1,0.035
Ccdc151,1,0.063
Ccdc155,1,0.048
Ccdc158,1,0.034
Ccdc175,1,0.067
Ccdc22,1,0.047
Ccdc28b,1,0.059
Ccdc8,1,0.019
Ccdc85a,1,0.036
Ccdc97,1,0.073
Ccdc9b,1,0.037
Ccnjl,1,0.084
Ccnq,1,0.037
Ccnt2,1,0.051
Cd163l1,1,0.04
Cd274,1,0.059
Cd28,1,0.028
Cd300ld2,1,0.025
Cd47,1,0.054
Cd6,1,0.0575
Cdan1,1,0.037
Cdc25a,1,0.031
Cdc42bpa,1,0.071
Cdca7,1,0.097
Cdh10,1,0.083
Cdh11,2,0.04
Cdh15,1,0.086
Cdh5,1,0.053
Cdk3,1,0.057
Cdk5r2,1,0.07
Cdkn2b,1,0.048
Cdkn2d,1,0.024
Cdon,1,0.025
Cdv3,3,0.08
Ceacam16,1,0.066
Celf1,1,0.083
Celsr3,1,0.063
Cenpf,1,0.059
Cenpj,1,0.061
Cep112,1,0.1
Cep170b,1,0.053
Cep19,1,0.057
Cep250,2,0.025
Cep89,1,0.081
Ces2b,1,0.022
Cfap57,1,0.058
Cfc1,1,0.04
Cfhr1,1,0.053
Chat,1,0.036
Chd1,1,0.038
Chd4,1,0.067
Chd5,1,0.053
Chd7,1,0.072
Chia1,1,0.034
Chrm2,1,0.067
Chrna5,1,0.089
Chrna7,1,0.065
Chrng,1,0.088
Chst7,1,0.038
Ciapin1,1,0.048
Cilp,1,0.056
Ckap4,1,0.037
Ckap5,1,0.081
Clca3b,1,0.016
Clcn3,1,0.097
Cldn18,1,0.065
Cldn3,1,0.047
Clec4a4,1,0.045
Clic4,1,0.044
Clip1,1,0.066
Clip2,1,0.056
Clk3,1,0.061
Clock,1,0.101
Clptm1,1,0.075
Clptm1l,1,0.062
Clu,1,0.039
Clybl,1,0.036
Cmklr1,1,0.044
Cmss1,1,0.083
Cnep1r1,1,0.077
Cnga4,1,0.067
Cnksr1,1,0.04
Cntnap1,1,0.0675
Cntnap4,1,0.068
Cntrob,1,0.086
Cobl,1,0.027
Cobll1,1,0.047
Col13a1,1,0.088
Col14a1,1,0.038
Col16a1,1,0.053
Col18a1,1,0.04
Col25a1,1,0.067
Col5a1,1,0.045
Col6a3,2,0.056
Col6a5,1,0.1
Col7a1,2,0.0555
Colgalt1,1,0.079
Copa,1,0.056
Copb2,1,0.032
Cope,1,0.038
Cops3,1,0.05
Cpa5,1,0.034
Cpe,1,0.091
Cped1,2,0.0365
Cplane1,2,0.0345
Cpn1,1,0.032
Cpne3,1,0.083
Cpne4,1,0.07
Cpsf3,1,0.056
Cramp1l,1,0.063
Crb2,1,0.035
Creb5,1,0.048
Creg2,1,0.081
Crybg2,1,0.081
Csmd1,1,0.04
Csmd2,2,0.0715
Csnk2b,2,0.038
Ctdnep1,1,0.044
Cul9,2,0.057999999999999996
Cwc15,1,0.1
Cx3cr1,2,0.06
Cxcr1,1,0.059
Cxcr4,1,0.042
Cyp1a1,1,0.024
Cyp1a2,1,0.036
Cyp24a1,2,0.0575
Cyp2b19,2,0.02425
Cyp2c39,1,0.035
Cyp3a44,5,0.0202
Cyp4a12b,1,0.051
Cyp4a29,1,0.039
Cyp4x1,1,0.055
Cyp8b1,1,0.052
D130043K22Rik,1,0.071
D430041D05Rik,1,0.02
D630045J12Rik,1,0.073
D6Ertd527e,3,0.051666666666666666
D930020B18Rik,1,0.042
Daam1,1,0.045
Dach1,1,0.043
Dapk3,1,0.07
Dbnl,1,0.071
Dcc,1,0.091
Dchs1,3,0.06766666666666667
Dclre1a,1,0.041
Dctn2,1,0.06
Dda1,1,0.061
Ddb1,1,0.042
Ddhd1,1,0.041
Ddn,1,0.065
Ddx23,1,0.039
Ddx4,1,0.047
Ddx59,1,0.097
Ddx60,1,0.052
Dennd1c,1,0.055
Derl1,1,0.075
Deup1,2,0.065
Dgke,1,0.045
Dgki,1,0.03
Dhfr,1,0.034
Dhtkd1,1,0.059
Dhx36,1,0.05
Dhx58,1,0.045
Diaph1,1,0.075
Diaph3,1,0.043
Dido1,1,0.028
Dio2,1,0.065
Dip2a,1,0.019
Dip2b,1,0.067
Disp3,2,0.059
Dld,1,0.063
Dlec1,1,0.041
Dmac2l,1,0.089
Dmrtc1b,2,0.0325
Dna2,1,0.055
Dnah1,1,0.091
Dnah10,3,0.044500000000000005
Dnah11,1,0.081
Dnah17,1,0.034
Dnah2,1,0.097
Dnah3,1,0.028
Dnah5,3,0.059333333333333335
Dnah6,1,0.081
Dnah7a,1,0.089
Dnah8,1,0.046
Dnaic2,1,0.039
Dnajc12,1,0.042
Dnajc21,1,0.077
Dnase2b,1,0.043
Dnm1,1,0.092
Dnm1l,1,0.048
Dock1,1,0.057
Dock10,1,0.05733333333333333
Dock7,1,0.035
Dock8,1,0.094
Dok3,1,0.066
Dok7,1,0.064
Dop1b,1,0.058
Doxl2,1,0.039
Dph1,1,0.048
Dpy19l4,2,0.079
Dpysl5,1,0.032
Dsg1a,1,0.013
Dst,1,0.039
Dtna,1,0.039
Dtx2,1,0.049
Dusp16,1,0.055
Dusp22,1,0.026
Dusp8,2,0.0485
Duxf3,3,0.07296666666666667
Dyrk1b,1,0.077
Dysf,1,0.042
E230025N22Rik,1,0.07
Ebf1,1,0.1
Ece1,1,0.045
Ecel1,1,0.077
Echs1,1,0.028
Ecpas,1,0.05
Edc3,1,0.041
Edc4,1,0.043
Eef1a1,1,0.088
Eef2,2,0.025166666666666667
Efcab5,1,0.034
Efcab6,2,0.057999999999999996
Efl1,1,0.046
Egfl6,1,0.036
Egr1,1,0.07
Egr2,1,0.035
Ehd2,1,0.034
Ehmt2,1,0.081
Eif2ak1,1,0.048
Eif2b5,1,0.032
Eif3a,1,0.047
Eif3l,1,0.046
Eif4a3l1,1,0.042
Eif4g3,2,0.047
Elavl3,1,0.057
Elfn2,1,0.038
Ell,1,0.043
Elmsan1,1,0.019
Eln,1,0.081
Elp1,1,0.066
Elp3,1,0.028
Eme1,1,0.07
Emilin1,1,0.051
Emsy,1,0.068
Enam,1,0.027
Enc1,2,0.038000000000000006
Eng,1,0.057
Enho,1,0.053
Enpp2,1,0.056
Entpd6,1,0.091
Entpd8,1,0.026
Ep300,1,0.065
Epb41l4a,1,0.074
Epha4,2,0.0545
Epha8,1,0.051
Ephb1,1,0.0635
Epn3,1,0.097
Eprs,1,0.073
Eps8,1,0.036
Erbb2,1,0.068
Ercc2,1,0.026
Ergic1,1,0.032
Ergic2,1,0.048
Ermp1,1,0.092
Esco2,1,0.064
Espl1,1,0.043
Espnl,1,0.073
Etl4,1,0.047
Evc,1,0.091
Evpl,1,0.064
Exoc1,1,0.077
Exoc4,1,0.044
Exoc6,1,0.059
Exoc6b,1,0.071
Ext1,1,0.043
Extl1,1,0.07
Eya2,2,0.040999999999999995
Ezh1,1,0.077
F13b,1,0.073
F2,1,0.077
F5,2,0.0385
Fads2,1,0.05
Fads3,1,0.056
Fam126a,1,0.045
Fam131c,1,0.065
Fam135a,1,0.052
Fam151a,1,0.091
Fam155a,1,0.035
Fam160a1,1,0.027
Fam174b,1,0.041
Fam189a1,1,0.062
Fam193b,1,0.082
Fam221a,1,0.053
Fam227a,1,0.023
Fam49a,1,0.067
Fam76a,1,0.07
Fam83g,1,0.068
Fam90a1a,1,0.1
Fancd2,1,0.1
Fanci,1,0.035
Farsa,1,0.081
Fasn,1,0.048
Fastkd1,1,0.057
Fat2,1,0.083
Fat3,1,0.069
Fbh1,1,0.049
Fbn1,1,0.061
Fbn2,2,0.06175
Fbxl8,1,0.083
Fbxo10,1,0.097
Fbxo25,1,0.022
Fbxo39,1,0.037
Fbxo41,1,0.036
Fbxo43,1,0.0295
Fbxw10,1,0.057
Fbxw16,1,0.04
Fbxw20,1,0.034
Fbxw25,2,0.0275
Fcgbp,1,0.045
Fdft1,1,0.048
Fech,1,0.059
Fen1,1,0.052
Fer1l4,1,0.05
Fgb,1,0.035
Fgd5,1,0.068
Fgl2,1,0.077
Fibp,1,0.036
Fis1,1,0.091
Fkbp15,1,0.03
Flg2,13,0.024961538461538462
Flnb,1,0.041
Flt4,1,0.045
Fndc1,1,0.027
Fndc3c1,1,0.058
Folh1,2,0.057499999999999996
Foxa1,2,0.065
Foxj2,1,0.083
Foxj3,1,0.057
Foxk1,1,0.046
Foxn4,1,0.039
Foxo3,1,0.063
Foxp1,1,0.011
Foxp4,1,0.097
Foxs1,1,0.026
Fras1,1,0.063
Frem1,1,0.056
Frem3,1,0.043
Frmd4a,1,0.091
Fryl,1,0.043
Fscb,4,0.05025
Fscn1,1,0.1
Fthl17f,1,0.014
Fxn,1,0.036
Fyco1,1,0.075
Fzd1,1,0.054
Fzd3,1,0.031
Fzd9,1,0.071
Gabra6,1,0.1
Gabrg1,1,0.092
Gabrr2,1,0.04
Galm,1,0.036
Galnt16,1,0.051
Galnt9,1,0.042
Garnl3,1,0.03
Gatad2a,1,0.045
Gba,1,0.035
Gba2,1,0.045
Gbp11,1,0.028
Gbp7,1,0.066
Gckr,1,0.042
Gcnt7,1,0.04
Gdap2,1,0.088
Gdf3,1,0.047
Gen1,1,0.034
Gfap,1,0.039
Gfra3,1,0.0645
Gga2,1,0.037
Ggnbp1,1,0.057
Ghrhr,1,0.061
Gigyf1,1,0.014
Git1,1,0.025
Gja3,1,0.034
Gja8,1,0.032
Gk5,1,0.024
Glb1l3,1,0.056
Gldc,1,0.088
Glg1,1,0.039
Gli2,2,0.051500000000000004
Gli3,1,0.081
Glrp1,1,0.0505
Gls2,2,0.036500000000000005
Glud1,1,0.1
Gm10131,1,0.055
Gm10220,3,0.048999999999999995
Gm10319,1,0.097
Gm10354,3,0.04033333333333333
Gm10434,1,0.091
Gm10471,8,0.0289375
Gm10717,12,0.05554166666666667
Gm10718,1,0.013000000000000001
Gm10719,1,0.071
Gm10722,4,0.08075
Gm10800,4,0.025
Gm10801,9,0.041277777777777774
Gm1110,1,0.056
Gm11168,3,0.05966666666666667
Gm11555,8,0.06212500000000001
Gm11559,1,0.0135
Gm11564,1,0.013
Gm11567,1,0.038
Gm11568,1,0.015
Gm11569,1,0.013
Gm11639,1,0.1
Gm12258,1,0.073
Gm13212,4,0.062
Gm14698,1,0.061
Gm15114,6,0.043500000000000004
Gm15429,1,0.033
Gm16026,1,0.028
Gm17019,1,0.012
Gm17535,1,0.029
Gm18596,1,0.083
Gm1989,2,0.068
Gm2022,2,0.031
Gm21738,6,0.06325
Gm3285,1,0.083
Gm3486,1,0.04
Gm42416,1,0.015
Gm44579,1,0.044
Gm4553,1,0.034
Gm45618,3,0.016666666666666666
Gm4884,1,0.019
Gm49391,1,0.031
Gm4952,1,0.026
Gm49918,2,0.0335
Gm5114,1,0.025
Gm5442,1,0.081
Gm5458,1,0.029
Gm5478,1,0.013
Gm5591,4,0.02775
Gm6588,1,0.071
Gm7579,1,0.025
Gm7889,1,0.036
Gm8122,1,0.071
Gm8159,2,0.055
Gm884,1,0.019
Gmeb1,1,0.035
Gmip,1,0.083
Gna11,1,0.043
Gnb1,1,0.049
Gnb1l,1,0.031
Gnptg,1,0.06
Gp1ba,1,0.08
Gpatch2l,1,0.038
Gpd2,2,0.031
Gpr143,1,0.1
Gpr149,1,0.037
Gpr162,1,0.043
Gpr26,1,0.071
Gpr34,1,0.092
Gpr39,1,0.045
Gpt,1,0.085
Gramd4,1,0.073
Greb1l,1,0.057
Grem1,1,0.05
Grem2,1,0.071
Grik1,1,0.039
Grin2c,1,0.084
Grip2,1,0.08199999999999999
Gripap1,1,0.037
Grk2,1,0.053
Grm1,1,0.046
Grm2,1,0.083
Grm8,2,0.0615
Gsdmc,1,0.036
Gse1,1,0.048
Gss,1,0.081
Gstk1,1,0.06
Gstm2,1,0.023
Gsto2,1,0.033
Gtf2h3,1,0.024
Gtf2h4,1,0.059
Gtpbp1,1,0.04
Gtpbp8,1,0.083
Gucy2d,2,0.055499999999999994
Guk1,1,0.038
Gulo,1,0.025
Gys1,1,0.077
H2al1n,1,0.016
H2ax,1,0.025
H2bc13,1,0.031
H2bc18,1,0.012
H2bc21,1,0.014
H4c1,1,0.024
Hacd2,1,0.039
Hadha,1,0.063
Hamp2,1,0.033
Has1,1,0.024
Hc,1,0.052
Hcn1,1,0.034
Hdac6,1,0.034
Hdc,1,0.043
Hdhd5,2,0.064
Heatr5a,1,0.065
Hectd1,1,0.054
Hectd4,2,0.04975
Helb,1,0.029
Helz,2,0.057499999999999996
Helz2,1,0.051
Heph,1,0.1
Herc6,2,0.064
Hes1,1,0.054
Hes3,1,0.067
Hes6,1,0.063
Hhat,1,0.088
Hip1,1,0.077
Hipk1,1,0.029
Hipk2,1,0.036
Hivep3,1,0.083
Hk2,1,0.059
Hmbs,1,0.077
Hmcn2,3,0.064
Hmgcr,1,0.048
Hmmr,2,0.0525
Hmox2,1,0.077
Hnrnpl,1,0.044
Hnrnpu,2,0.051500000000000004
Hook2,1,0.101
Hook3,1,0.04
Hoxa1,1,0.037
Hoxa3,1,0.028
Hras,2,0.0735
Hrnr,1,0.088
Hsd17b10,1,0.075
Hsd17b3,1,0.065
Hsd3b1,1,0.02
Hsp90ab1,3,0.04855555555555556
Hspd1,1,0.067
Hspg2,1,0.041
Htr3a,1,0.059
Htr4,1,0.03
Htr6,1,0.063
Htra3,1,0.063
Htt,1,0.052
Huwe1,2,0.0505
Iba57,1,0.091
Ica1,1,0.055
Ifi203,1,0.033
Ifi207,1,0.012
Ift43,1,0.048
Igbp1b,1,0.031
Igdcc4,1,0.054
Igf1r,1,0.039
Igfbp4,1,0.05
Ighmbp2,2,0.0665
Ighv1-63,1,0.015
Ighv1-80,1,0.018
Ighv3-4,1,0.027
Ighv6-7,1,0.079
Ighv7-3,1,0.048
Igkv14-111,1,0.075
Igkv4-59,1,0.022
Igsf10,1,0.022
Il17rb,1,0.027
Il1rapl1,1,0.055
Il21r,1,0.063
Il24,1,0.042
Il2rb,1,0.029
Ilf3,1,0.061
Impa2,1,0.088
Incenp,1,0.043
Inpp5d,1,0.081
Insyn1,1,0.071
Ints6,2,0.0375
Intu,1,0.045
Invs,1,0.049
Ip6k2,1,0.041
Ippk,1,0.051
Iqca,1,0.022
Iqch,1,0.073
Irx4,1,0.1
Isoc2a,1,0.053
Isx,1,0.088
Isyna1,1,0.034
Itfg1,1,0.056
Itfg2,1,0.047
Itga4,1,0.049
Itgae,1,0.048
Itgam,1,0.029
Itgax,1,0.040499999999999994
Itih4,1,0.043
Itpr3,2,0.063
Ivd,1,0.027
Jak1,1,0.085
Jakmip2,1,0.032
Jph4,1,0.053
Kalrn,1,0.045
Kank1,1,0.032
Kbtbd13,1,0.077
Kbtbd6,1,0.084
Kcna7,2,0.0565
Kcnd3,1,0.042
Kcne3,1,0.033
Kcnj2,1,0.075
Kcnk3,2,0.0555
Kcns1,1,0.052
Kctd11,1,0.037
Kctd19,1,0.049
Kctd5,1,0.041
Kctd7,1,0.088
Kdm2a,2,0.0665
Kdm4c,1,0.061
Kdm6a,1,0.091
Kdm6b,1,0.091
Keap1,1,0.075
Kel,1,0.045
Kera,1,0.064
Kif12,1,0.072
Kif1b,2,0.07100000000000001
Kif20a,1,0.1
Kif21b,1,0.043
Kif26a,1,0.056
Kif26b,1,0.071
Kif5a,1,0.071
Kif7,1,0.066
Kir3dl2,1,0.046
Kit,1,0.037
Kiz,1,0.083
Klf9,1,0.086
Klhl13,1,0.036
Klhl26,1,0.053
Klhl31,1,0.07
Klhl38,1,0.051
Klhl4,1,0.063
Klhl40,2,0.07350000000000001
Klk12,1,0.042
Klk5,1,0.1
Kmt2a,1,0.034
Kmt2b,1,0.022
Kmt2c,1,0.058
Kmt2e,1,0.044
Kndc1,1,0.083
Knl1,1,0.1
Krba1,1,0.039
Kremen2,1,0.073
Krit1,1,0.061
Krt2,1,0.017
Krt28,1,0.023
Krt34,1,0.088
Krt4,1,0.012
Krt6a,3,0.05566666666666667
Krt78,1,0.012
Krt81,2,0.0265
Krt82,3,0.07066666666666667
Krt84,1,0.011
Krtap1-3,3,0.019
Krtap10-10,1,0.033
Krtap13,2,0.025500000000000002
Krtap16-1,1,0.091
Krtap19-1,1,0.03
Krtap19-3,1,0.038
Krtap21-1,2,0.0625
Krtap4-1,1,0.01
Krtap4-16,10,0.0187
Krtap4-2,2,0.0165
Krtap5-2,6,0.0225
Krtap5-3,1,0.028
Krtap5-5,1,0.026
Krtap9-1,2,0.045
Krtap9-3,1,0.077
Krtap9-5,4,0.045
L3mbtl2,1,0.056
L3mbtl3,1,0.077
Lama5,1,0.058
Lamb1,1,0.034
Lamb2,1,0.075
Lamp2,1,0.097
Laptm5,1,0.052
Lat,1,0.1
Lats1,2,0.044
Lax1,1,0.046
Lbhd2,1,0.048
Lbp,1,0.042
Lce1c,1,0.091
Lcn10,1,0.04
Ldb3,1,0.054
Ldhb,1,0.013
Ldlr,1,0.053
Ldlrad1,1,0.063
Lfng,1,0.049
Lgi3,1,0.091
Lgr6,1,0.1
Lhcgr,1,0.052
Lin28b,1,0.042
Lins1,1,0.071
Lmbrd1,1,0.063
Lmx1a,1,0.028
Lonrf3,1,0.029
Lox,1,0.037
Loxhd1,1,0.094
Lpcat1,1,0.053
Lpcat4,1,0.032
Lpgat1,1,0.053
Lpin2,2,0.0675
Lpin3,1,0.063
Lpo,1,0.077
Lrch2,1,0.063
Lrig1,2,0.057
Lrig3,1,0.053
Lrit1,1,0.071
Lrit2,1,0.091
Lrp1,1,0.05
Lrp11,1,0.035
Lrp12,1,0.036
Lrp1b,1,0.075
Lrp2,1,0.049
Lrp4,1,0.024
Lrp5,1,0.088
Lrp6,1,0.077
Lrpprc,1,0.097
Lrrc14b,1,0.047
Lrrc26,1,0.04
Lrrc37a,3,0.012
Lrrc6,1,0.034
Lrriq4,1,0.071
Lrrn2,1,0.097
Lrwd1,1,0.091
Lsamp,1,0.038
Lsg1,1,0.037
Lsm14b,1,0.045
Lta4h,1,0.071
Ltbp4,1,0.063
Ltv1,1,0.071
Ly6d,1,0.023
Ly9,1,0.022
Lyst,2,0.051000000000000004
Lzts2,1,0.056
Mab21l2,1,0.029
Magea2,1,0.091
Mageb4,4,0.025125
Magee1,1,0.045
Mamdc2,1,0.0505
Mamdc4,1,0.056
Mamld1,2,0.025500000000000002
Man2a1,1,0.07
Man2c1,1,0.063
Map2k5,1,0.091
Map3k6,1,0.05
Map4k1,1,0.029
Map6,1,0.1
Map7,1,0.097
Mapk10,1,0.075
Mapk13,1,0.054
Mapk8ip2,1,0.084
Marchf6,1,0.047
Marchf8,1,0.067
Marco,1,0.047
Marf1,1,0.061
Mars1,1,0.071
Mau2,1,0.03
Mbd3,1,0.03
Mbd5,1,0.091
Mbp,1,0.091
Mbtd1,1,0.077
Mc5r,1,0.083
Mcc,1,0.02
Mcf2,1,0.056
Mcm2,1,0.024
Mcm3ap,1,0.065
Mcm8,1,0.101
Mcpt4,1,0.053
Mctp2,1,0.023
Mdh1b,1,0.049
Me2,1,0.071
Mea1,1,0.072
Med13,1,0.075
Megf6,1,0.03
Megf8,1,0.097
Meis1,1,0.08449999999999999
Meltf,1,0.023
Meox2,1,0.097
Mfsd1,1,0.02
Mfsd4a,1,0.049
Mga,1,0.059
Mgarp,1,0.049
Mgat3,1,0.056
Mgat4e,1,0.042
Mgat4f,1,0.061
Mgrn1,1,0.04
Mib1,1,0.067
Micall2,2,0.036000000000000004
Mier2,1,0.041
Mier3,1,0.038
Mill1,1,0.032
Mlana,1,0.053
Mllt3,7,0.04385714285714286
Mlxipl,1,0.036
Mmp10,1,0.056
Mmp17,1,0.07
Mmp9,1,0.038
Mmrn2,1,0.042
Mn1,1,0.02
Mnat1,1,0.059
Mocs3,1,0.049
Mogat1,1,0.083
Mon2,1,0.038
Morc1,2,0.0635
Morf4l1,1,0.027
Moxd2,1,0.068
Mpp1,1,0.081
Mrc1,1,0.061
Mroh1,1,0.046
Mroh2a,1,0.027
Mrps10,1,0.033
Ms4a14,1,0.028499999999999998
Msrb2,1,0.03
Mst1r,2,0.039
Mtcl1,1,0.036
Mtf2,1,0.035
Mtg1,1,0.042
Mtmr10,1,0.068
Mtmr12,1,0.05
Mtmr14,1,0.039
Mtmr6,1,0.041
Muc20,1,0.039
Muc4,7,0.055857142857142855
Muc5ac,1,0.054
Muc5b,2,0.0455
Muc6,2,0.06425
Mx2,1,0.0545
Mycbp2,2,0.07050000000000001
Mycs,1,0.04
Myef2,1,0.047
Myh10,2,0.01
Myh11,1,0.041
Myh13,1,0.03
Myh3,1,0.037
Myh4,1,0.058
Myh6,1,0.016
Mymk,1,0.039
Myo18a,1,0.041
Myo18b,1,0.043
Myo1e,1,0.067
Myo3a,1,0.075
Myo5b,1,0.075
Myo5c,1,0.049
Myo7a,2,0.0415
Myoc,1,0.065
Myom2,1,0.047
Myom3,1,0.051
Myorg,1,0.045
Mysm1,1,0.065
N4bp2,1,0.063
Naa25,1,0.053
Naaladl1,1,0.037
Naf1,1,0.083
Naip1,1,0.063
Nap1l1,1,0.045
Nap1l2,1,0.042
Nap1l3,1,0.033
Nap1l4,1,0.077
Nav2,1,0.1
Naxd,1,0.042
Nbas,1,0.081
Ncam2,1,0.063
Ncaph2,1,0.025
Nck1,1,0.056
Nckap1,1,0.058
Nckap5l,1,0.053
Ncor2,1,0.046
Ndc80,1,0.048
Ndfip2,1,0.07
