human_symbol,n_mutations,n_altered_samples,n_profiled_samples,incidence_pct,is_cancer_gene
TNFSF8,7,6,147,4.1,No
TOMM70,7,7,147,4.8,No
TOP6BL,7,6,147,4.1,No
TPM3,7,7,147,4.8,Yes
TPSD1,7,6,147,4.1,No
TRAF3IP2,7,6,147,4.1,No
TRAF5,7,7,176,4,Yes
TRAF6,7,6,147,4.1,No
TREM1,7,7,147,4.8,No
TRIB3,7,7,147,4.8,Yes
TRIM38,7,7,147,4.8,No
TRIM41,7,7,147,4.8,No
TRIM45,7,7,147,4.8,No
TRIP13,7,6,147,4.1,Yes
TRNT1,7,7,147,4.8,No
TRPC4AP,7,6,147,4.1,No
TSBP1,7,7,147,4.8,No
TSC22D4,7,7,147,4.8,No
TSGA13,7,6,147,4.1,No
TSKU,7,7,147,4.8,No
TSPAN17,7,7,147,4.8,No
TSPAN32,7,7,147,4.8,No
TSPAN33,7,7,147,4.8,No
TTC23L,7,6,147,4.1,No
TTK,7,7,147,4.8,No
TTYH3,7,7,147,4.8,No
TUBA1A,7,6,147,4.1,No
TUBB2A,7,6,147,4.1,No
TYW3,7,7,147,4.8,No
U2AF1L4,7,7,147,4.8,No
UAP1L1,7,7,147,4.8,No
UBAC1,7,6,147,4.1,No
UBE2J2,7,7,147,4.8,No
UBE2Q2,7,7,147,4.8,No
UBE3D,7,7,147,4.8,No
UBOX5,7,6,147,4.1,No
UBP1,7,5,147,3.4,No
UBQLN1,7,7,147,4.8,No
UBXN11,7,6,147,4.1,No
UGDH,7,7,147,4.8,No
UHMK1,7,7,147,4.8,No
UNC93B1,7,7,147,4.8,No
UNCX,7,5,147,3.4,No
UNK,7,7,147,4.8,No
UPK1B,7,7,147,4.8,No
UQCRC1,7,7,147,4.8,No
USP14,7,6,147,4.1,No
USP16,7,7,147,4.8,No
USP30,7,7,147,4.8,No
UTP3,7,7,147,4.8,No
VGLL1,7,7,147,4.8,No
VILL,7,7,147,4.8,No
VN1R1,7,7,147,4.8,No
VPS37D,7,7,147,4.8,No
VSIG10L2,7,5,147,3.4,No
VSIR,7,5,147,3.4,No
VSTM4,7,7,147,4.8,No
VSX1,7,7,147,4.8,No
WARS1,7,7,147,4.8,No
WARS2,7,7,147,4.8,No
WBP1,7,7,147,4.8,No
WBP1L,7,7,147,4.8,No
WBP2,7,7,147,4.8,No
WDCP,7,7,147,4.8,Yes
WDR13,7,6,147,4.1,No
WDR25,7,6,147,4.1,No
WDR3,7,5,147,3.4,No
WDR4,7,7,147,4.8,No
WDR89,7,7,147,4.8,No
WDR91,7,7,147,4.8,No
WDSUB1,7,7,147,4.8,No
WEE1,7,7,147,4.8,Yes
WNT5B,7,6,147,4.1,No
WRAP73,7,6,147,4.1,No
YAP1,7,7,176,4,Yes
YJU2B,7,7,147,4.8,No
YTHDC1,7,7,147,4.8,No
ZBTB3,7,7,147,4.8,No
ZBTB33,7,7,147,4.8,No
ZBTB45,7,6,147,4.1,No
ZBTB6,7,5,147,3.4,No
ZC2HC1C,7,7,147,4.8,No
ZC4H2,7,6,147,4.1,No
ZDHHC11B,7,7,147,4.8,No
ZFAND3,7,7,147,4.8,No
ZFYVE19,7,6,147,4.1,No
ZKSCAN4,7,6,147,4.1,No
ZMAT3,7,7,147,4.8,No
ZNF155,7,7,147,4.8,No
ZNF17,7,7,147,4.8,No
ZNF20,7,7,147,4.8,No
ZNF224,7,6,147,4.1,No
ZNF23,7,7,147,4.8,No
ZNF324B,7,7,147,4.8,No
ZNF443,7,7,147,4.8,No
ZNF451,7,6,147,4.1,No
ZNF48,7,7,147,4.8,No
ZNF488,7,7,147,4.8,No
ZNF501,7,7,147,4.8,No
ZNF507,7,7,147,4.8,No
ZNF510,7,7,147,4.8,No
ZNF548,7,5,147,3.4,No
ZNF557,7,7,147,4.8,No
ZNF561,7,7,147,4.8,No
ZNF562,7,5,147,3.4,No
ZNF565,7,7,147,4.8,No
ZNF566,7,6,147,4.1,No
ZNF575,7,5,147,3.4,No
ZNF625,7,7,147,4.8,No
ZNF655,7,7,147,4.8,No
ZNF691,7,5,147,3.4,No
ZNF701,7,7,147,4.8,No
ZNF710,7,7,147,4.8,No
ZNF724,7,6,147,4.1,No
ZNF765,7,6,147,4.1,No
ZNF829,7,7,147,4.8,No
ZNF830,7,7,147,4.8,No
ZNF839,7,7,147,4.8,No
ZNF846,7,7,147,4.8,No
ZNF883,7,7,147,4.8,No
ZNF888,7,7,147,4.8,No
ZNF891,7,6,147,4.1,No
ZPBP2,7,5,147,3.4,No
ZSCAN22,7,7,147,4.8,No
AADAC,6,6,147,4.1,No
AASDHPPT,6,6,147,4.1,No
ABCE1,6,6,147,4.1,No
ABHD1,6,5,147,3.4,No
ABHD10,6,6,147,4.1,No
ABHD15,6,5,147,3.4,No
ABHD2,6,6,147,4.1,No
ABI1,6,6,176,3.4,Yes
ABI2,6,6,147,4.1,No
ABRAXAS1,6,6,147,4.1,Yes
ABTB1,6,6,147,4.1,No
ACAA1,6,6,147,4.1,No
ACADVL,6,6,147,4.1,No
ACBD5,6,6,147,4.1,No
ACO1,6,6,147,4.1,No
ACP3,6,6,147,4.1,Yes
ACSL4,6,6,147,4.1,Yes
ACTL6A,6,6,147,4.1,No
ACTR6,6,6,147,4.1,No
ACVR1B,6,6,176,3.4,Yes
ADAT2,6,6,147,4.1,No
ADH4,6,6,147,4.1,No
ADHFE1,6,6,147,4.1,Yes
ADIPOR1,6,6,147,4.1,No
ADIPOR2,6,5,147,3.4,No
ADORA1,6,6,147,4.1,No
ADRB3,6,6,147,4.1,No
ADSL,6,5,147,3.4,No
AFG2B,6,6,147,4.1,No
AFG3L2,6,6,147,4.1,No
AGAP6,6,5,147,3.4,No
AIFM2,6,6,147,4.1,No
AKR7A3,6,6,147,4.1,No
AKT1S1,6,4,147,2.7,Yes
AKT2,6,6,176,3.4,Yes
ALAS2,6,6,147,4.1,No
ALDH1A3,6,5,147,3.4,Yes
ALDH3A1,6,6,147,4.1,No
ALDH4A1,6,6,147,4.1,No
ALG10B,6,6,147,4.1,No
ALG14,6,4,147,2.7,No
ALG6,6,5,147,3.4,No
ALKBH6,6,6,147,4.1,No
AMELX,6,6,147,4.1,No
ANAPC7,6,6,147,4.1,No
ANGPTL4,6,6,147,4.1,No
ANKRD10,6,6,147,4.1,No
ANKRD20A1,6,5,147,3.4,No
ANKRD28,6,6,147,4.1,No
ANKRD30BL,6,6,147,4.1,No
ANKRD42,6,6,147,4.1,No
ANKRD53,6,5,147,3.4,No
ANKRD65,6,5,147,3.4,No
ANKS4B,6,6,147,4.1,No
ANXA1,6,5,147,3.4,No
ANXA10,6,5,147,3.4,No
ANXA4,6,5,147,3.4,No
AOPEP,6,6,147,4.1,No
AP1B1,6,5,147,3.4,No
AP1M1,6,5,147,3.4,No
AP3M1,6,6,147,4.1,No
AP4M1,6,6,147,4.1,No
APIP,6,6,147,4.1,No
APOBEC3A,6,6,147,4.1,No
APOBEC3D,6,6,147,4.1,No
APOL2,6,5,147,3.4,No
APOL4,6,6,147,4.1,No
AQP12A,6,6,147,4.1,No
AQP8,6,6,147,4.1,No
ARFIP1,6,6,147,4.1,No
ARIH1,6,6,147,4.1,No
ARMC12,6,6,147,4.1,No
ARRDC4,6,6,147,4.1,No
ARRDC5,6,5,147,3.4,No
ARSD,6,5,147,3.4,No
ARSL,6,6,147,4.1,No
ASB11,6,6,147,4.1,No
ASB16,6,6,147,4.1,No
ASB7,6,6,147,4.1,No
ASB9,6,6,147,4.1,No
ASCC1,6,6,147,4.1,No
ASCL1,6,6,176,3.4,Yes
ASL,6,6,147,4.1,No
ASPG,6,5,147,3.4,No
ASPHD2,6,6,147,4.1,No
ASTE1,6,6,147,4.1,No
ATAD3C,6,6,147,4.1,No
ATAT1,6,5,147,3.4,No
ATE1,6,6,147,4.1,No
ATG101,6,6,147,4.1,No
ATG4D,6,6,147,4.1,No
ATL2,6,5,147,3.4,No
ATP6AP1L,6,6,147,4.1,No
ATP6V1B2,6,6,147,4.1,Yes
ATP6V1C1,6,6,147,4.1,No
ATXN7L3,6,5,147,3.4,No
AURKB,6,6,176,3.4,Yes
AZIN2,6,6,147,4.1,No
B3GNT5,6,6,147,4.1,No
B4GALT2,6,5,147,3.4,No
B4GAT1,6,5,147,3.4,No
BABAM1,6,6,147,4.1,Yes
BAD,6,6,147,4.1,No
BAG5,6,6,147,4.1,No
BARX2,6,6,147,4.1,No
BATF,6,6,147,4.1,No
BCAP29,6,6,147,4.1,No
BCKDHA,6,6,147,4.1,No
BCL2L14,6,6,147,4.1,No
BCL7B,6,6,147,4.1,No
BECN2,6,5,147,3.4,No
BEST4,6,6,147,4.1,No
BHLHA9,6,6,147,4.1,No
BHMT2,6,6,147,4.1,No
BIRC2,6,6,176,3.4,No
BIVM,6,6,147,4.1,No
BKGD,6,6,147,4.1,No
BMAL1,6,6,147,4.1,No
BMI1,6,6,147,4.1,No
BMP6,6,6,147,4.1,No
BRAP,6,5,147,3.4,No
BRF1,6,6,147,4.1,No
BRMS1L,6,5,147,3.4,No
BRS3,6,6,147,4.1,No
BST1,6,5,147,3.4,No
BTN3A2,6,6,147,4.1,No
BUD23,6,6,147,4.1,No
BYSL,6,6,147,4.1,No
C11ORF42,6,6,147,4.1,No
C12ORF43,6,6,147,4.1,No
C13ORF42,6,5,147,3.4,No
C16ORF86,6,6,147,4.1,No
C16ORF89,6,6,147,4.1,No
C19ORF12,6,6,147,4.1,No
C19ORF18,6,5,147,3.4,No
C19ORF38,6,6,147,4.1,No
C1ORF216,6,5,147,3.4,No
C1QTNF1,6,6,147,4.1,No
C1R,6,6,147,4.1,No
C22ORF15,6,6,147,4.1,No
C22ORF31,6,6,147,4.1,No
C2ORF66,6,5,147,3.4,No
C2ORF72,6,6,147,4.1,No
C2ORF80,6,6,147,4.1,No
C4ORF51,6,6,147,4.1,No
C5ORF58,6,6,147,4.1,No
C8ORF33,6,6,147,4.1,No
CA9,6,6,147,4.1,No
CABCOCO1,6,5,147,3.4,No
CABLES1,6,6,147,4.1,No
CABLES2,6,6,147,4.1,No
CABP2,6,6,147,4.1,No
CACNB4,6,6,147,4.1,No
CACNG6,6,6,147,4.1,No
CAMK2D,6,6,147,4.1,No
CAMP,6,6,147,4.1,No
CASP10,6,6,147,4.1,No
CASP4,6,5,147,3.4,No
CASTOR1,6,6,147,4.1,No
CBLN3,6,6,147,4.1,No
CCDC197,6,6,147,4.1,No
CCDC42,6,6,147,4.1,No
CCDC47,6,6,147,4.1,No
CCDC71,6,5,147,3.4,No
CCDC74B,6,6,147,4.1,No
CCDC78,6,6,147,4.1,No
CCDC82,6,5,147,3.4,No
CCL23,6,6,147,4.1,No
CCN5,6,5,147,3.4,No
CCR10,6,6,147,4.1,No
CCT2,6,6,147,4.1,No
CD320,6,6,147,4.1,No
CD40LG,6,4,147,2.7,No
CD47,6,6,147,4.1,No
CD5,6,6,147,4.1,No
CD79A,6,5,176,2.8,Yes
CD99L2,6,6,147,4.1,No
CDC23,6,6,147,4.1,No
CDC42EP2,6,5,147,3.4,No
CDC42EP4,6,6,147,4.1,No
CDK2,6,6,147,4.1,No
CDKN1B,6,6,176,3.4,Yes
CDS2,6,6,147,4.1,No
CELA1,6,5,147,3.4,No
CELA3A,6,5,147,3.4,No
CELF1,6,6,147,4.1,No
CELF4,6,6,147,4.1,No
CENPB,6,6,147,4.1,No
CENPQ,6,5,147,3.4,No
CENPT,6,6,147,4.1,No
CEP57,6,6,147,4.1,No
CFAP161,6,6,147,4.1,No
CFAP184,6,6,147,4.1,No
CFC1,6,6,147,4.1,No
CGB5,6,5,147,3.4,No
CHAC1,6,6,147,4.1,No
CHCT1,6,5,147,3.4,No
CHRNA5,6,6,147,4.1,No
CHRNB4,6,6,147,4.1,No
CHST15,6,6,147,4.1,No
CHST5,6,6,147,4.1,No
CIAO3,6,6,147,4.1,No
CIDEA,6,6,147,4.1,No
CIMAP1D,6,6,147,4.1,No
CIMAP3,6,6,147,4.1,No
CIMIP4,6,6,147,4.1,No
CLBA1,6,5,147,3.4,No
CLCC1,6,6,147,4.1,No
CLDN10,6,6,147,4.1,No
CLDN20,6,5,147,3.4,No
CLEC11A,6,5,147,3.4,No
CLEC18B,6,5,147,3.4,No
CLEC1A,6,5,147,3.4,No
CLEC4A,6,5,147,3.4,No
CLIC4,6,6,147,4.1,No
CLK1,6,6,147,4.1,No
CMTM7,6,6,147,4.1,No
CMTM8,6,6,147,4.1,No
CNOT2,6,6,147,4.1,No
CNOT6L,6,6,147,4.1,No
CNPPD1,6,5,147,3.4,No
COLEC11,6,6,147,4.1,No
COMMD8,6,6,147,4.1,No
CORO1A,6,6,147,4.1,No
CPTP,6,6,147,4.1,No
CRIP3,6,5,147,3.4,No
CRIPTO,6,6,147,4.1,No
CRTC2,6,6,147,4.1,No
CS,6,6,147,4.1,No
CSDC2,6,6,147,4.1,No
CSHL1,6,6,147,4.1,No
CSNK2A1,6,6,147,4.1,No
CST4,6,6,147,4.1,No
CST8,6,6,147,4.1,No
CSTL1,6,5,147,3.4,No
CSTPP1,6,6,147,4.1,No
CT45A9,6,5,147,3.4,No
CTBP1,6,6,147,4.1,No
CTDSP1,6,6,147,4.1,No
CTRB1,6,6,147,4.1,No
CTSD,6,5,147,3.4,No
CTSK,6,5,147,3.4,No
CTSL,6,6,147,4.1,No
CUL1,6,5,147,3.4,No
CUL2,6,6,147,4.1,No
CUZD1,6,6,147,4.1,No
CWC15,6,6,147,4.1,No
CYB5R3,6,4,147,2.7,No
CYC1,6,5,147,3.4,No
DAPK3,6,5,147,3.4,No
DCAF16,6,6,147,4.1,No
DCLRE1C,6,5,147,3.4,No
DCUN1D4,6,6,147,4.1,No
DDHD2,6,5,147,3.4,No
DDIT4L,6,6,147,4.1,No
DDX39A,6,6,147,4.1,No
DEF8,6,6,147,4.1,No
DEFB115,6,6,147,4.1,No
DEFB121,6,6,147,4.1,No
DEFB127,6,4,147,2.7,No
DEK,6,6,147,4.1,Yes
DENND6B,6,5,147,3.4,No
DEPDC1B,6,5,147,3.4,No
DHDH,6,6,147,4.1,No
DHH,6,6,147,4.1,No
DHRS4,6,5,147,3.4,No
DIO2,6,6,147,4.1,No
DKKL1,6,5,147,3.4,No
DLD,6,6,147,4.1,No
DLX6,6,6,147,4.1,No
DNAAF4,6,6,147,4.1,No
DNAJB12,6,5,147,3.4,No
DNAJB7,6,6,147,4.1,No
DNAJC17,6,4,147,2.7,No
DNAJC21,6,6,147,4.1,No
DNAJC3,6,6,147,4.1,No
DPP7,6,6,147,4.1,No
DPRX,6,6,147,4.1,No
DRP2,6,6,147,4.1,No
DTWD2,6,5,147,3.4,No
DUOXA1,6,6,147,4.1,No
DUSP29,6,6,147,4.1,No
DYDC2,6,6,147,4.1,No
DYNC1I2,6,5,147,3.4,No
DYNLT4,6,5,147,3.4,No
EBI3,6,6,147,4.1,No
EBLN1,6,6,147,4.1,No
ECH1,6,6,147,4.1,No
EDC3,6,6,147,4.1,No
EDDM3B,6,5,147,3.4,No
EED,6,4,147,2.7,Yes
EEF2KMT,6,6,147,4.1,No
EFCAB14,6,6,147,4.1,No
EIF3D,6,6,147,4.1,No
EIF3H,6,6,147,4.1,No
EIF4E2,6,6,147,4.1,No
ELAC1,6,6,147,4.1,No
ELF1,6,6,147,4.1,No
ELF4,6,5,147,3.4,Yes
ELK4,6,5,147,3.4,Yes
ELMOD1,6,6,147,4.1,No
ELOVL1,6,6,147,4.1,No
ELOVL4,6,6,147,4.1,No
ELP4,6,6,147,4.1,No
ELSPBP1,6,5,147,3.4,No
ENKD1,6,6,147,4.1,No
ENO4,6,5,147,3.4,No
EOGT,6,6,147,4.1,No
EPC1,6,5,147,3.4,No
ERCC2,6,6,176,3.4,Yes
ERCC5,6,6,176,3.4,Yes
ERCC6L,6,6,147,4.1,No
ERGIC1,6,6,147,4.1,No
ERGIC3,6,6,147,4.1,No
ERI3,6,6,147,4.1,No
ESCO1,6,6,147,4.1,Yes
ESRP2,6,6,147,4.1,No
EVI2B,6,5,147,3.4,No
EVPLL,6,5,147,3.4,No
F12,6,6,147,4.1,No
FABP3,6,5,147,3.4,No
FADS1,6,6,147,4.1,No
FAM114A2,6,6,147,4.1,No
FAM153B,6,6,147,4.1,No
FAM193B,6,6,147,4.1,No
FAM200B,6,5,147,3.4,No
FAM20A,6,6,147,4.1,No
FAM47E-STBD1,6,6,147,4.1,No
FANCF,6,6,176,3.4,Yes
FASTK,6,6,147,4.1,No
FBXL14,6,5,147,3.4,No
FBXL17,6,6,147,4.1,No
FBXL20,6,6,147,4.1,No
FCHSD2,6,6,147,4.1,No
FCMR,6,6,147,4.1,No
FFAR2,6,6,147,4.1,No
FGF20,6,6,147,4.1,No
FGF6,6,4,147,2.7,Yes
FHIP2B,6,6,147,4.1,No
FIP1L1,6,6,147,4.1,Yes
FITM1,6,6,147,4.1,No
FKRP,6,6,147,4.1,No
FNDC8,6,6,147,4.1,No
FOS,6,5,147,3.4,No
FOXD2,6,6,147,4.1,No
FOXD4,6,6,147,4.1,No
FOXI3,6,5,147,3.4,No
FOXO4,6,6,176,3.4,Yes
FOXRED1,6,6,147,4.1,No
FPGS,6,4,147,2.7,No
FUT4,6,6,147,4.1,No
FUT6,6,5,147,3.4,No
FUT7,6,6,147,4.1,No
FZD1,6,6,147,4.1,No
FZD2,6,6,147,4.1,No
FZD8,6,5,147,3.4,No
GABRR2,6,6,147,4.1,No
GALNT1,6,6,147,4.1,No
GALP,6,5,147,3.4,No
GARS1,6,6,147,4.1,No
GAST,6,5,147,3.4,No
GBA1,6,6,147,4.1,No
GBP1,6,6,147,4.1,No
GCG,6,5,147,3.4,No
GCNA,6,6,147,4.1,No
GDAP2,6,6,147,4.1,No
GDE1,6,4,147,2.7,No
GDF11,6,6,147,4.1,No
GDI2,6,6,147,4.1,No
GDPGP1,6,6,147,4.1,No
GET3,6,5,147,3.4,No
GFI1,6,4,147,2.7,No
GFM2,6,6,147,4.1,No
GFOD2,6,6,147,4.1,No
GH2,6,6,147,4.1,No
GID8,6,5,147,3.4,No
GIPC2,6,6,147,4.1,No
GK,6,5,147,3.4,No
GK3,6,6,147,4.1,No
GLIPR2,6,6,147,4.1,No
GLS,6,6,147,4.1,No
GLTP,6,5,147,3.4,No
GLUL,6,6,147,4.1,No
GLYAT,6,6,147,4.1,No
GLYATL1B,6,5,147,3.4,No
GLYCTK,6,6,147,4.1,No
GMCL1,6,6,147,4.1,No
GMFG,6,5,147,3.4,No
GML,6,6,147,4.1,No
GNB1L,6,6,147,4.1,No
GNL3L,6,6,147,4.1,No
GOLGA6L22,6,4,147,2.7,No
GOLGA6L6,6,6,147,4.1,No
GOLGA8M,6,6,147,4.1,No
GOLM2,6,6,147,4.1,No
GOSR2,6,6,147,4.1,No
GP1BA,6,5,147,3.4,No
GPAA1,6,6,147,4.1,No
GPALPP1,6,5,147,3.4,No
GPAM,6,6,147,4.1,No
GPATCH2L,6,6,147,4.1,No
GPR183,6,6,147,4.1,No
GPR55,6,6,147,4.1,No
GPR78,6,6,147,4.1,No
GPR83,6,5,147,3.4,No
GPRASP1,6,5,147,3.4,No
GPSM2,6,6,147,4.1,No
GRAMD2A,6,4,147,2.7,No
GSDMC,6,5,147,3.4,No
GSK3B,6,6,147,4.1,Yes
GSS,6,6,147,4.1,No
GSTA4,6,5,147,3.4,No
GTF2A1L,6,6,147,4.1,No
GTF2F1,6,6,147,4.1,No
GTF2I,6,6,147,4.1,Yes
GTPBP4,6,6,147,4.1,No
GXYLT2,6,5,147,3.4,No
GYG1,6,6,147,4.1,No
GZF1,6,6,147,4.1,No
GZMM,6,6,147,4.1,No
H2AC1,6,6,147,4.1,No
H3-3B,6,5,147,3.4,Yes
H4C2,6,6,147,4.1,No
H4C7,6,6,147,4.1,No
HACD3,6,5,147,3.4,No
HADHA,6,4,147,2.7,No
HADHB,6,6,147,4.1,No
HAGH,6,6,147,4.1,No
HAPLN2,6,5,147,3.4,No
HAUS3,6,6,147,4.1,No
HBG1,6,6,147,4.1,No
HBP1,6,6,147,4.1,No
HEBP2,6,5,147,3.4,No
HEMK2,6,6,147,4.1,No
HGS,6,6,147,4.1,No
HIRIP3,6,6,147,4.1,No
HLA-DPA1,6,6,147,4.1,No
HLX,6,6,147,4.1,No
HMX3,6,6,147,4.1,No
HNRNPC,6,5,147,3.4,No
HNRNPCL2,6,5,147,3.4,No
HNRNPUL2,6,6,147,4.1,No
HOMER3,6,6,147,4.1,No
HOOK1,6,6,147,4.1,No
HORMAD1,6,6,147,4.1,No
HOXA2,6,6,147,4.1,No
HOXB2,6,5,147,3.4,No
HOXD8,6,6,147,4.1,No
HP1BP3,6,6,147,4.1,No
HPGD,6,6,147,4.1,No
HPR,6,6,147,4.1,No
HS3ST1,6,6,147,4.1,No
HSD3B7,6,6,147,4.1,No
HSPA2,6,6,147,4.1,No
HSPA9,6,5,147,3.4,No
IDH3G,6,6,147,4.1,No
IFI44,6,6,147,4.1,No
IFI44L,6,6,147,4.1,No
IFIT2,6,6,147,4.1,No
IFNA16,6,6,147,4.1,No
IFNA17,6,5,147,3.4,No
IFNA5,6,6,147,4.1,No
IGFALS,6,6,147,4.1,No
IGFBP1,6,5,147,3.4,No
IGFBP6,6,4,147,2.7,No
IGLL5,6,6,147,4.1,No
IGSF8,6,6,147,4.1,No
IK,6,6,147,4.1,No
IKZF5,6,6,147,4.1,No
IL13,6,5,147,3.4,No
IL22,6,6,147,4.1,No
IL31,6,6,147,4.1,No
IL32,6,6,147,4.1,No
IL4I1,6,6,147,4.1,No
ILKAP,6,6,147,4.1,No
IMP4,6,6,147,4.1,No
IMPDH2,6,6,147,4.1,No
INKA2,6,6,147,4.1,No
INMT,6,6,147,4.1,No
INO80C,6,5,147,3.4,No
INPP5K,6,5,147,3.4,No
INSL6,6,6,147,4.1,No
INTS11,6,6,147,4.1,No
INTS14,6,6,147,4.1,No
IQCC,6,6,147,4.1,No
IQCJ-SCHIP1,6,5,147,3.4,No
IRAK3,6,6,147,4.1,No
IRX2,6,6,147,4.1,No
ISL1,6,6,147,4.1,No
IZUMO1,6,6,147,4.1,No
JAK2,6,6,176,3.4,Yes
JAM2,6,6,147,4.1,No
JMJD6,6,6,147,4.1,No
JRK,6,5,147,3.4,No
KBTBD7,6,6,147,4.1,No
KCNAB3,6,6,147,4.1,No
KCNC4,6,5,147,3.4,No
KCNE1,6,5,147,3.4,No
KCNG2,6,6,147,4.1,No
KCNK3,6,6,147,4.1,No
KCTD21,6,6,147,4.1,No
KHSRP,6,5,147,3.4,No
KIAA0513,6,6,147,4.1,No
KIAA0930,6,6,147,4.1,No
KIAA1586,6,5,147,3.4,No
KIAA2013,6,6,147,4.1,No
KIF24,6,5,147,3.4,No
KIF5B,6,6,147,4.1,Yes
KIR2DL3,6,5,147,3.4,No
KLC1,6,6,147,4.1,No
KLF10,6,5,147,3.4,No
KLF14,6,6,147,4.1,No
KLHDC8B,6,6,147,4.1,No
KLHL10,6,6,147,4.1,No
KLHL2,6,6,147,4.1,No
KLHL21,6,6,147,4.1,No
KLHL30,6,6,147,4.1,No
KLK6,6,6,147,4.1,No
KLRF1,6,5,147,3.4,No
KPNA6,6,6,147,4.1,No
KRT19,6,5,147,3.4,No
KRT37,6,6,147,4.1,No
KRTAP10-5,6,5,147,3.4,No
KRTAP19-3,6,6,147,4.1,No
KRTAP24-1,6,5,147,3.4,No
KRTAP5-2,6,6,147,4.1,No
KRTAP5-3,6,6,147,4.1,No
KRTAP9-1,6,4,147,2.7,No
KTI12,6,6,147,4.1,No
L3MBTL2,6,6,147,4.1,No
LAS1L,6,6,147,4.1,No
LAT,6,6,147,4.1,No
LCAT,6,6,147,4.1,No
LCE2C,6,6,147,4.1,No
LCN6,6,5,147,3.4,No
LEMD1,6,6,147,4.1,No
LENG1,6,6,147,4.1,No
LETM2,6,6,147,4.1,No
LGALS3,6,6,147,4.1,No
LGMN,6,6,147,4.1,No
LHFPL7,6,6,147,4.1,No
LHX3,6,5,147,3.4,No
LIN28A,6,6,147,4.1,No
LINC02218,6,4,147,2.7,No
LINGO3,6,6,147,4.1,No
LIX1L,6,5,147,3.4,No
LMBR1,6,6,147,4.1,No
LMNB1,6,6,147,4.1,No
LMOD3,6,6,147,4.1,No
LMX1B,6,6,147,4.1,No
LONP1,6,5,147,3.4,No
LOXL1,6,4,147,2.7,No
LRCH3,6,6,147,4.1,No
LRG1,6,6,147,4.1,No
LRIG1,6,6,147,4.1,No
LRRC25,6,6,147,4.1,No
LRRC58,6,5,147,3.4,No
LRRC61,6,6,147,4.1,No
LRRC69,6,6,147,4.1,No
LRRC74B,6,5,147,3.4,No
LRRD1,6,6,147,4.1,No
LRTM1,6,6,147,4.1,No
LRWD1,6,6,147,4.1,No
LTB,6,6,147,4.1,Yes
LURAP1,6,6,147,4.1,No
LY86,6,6,147,4.1,No
LYPD3,6,6,147,4.1,No
LYPD4,6,5,147,3.4,No
LYPD6,6,6,147,4.1,No
LYZL1,6,6,147,4.1,No
MAB21L4,6,6,147,4.1,No
MACO1,6,6,147,4.1,No
MAGEA6,6,6,147,4.1,No
MAGEA8,6,6,147,4.1,No
MAL2,6,6,147,4.1,Yes
MANSC1,6,6,147,4.1,No
MAP2K1,6,6,176,3.4,Yes
MAP2K5,6,5,147,3.4,No
MAP3K8,6,6,176,3.4,No
MAPDA,6,6,147,4.1,No
MAPKAPK2,6,5,147,3.4,No
MAPKAPK3,6,6,147,4.1,No
MATN1,6,6,147,4.1,No
MATN3,6,6,147,4.1,No
MBD1,6,6,147,4.1,No
MBTPS2,6,5,147,3.4,No
MC3R,6,5,147,3.4,No
MCM7,6,5,147,3.4,No
MCOLN1,6,6,147,4.1,No
MDFIC2,6,6,147,4.1,No
MED27,6,6,147,4.1,No
MEF2A,6,5,147,3.4,No
MEIS1,6,5,147,3.4,No
MESP2,6,5,147,3.4,No
METAP1D,6,6,147,4.1,No
METTL17,6,6,147,4.1,No
METTL22,6,5,147,3.4,No
MFNG,6,6,147,4.1,No
MIA,6,6,147,4.1,No
MIDN,6,5,147,3.4,No
MINAR2,6,6,147,4.1,No
MKKS,6,6,147,4.1,No
MLNR,6,6,147,4.1,No
MOGS,6,5,147,3.4,No
MOK,6,6,147,4.1,No
MON1A,6,6,147,4.1,No
MOSPD3,6,6,147,4.1,No
MPP1,6,6,147,4.1,No
MPPED1,6,6,147,4.1,No
MPV17L,6,6,147,4.1,No
MRGPRE,6,6,147,4.1,No
MRPL15,6,6,147,4.1,No
MRPS15,6,6,147,4.1,No
MRPS18A,6,6,147,4.1,No
MRPS2,6,4,147,2.7,No
MRPS5,6,6,147,4.1,No
MSANTD1,6,6,147,4.1,No
MSMP,6,6,147,4.1,No
MSS51,6,6,147,4.1,No
MTA1,6,6,147,4.1,No
MTA3,6,6,147,4.1,No
MTERF2,6,6,147,4.1,No
MTMR8,6,6,147,4.1,No
MTNAP1,6,6,147,4.1,No
MTX3,6,6,147,4.1,No
MYADML2,6,5,147,3.4,No
MYLIP,6,6,147,4.1,No
MYOD1,6,6,147,4.1,Yes
MYOZ3,6,6,147,4.1,No
N4BP1,6,5,147,3.4,No
N4BP3,6,6,147,4.1,No
NAB1,6,5,147,3.4,No
NAGK,6,6,147,4.1,No
NANP,6,6,147,4.1,No
NAPEPLD,6,6,147,4.1,No
NBPF9,6,6,147,4.1,No
NCBP1,6,6,147,4.1,No
NCK1,6,6,147,4.1,No
NCLN,6,6,147,4.1,No
NDRG2,6,6,147,4.1,No
NDRG3,6,6,147,4.1,No
NDUFB5,6,6,147,4.1,No
NDUFV1,6,6,147,4.1,No
NEDD1,6,6,147,4.1,No
NEIL1,6,5,147,3.4,No
NEIL2,6,6,147,4.1,No
NEK3,6,5,147,3.4,No
