endpoint_id,gene_symbol,analysis_family,analysis_scope,endpoint_label,endpoint_order,clinical_attribute,reference_group,case_group,gene_label,candidate_group,human_symbols,mutation_definition,test_status,n_reference_profiled,n_reference_mutated,reference_prevalence_pct,n_case_profiled,n_case_mutated,case_prevalence_pct,prevalence_difference_pct,odds_ratio,odds_ratio_conf_low,odds_ratio_conf_high,corrected_odds_ratio,corrected_log2_odds_ratio,p_value,q_value_within_endpoint,q_value_analysis_family
hgsc_recurrence_persistence,Csmd2,Disease aggressiveness,Within-study,HGSC recurrence / persistence,7,DISEASE_RECURRENCE_OR_PERSISTENCE,No,Yes,Csmd2 / CSMD2,Predisposition,CSMD2,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,tested,23,12,52.17391304347826,14,8,57.142857142857146,4.968944099378888,1.2156111349615466,0.2653626418388854,5.787029156328484,1.2030769230769232,0.2667288893915355,1,1,1
hgsc_recurrence_persistence,Erbb2,Disease aggressiveness,Within-study,HGSC recurrence / persistence,7,DISEASE_RECURRENCE_OR_PERSISTENCE,No,Yes,Erbb2 / ERBB2,Predisposition,ERBB2,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,tested,23,4,17.391304347826086,14,3,21.428571428571427,4.037267080745341,1.2862219565873847,0.15848326739491267,9.246162665186525,1.318840579710145,0.3992701834205273,1,1,1
hgsc_recurrence_persistence,Huwe1,Disease aggressiveness,Within-study,HGSC recurrence / persistence,7,DISEASE_RECURRENCE_OR_PERSISTENCE,No,Yes,Huwe1 / HUWE1,Predisposition,HUWE1,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,tested,23,8,34.78260869565217,14,5,35.714285714285715,0.9316770186335432,1.0405477904514693,0.2009749623355609,5.0710240358373415,1.0557275541795665,0.07823757433024753,1,1,1
hgsc_recurrence_persistence,Lrp1b,Disease aggressiveness,Within-study,HGSC recurrence / persistence,7,DISEASE_RECURRENCE_OR_PERSISTENCE,No,Yes,Lrp1b / LRP1B,Predisposition,LRP1B,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,tested,23,18,78.26086956521739,14,14,100,21.73913043478261,Inf,0.5948224841932659,Inf,8.621621621621621,3.1079592481359195,0.13460519342872285,0.9366653418123999,1
hgsc_recurrence_persistence,Pard3,Disease aggressiveness,Within-study,HGSC recurrence / persistence,7,DISEASE_RECURRENCE_OR_PERSISTENCE,No,Yes,Pard3 / PARD3,Predisposition,PARD3,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,tested,23,6,26.08695652173913,14,6,42.857142857142854,16.770186335403725,2.080152388048931,0.4116204030159245,10.833800582646356,2.0588235294117645,1.0418201756946268,0.47011193618535124,1,1
hgsc_recurrence_persistence,Psme4,Disease aggressiveness,Within-study,HGSC recurrence / persistence,7,DISEASE_RECURRENCE_OR_PERSISTENCE,No,Yes,Psme4 / PSME4,Predisposition,PSME4,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,tested,23,1,4.3478260869565215,14,1,7.142857142857143,2.7950310559006217,1.6673271201109965,0.02003293632979106,138.62123238861807,1.6666666666666667,0.7369655941662062,1,1,1
hgsc_recurrence_persistence,Ptch1,Disease aggressiveness,Within-study,HGSC recurrence / persistence,7,DISEASE_RECURRENCE_OR_PERSISTENCE,No,Yes,Ptch1 / PTCH1,Predisposition,PTCH1,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,tested,23,3,13.043478260869565,14,3,21.428571428571427,8.385093167701863,1.787788138498855,0.2037728838390378,15.762821783886755,1.7826086956521738,0.8339900485610707,0.6533850026497084,1,1
dfci_dfs_status,Arid2,Disease aggressiveness,Within-study,DFCI disease-free status,12,DFS_STATUS,Disease free,Recurred / progressed,Arid2 / ARID2,I+P,ARID2,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,tested,18,6,33.333333333333336,11,2,18.181818181818183,-15.151515151515152,0.45651132667906874,0.03675815475605595,3.407601611563622,0.5060728744939271,-0.9825829469225906,0.6706262253488641,0.7103816512796234,1
dfci_dfs_status,Aatk,Disease aggressiveness,Within-study,DFCI disease-free status,12,DFS_STATUS,Disease free,Recurred / progressed,Aatk / AATK,Initiation (I),AATK,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,not_testable_missing_endpoint_group,0,0,NA,0,0,NA,NA,NA,NA,NA,1,0,NA,NA,NA
dfci_dfs_status,Bmper,Disease aggressiveness,Within-study,DFCI disease-free status,12,DFS_STATUS,Disease free,Recurred / progressed,Bmper / BMPER,Initiation (I),BMPER,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,not_testable_missing_endpoint_group,0,0,NA,0,0,NA,NA,NA,NA,NA,1,0,NA,NA,NA
