study_id,endpoint_group,gene_symbol,gene_label,candidate_group,human_symbols,n_profiled,n_mutated,prevalence_pct,comparison_cohort
cscc_hgsc_bcm_2014;cscc_ranson_2022,Metastasis,Rasd2,Rasd2 / RASD2,Initiation (I),RASD2,32,4,12.5,Pooled
cscc_hgsc_bcm_2014;cscc_ucsf_2021,Primary,Spats2l,Spats2l / SPATS2L,Initiation (I),SPATS2L,115,5,4.3478260869565215,Pooled
cscc_hgsc_bcm_2014;cscc_ranson_2022,Metastasis,Spats2l,Spats2l / SPATS2L,Initiation (I),SPATS2L,32,1,3.125,Pooled
cscc_hgsc_bcm_2014;cscc_ucsf_2021,Primary,Srgap1,Srgap1 / SRGAP1,Initiation (I),SRGAP1,115,11,9.565217391304348,Pooled
cscc_hgsc_bcm_2014;cscc_ranson_2022,Metastasis,Srgap1,Srgap1 / SRGAP1,Initiation (I),SRGAP1,32,7,21.875,Pooled
cscc_hgsc_bcm_2014;cscc_ucsf_2021,Primary,Tmprss9,Tmprss9 / TMPRSS9,Initiation (I),TMPRSS9,115,11,9.565217391304348,Pooled
cscc_hgsc_bcm_2014;cscc_ranson_2022,Metastasis,Tmprss9,Tmprss9 / TMPRSS9,Initiation (I),TMPRSS9,32,9,28.125,Pooled
cscc_hgsc_bcm_2014;cscc_ucsf_2021,Primary,Ube2d2a,Ube2d2a / UBE2D2,Initiation (I),UBE2D2,115,1,0.8695652173913043,Pooled
cscc_hgsc_bcm_2014;cscc_ranson_2022,Metastasis,Ube2d2a,Ube2d2a / UBE2D2,Initiation (I),UBE2D2,32,0,0,Pooled
cscc_hgsc_bcm_2014;cscc_ucsf_2021,Primary,Usp3,Usp3 / USP3,Initiation (I),USP3,115,2,1.7391304347826086,Pooled
cscc_hgsc_bcm_2014;cscc_ranson_2022,Metastasis,Usp3,Usp3 / USP3,Initiation (I),USP3,32,3,9.375,Pooled
cscc_hgsc_bcm_2014;cscc_ucsf_2021,Primary,Xirp2,Xirp2 / XIRP2,Initiation (I),XIRP2,115,38,33.04347826086956,Pooled
cscc_hgsc_bcm_2014;cscc_ranson_2022,Metastasis,Xirp2,Xirp2 / XIRP2,Initiation (I),XIRP2,32,23,71.875,Pooled
cscc_hgsc_bcm_2014;cscc_ucsf_2021,Primary,Csmd2,Csmd2 / CSMD2,Predisposition,CSMD2,115,45,39.130434782608695,Pooled
cscc_hgsc_bcm_2014;cscc_ranson_2022,Metastasis,Csmd2,Csmd2 / CSMD2,Predisposition,CSMD2,32,22,68.75,Pooled
cscc_hgsc_bcm_2014;cscc_ucsf_2021,Primary,Erbb2,Erbb2 / ERBB2,Predisposition,ERBB2,115,9,7.826086956521739,Pooled
cscc_dfarber_2015;cscc_hgsc_bcm_2014;cscc_ranson_2022,Metastasis,Erbb2,Erbb2 / ERBB2,Predisposition,ERBB2,61,12,19.672131147540984,Pooled
cscc_hgsc_bcm_2014;cscc_ucsf_2021,Primary,Huwe1,Huwe1 / HUWE1,Predisposition,HUWE1,115,28,24.347826086956523,Pooled
cscc_hgsc_bcm_2014;cscc_ranson_2022,Metastasis,Huwe1,Huwe1 / HUWE1,Predisposition,HUWE1,32,13,40.625,Pooled
cscc_hgsc_bcm_2014;cscc_ucsf_2021,Primary,Lrp1b,Lrp1b / LRP1B,Predisposition,LRP1B,115,64,55.65217391304348,Pooled
cscc_dfarber_2015;cscc_hgsc_bcm_2014;cscc_ranson_2022,Metastasis,Lrp1b,Lrp1b / LRP1B,Predisposition,LRP1B,61,43,70.49180327868852,Pooled
cscc_hgsc_bcm_2014;cscc_ucsf_2021,Primary,Pard3,Pard3 / PARD3,Predisposition,PARD3,115,23,20,Pooled
cscc_hgsc_bcm_2014;cscc_ranson_2022,Metastasis,Pard3,Pard3 / PARD3,Predisposition,PARD3,32,13,40.625,Pooled
cscc_hgsc_bcm_2014;cscc_ucsf_2021,Primary,Psme4,Psme4 / PSME4,Predisposition,PSME4,115,11,9.565217391304348,Pooled
cscc_hgsc_bcm_2014;cscc_ranson_2022,Metastasis,Psme4,Psme4 / PSME4,Predisposition,PSME4,32,6,18.75,Pooled
cscc_hgsc_bcm_2014;cscc_ucsf_2021,Primary,Ptch1,Ptch1 / PTCH1,Predisposition,PTCH1,115,23,20,Pooled
cscc_dfarber_2015;cscc_hgsc_bcm_2014;cscc_ranson_2022,Metastasis,Ptch1,Ptch1 / PTCH1,Predisposition,PTCH1,61,12,19.672131147540984,Pooled
