gt_DP,gt_dp_bins,tissue,n_mutations,pct_mutations
316,100-499,Hair follicle,3,0.011328877308258751
316,100-499,Skin,7,0.026434047052603753
317,100-499,Skin,2,0.007552584872172501
318,100-499,Hair follicle,1,0.0037762924360862505
318,100-499,Skin,3,0.011328877308258751
319,100-499,Hair follicle,3,0.011328877308258751
319,100-499,Skin,5,0.018881462180431255
320,100-499,Hair follicle,2,0.007552584872172501
320,100-499,Skin,3,0.011328877308258751
321,100-499,Hair follicle,1,0.0037762924360862505
321,100-499,Skin,4,0.015105169744345002
322,100-499,Skin,7,0.026434047052603753
323,100-499,Skin,5,0.018881462180431255
324,100-499,Hair follicle,5,0.018881462180431255
324,100-499,Skin,4,0.015105169744345002
325,100-499,Hair follicle,1,0.0037762924360862505
325,100-499,Skin,5,0.018881462180431255
326,100-499,Hair follicle,2,0.007552584872172501
326,100-499,Skin,1,0.0037762924360862505
327,100-499,Hair follicle,1,0.0037762924360862505
327,100-499,Skin,8,0.030210339488690004
328,100-499,Hair follicle,1,0.0037762924360862505
328,100-499,Skin,4,0.015105169744345002
329,100-499,Hair follicle,1,0.0037762924360862505
329,100-499,Skin,8,0.030210339488690004
330,100-499,Hair follicle,2,0.007552584872172501
330,100-499,Skin,1,0.0037762924360862505
331,100-499,Hair follicle,3,0.011328877308258751
331,100-499,Skin,6,0.022657754616517502
332,100-499,Hair follicle,1,0.0037762924360862505
332,100-499,Skin,4,0.015105169744345002
333,100-499,Hair follicle,1,0.0037762924360862505
333,100-499,Skin,5,0.018881462180431255
334,100-499,Hair follicle,1,0.0037762924360862505
334,100-499,Skin,1,0.0037762924360862505
335,100-499,Hair follicle,1,0.0037762924360862505
335,100-499,Skin,5,0.018881462180431255
336,100-499,Hair follicle,1,0.0037762924360862505
336,100-499,Skin,9,0.03398663192477625
337,100-499,Hair follicle,3,0.011328877308258751
337,100-499,Skin,4,0.015105169744345002
338,100-499,Hair follicle,2,0.007552584872172501
338,100-499,Skin,1,0.0037762924360862505
339,100-499,Hair follicle,1,0.0037762924360862505
339,100-499,Skin,3,0.011328877308258751
340,100-499,Skin,8,0.030210339488690004
341,100-499,Skin,7,0.026434047052603753
342,100-499,Skin,7,0.026434047052603753
343,100-499,Hair follicle,2,0.007552584872172501
343,100-499,Skin,1,0.0037762924360862505
344,100-499,Skin,2,0.007552584872172501
345,100-499,Hair follicle,3,0.011328877308258751
345,100-499,Skin,7,0.026434047052603753
346,100-499,Skin,1,0.0037762924360862505
347,100-499,Hair follicle,2,0.007552584872172501
347,100-499,Skin,4,0.015105169744345002
348,100-499,Hair follicle,1,0.0037762924360862505
348,100-499,Skin,2,0.007552584872172501
349,100-499,Hair follicle,1,0.0037762924360862505
349,100-499,Skin,4,0.015105169744345002
350,100-499,Skin,3,0.011328877308258751
351,100-499,Hair follicle,1,0.0037762924360862505
351,100-499,Skin,7,0.026434047052603753
352,100-499,Hair follicle,1,0.0037762924360862505
352,100-499,Skin,3,0.011328877308258751
353,100-499,Skin,9,0.03398663192477625
354,100-499,Hair follicle,1,0.0037762924360862505
354,100-499,Skin,4,0.015105169744345002
355,100-499,Hair follicle,4,0.015105169744345002
355,100-499,Skin,4,0.015105169744345002
356,100-499,Hair follicle,2,0.007552584872172501
356,100-499,Skin,5,0.018881462180431255
357,100-499,Skin,6,0.022657754616517502
358,100-499,Hair follicle,3,0.011328877308258751
358,100-499,Skin,3,0.011328877308258751
359,100-499,Skin,7,0.026434047052603753
360,100-499,Hair follicle,1,0.0037762924360862505
360,100-499,Skin,1,0.0037762924360862505
361,100-499,Skin,7,0.026434047052603753
362,100-499,Hair follicle,2,0.007552584872172501
362,100-499,Skin,5,0.018881462180431255
363,100-499,Hair follicle,1,0.0037762924360862505
363,100-499,Skin,5,0.018881462180431255
364,100-499,Skin,5,0.018881462180431255
365,100-499,Skin,6,0.022657754616517502
366,100-499,Hair follicle,1,0.0037762924360862505
366,100-499,Skin,6,0.022657754616517502
367,100-499,Skin,2,0.007552584872172501
368,100-499,Skin,7,0.026434047052603753
369,100-499,Hair follicle,2,0.007552584872172501
369,100-499,Skin,1,0.0037762924360862505
370,100-499,Hair follicle,2,0.007552584872172501
370,100-499,Skin,5,0.018881462180431255
371,100-499,Hair follicle,1,0.0037762924360862505
371,100-499,Skin,7,0.026434047052603753
372,100-499,Hair follicle,1,0.0037762924360862505
372,100-499,Skin,4,0.015105169744345002
373,100-499,Skin,2,0.007552584872172501
374,100-499,Skin,4,0.015105169744345002
375,100-499,Skin,6,0.022657754616517502
376,100-499,Hair follicle,3,0.011328877308258751
376,100-499,Skin,1,0.0037762924360862505
377,100-499,Hair follicle,1,0.0037762924360862505
377,100-499,Skin,6,0.022657754616517502
378,100-499,Skin,6,0.022657754616517502
379,100-499,Hair follicle,1,0.0037762924360862505
379,100-499,Skin,7,0.026434047052603753
380,100-499,Hair follicle,2,0.007552584872172501
380,100-499,Skin,10,0.03776292436086251
381,100-499,Hair follicle,1,0.0037762924360862505
381,100-499,Skin,8,0.030210339488690004
382,100-499,Hair follicle,1,0.0037762924360862505
382,100-499,Skin,4,0.015105169744345002
383,100-499,Hair follicle,1,0.0037762924360862505
383,100-499,Skin,8,0.030210339488690004
384,100-499,Hair follicle,1,0.0037762924360862505
384,100-499,Skin,8,0.030210339488690004
385,100-499,Skin,6,0.022657754616517502
387,100-499,Hair follicle,1,0.0037762924360862505
387,100-499,Skin,8,0.030210339488690004
388,100-499,Hair follicle,3,0.011328877308258751
388,100-499,Skin,5,0.018881462180431255
389,100-499,Hair follicle,1,0.0037762924360862505
389,100-499,Skin,9,0.03398663192477625
390,100-499,Hair follicle,1,0.0037762924360862505
390,100-499,Skin,10,0.03776292436086251
391,100-499,Hair follicle,2,0.007552584872172501
391,100-499,Skin,9,0.03398663192477625
392,100-499,Hair follicle,1,0.0037762924360862505
392,100-499,Skin,7,0.026434047052603753
393,100-499,Skin,5,0.018881462180431255
394,100-499,Skin,4,0.015105169744345002
395,100-499,Skin,5,0.018881462180431255
396,100-499,Hair follicle,1,0.0037762924360862505
396,100-499,Skin,2,0.007552584872172501
397,100-499,Hair follicle,2,0.007552584872172501
397,100-499,Skin,5,0.018881462180431255
398,100-499,Hair follicle,1,0.0037762924360862505
398,100-499,Skin,7,0.026434047052603753
399,100-499,Skin,5,0.018881462180431255
400,100-499,Skin,9,0.03398663192477625
401,100-499,Hair follicle,1,0.0037762924360862505
401,100-499,Skin,6,0.022657754616517502
402,100-499,Skin,6,0.022657754616517502
403,100-499,Hair follicle,2,0.007552584872172501
403,100-499,Skin,6,0.022657754616517502
404,100-499,Hair follicle,1,0.0037762924360862505
404,100-499,Skin,5,0.018881462180431255
405,100-499,Skin,10,0.03776292436086251
406,100-499,Hair follicle,1,0.0037762924360862505
406,100-499,Skin,4,0.015105169744345002
407,100-499,Skin,8,0.030210339488690004
408,100-499,Hair follicle,2,0.007552584872172501
408,100-499,Skin,8,0.030210339488690004
409,100-499,Hair follicle,1,0.0037762924360862505
409,100-499,Skin,10,0.03776292436086251
410,100-499,Skin,5,0.018881462180431255
411,100-499,Skin,9,0.03398663192477625
412,100-499,Hair follicle,1,0.0037762924360862505
412,100-499,Skin,7,0.026434047052603753
413,100-499,Skin,5,0.018881462180431255
414,100-499,Hair follicle,1,0.0037762924360862505
414,100-499,Skin,6,0.022657754616517502
415,100-499,Hair follicle,2,0.007552584872172501
415,100-499,Skin,5,0.018881462180431255
416,100-499,Hair follicle,1,0.0037762924360862505
416,100-499,Skin,8,0.030210339488690004
417,100-499,Hair follicle,4,0.015105169744345002
417,100-499,Skin,5,0.018881462180431255
418,100-499,Hair follicle,1,0.0037762924360862505
418,100-499,Skin,9,0.03398663192477625
419,100-499,Hair follicle,2,0.007552584872172501
419,100-499,Skin,2,0.007552584872172501
420,100-499,Skin,8,0.030210339488690004
421,100-499,Hair follicle,4,0.015105169744345002
421,100-499,Skin,8,0.030210339488690004
422,100-499,Skin,6,0.022657754616517502
423,100-499,Hair follicle,1,0.0037762924360862505
423,100-499,Skin,8,0.030210339488690004
424,100-499,Skin,9,0.03398663192477625
425,100-499,Skin,8,0.030210339488690004
426,100-499,Hair follicle,1,0.0037762924360862505
426,100-499,Skin,12,0.045315509233035005
427,100-499,Hair follicle,1,0.0037762924360862505
427,100-499,Skin,2,0.007552584872172501
428,100-499,Hair follicle,1,0.0037762924360862505
428,100-499,Skin,11,0.041539216796948754
429,100-499,Hair follicle,1,0.0037762924360862505
429,100-499,Skin,6,0.022657754616517502
430,100-499,Hair follicle,1,0.0037762924360862505
430,100-499,Skin,7,0.026434047052603753
431,100-499,Skin,6,0.022657754616517502
432,100-499,Hair follicle,3,0.011328877308258751
432,100-499,Skin,7,0.026434047052603753
433,100-499,Skin,5,0.018881462180431255
434,100-499,Hair follicle,1,0.0037762924360862505
434,100-499,Skin,8,0.030210339488690004
435,100-499,Hair follicle,1,0.0037762924360862505
435,100-499,Skin,13,0.049091801669121256
436,100-499,Skin,9,0.03398663192477625
437,100-499,Hair follicle,2,0.007552584872172501
437,100-499,Skin,6,0.022657754616517502
438,100-499,Skin,9,0.03398663192477625
439,100-499,Hair follicle,2,0.007552584872172501
439,100-499,Skin,6,0.022657754616517502
440,100-499,Hair follicle,1,0.0037762924360862505
440,100-499,Skin,8,0.030210339488690004
441,100-499,Skin,8,0.030210339488690004
442,100-499,Hair follicle,3,0.011328877308258751
442,100-499,Skin,12,0.045315509233035005
443,100-499,Hair follicle,2,0.007552584872172501
443,100-499,Skin,11,0.041539216796948754
444,100-499,Hair follicle,1,0.0037762924360862505
444,100-499,Skin,8,0.030210339488690004
445,100-499,Hair follicle,1,0.0037762924360862505
445,100-499,Skin,10,0.03776292436086251
446,100-499,Hair follicle,3,0.011328877308258751
446,100-499,Skin,4,0.015105169744345002
447,100-499,Hair follicle,1,0.0037762924360862505
447,100-499,Skin,12,0.045315509233035005
448,100-499,Skin,11,0.041539216796948754
449,100-499,Hair follicle,2,0.007552584872172501
449,100-499,Skin,4,0.015105169744345002
450,100-499,Hair follicle,1,0.0037762924360862505
450,100-499,Skin,13,0.049091801669121256
451,100-499,Skin,5,0.018881462180431255
452,100-499,Hair follicle,1,0.0037762924360862505
452,100-499,Skin,9,0.03398663192477625
453,100-499,Hair follicle,1,0.0037762924360862505
453,100-499,Skin,8,0.030210339488690004
454,100-499,Hair follicle,2,0.007552584872172501
454,100-499,Skin,8,0.030210339488690004
455,100-499,Hair follicle,1,0.0037762924360862505
455,100-499,Skin,8,0.030210339488690004
456,100-499,Hair follicle,1,0.0037762924360862505
456,100-499,Skin,9,0.03398663192477625
457,100-499,Skin,10,0.03776292436086251
458,100-499,Hair follicle,2,0.007552584872172501
458,100-499,Skin,15,0.056644386541293765
459,100-499,Skin,5,0.018881462180431255
460,100-499,Hair follicle,1,0.0037762924360862505
460,100-499,Skin,14,0.05286809410520751
461,100-499,Hair follicle,1,0.0037762924360862505
461,100-499,Skin,6,0.022657754616517502
462,100-499,Hair follicle,1,0.0037762924360862505
462,100-499,Skin,9,0.03398663192477625
463,100-499,Skin,14,0.05286809410520751
464,100-499,Skin,4,0.015105169744345002
465,100-499,Skin,9,0.03398663192477625
466,100-499,Skin,14,0.05286809410520751
467,100-499,Skin,9,0.03398663192477625
468,100-499,Hair follicle,1,0.0037762924360862505
468,100-499,Skin,8,0.030210339488690004
469,100-499,Skin,7,0.026434047052603753
470,100-499,Hair follicle,2,0.007552584872172501
470,100-499,Skin,14,0.05286809410520751
471,100-499,Hair follicle,1,0.0037762924360862505
471,100-499,Skin,5,0.018881462180431255
472,100-499,Skin,6,0.022657754616517502
473,100-499,Skin,7,0.026434047052603753
474,100-499,Hair follicle,2,0.007552584872172501
474,100-499,Skin,15,0.056644386541293765
475,100-499,Hair follicle,1,0.0037762924360862505
475,100-499,Skin,8,0.030210339488690004
476,100-499,Hair follicle,2,0.007552584872172501
476,100-499,Skin,6,0.022657754616517502
477,100-499,Hair follicle,1,0.0037762924360862505
477,100-499,Skin,8,0.030210339488690004
478,100-499,Hair follicle,1,0.0037762924360862505
478,100-499,Skin,8,0.030210339488690004
479,100-499,Hair follicle,4,0.015105169744345002
479,100-499,Skin,7,0.026434047052603753
480,100-499,Skin,9,0.03398663192477625
481,100-499,Hair follicle,1,0.0037762924360862505
481,100-499,Skin,13,0.049091801669121256
482,100-499,Skin,9,0.03398663192477625
483,100-499,Hair follicle,1,0.0037762924360862505
483,100-499,Skin,11,0.041539216796948754
484,100-499,Hair follicle,1,0.0037762924360862505
484,100-499,Skin,7,0.026434047052603753
485,100-499,Skin,8,0.030210339488690004
486,100-499,Skin,15,0.056644386541293765
487,100-499,Hair follicle,1,0.0037762924360862505
487,100-499,Skin,10,0.03776292436086251
488,100-499,Skin,8,0.030210339488690004
489,100-499,Hair follicle,1,0.0037762924360862505
489,100-499,Skin,9,0.03398663192477625
490,100-499,Hair follicle,1,0.0037762924360862505
490,100-499,Skin,14,0.05286809410520751
491,100-499,Skin,10,0.03776292436086251
492,100-499,Skin,9,0.03398663192477625
493,100-499,Hair follicle,1,0.0037762924360862505
493,100-499,Skin,8,0.030210339488690004
494,100-499,Skin,12,0.045315509233035005
495,100-499,Hair follicle,2,0.007552584872172501
495,100-499,Skin,10,0.03776292436086251
496,100-499,Skin,11,0.041539216796948754
497,100-499,Hair follicle,1,0.0037762924360862505
497,100-499,Skin,12,0.045315509233035005
498,100-499,Hair follicle,1,0.0037762924360862505
498,100-499,Skin,13,0.049091801669121256
499,100-499,Skin,6,0.022657754616517502
500,500-1000,Hair follicle,1,0.0037762924360862505
500,500-1000,Skin,6,0.022657754616517502
501,500-1000,Skin,14,0.05286809410520751
502,500-1000,Hair follicle,1,0.0037762924360862505
502,500-1000,Skin,8,0.030210339488690004
503,500-1000,Hair follicle,2,0.007552584872172501
503,500-1000,Skin,7,0.026434047052603753
504,500-1000,Skin,8,0.030210339488690004
505,500-1000,Hair follicle,1,0.0037762924360862505
505,500-1000,Skin,15,0.056644386541293765
506,500-1000,Skin,11,0.041539216796948754
507,500-1000,Hair follicle,1,0.0037762924360862505
507,500-1000,Skin,15,0.056644386541293765
508,500-1000,Hair follicle,1,0.0037762924360862505
508,500-1000,Skin,10,0.03776292436086251
509,500-1000,Skin,9,0.03398663192477625
510,500-1000,Hair follicle,1,0.0037762924360862505
510,500-1000,Skin,7,0.026434047052603753
511,500-1000,Skin,6,0.022657754616517502
512,500-1000,Hair follicle,1,0.0037762924360862505
512,500-1000,Skin,10,0.03776292436086251
513,500-1000,Skin,12,0.045315509233035005
514,500-1000,Skin,11,0.041539216796948754
515,500-1000,Skin,5,0.018881462180431255
516,500-1000,Hair follicle,1,0.0037762924360862505
516,500-1000,Skin,14,0.05286809410520751
517,500-1000,Skin,7,0.026434047052603753
518,500-1000,Skin,9,0.03398663192477625
519,500-1000,Skin,14,0.05286809410520751
520,500-1000,Hair follicle,1,0.0037762924360862505
520,500-1000,Skin,15,0.056644386541293765
521,500-1000,Hair follicle,2,0.007552584872172501
521,500-1000,Skin,11,0.041539216796948754
522,500-1000,Skin,11,0.041539216796948754
523,500-1000,Skin,13,0.049091801669121256
524,500-1000,Hair follicle,1,0.0037762924360862505
524,500-1000,Skin,8,0.030210339488690004
525,500-1000,Skin,5,0.018881462180431255
526,500-1000,Skin,12,0.045315509233035005
527,500-1000,Hair follicle,1,0.0037762924360862505
527,500-1000,Skin,11,0.041539216796948754
528,500-1000,Skin,8,0.030210339488690004
529,500-1000,Skin,9,0.03398663192477625
530,500-1000,Skin,8,0.030210339488690004
531,500-1000,Skin,8,0.030210339488690004
532,500-1000,Skin,8,0.030210339488690004
533,500-1000,Skin,4,0.015105169744345002
534,500-1000,Hair follicle,1,0.0037762924360862505
534,500-1000,Skin,9,0.03398663192477625
535,500-1000,Skin,13,0.049091801669121256
536,500-1000,Skin,10,0.03776292436086251
537,500-1000,Hair follicle,2,0.007552584872172501
537,500-1000,Skin,8,0.030210339488690004
538,500-1000,Skin,8,0.030210339488690004
539,500-1000,Hair follicle,1,0.0037762924360862505
539,500-1000,Skin,6,0.022657754616517502
540,500-1000,Skin,8,0.030210339488690004
541,500-1000,Skin,3,0.011328877308258751
542,500-1000,Hair follicle,1,0.0037762924360862505
542,500-1000,Skin,9,0.03398663192477625
543,500-1000,Skin,6,0.022657754616517502
544,500-1000,Hair follicle,2,0.007552584872172501
544,500-1000,Skin,11,0.041539216796948754
545,500-1000,Skin,3,0.011328877308258751
546,500-1000,Hair follicle,1,0.0037762924360862505
546,500-1000,Skin,9,0.03398663192477625
547,500-1000,Hair follicle,2,0.007552584872172501
547,500-1000,Skin,5,0.018881462180431255
548,500-1000,Skin,6,0.022657754616517502
549,500-1000,Hair follicle,1,0.0037762924360862505
549,500-1000,Skin,4,0.015105169744345002
550,500-1000,Skin,7,0.026434047052603753
551,500-1000,Hair follicle,1,0.0037762924360862505
551,500-1000,Skin,7,0.026434047052603753
552,500-1000,Skin,4,0.015105169744345002
553,500-1000,Skin,5,0.018881462180431255
554,500-1000,Skin,8,0.030210339488690004
555,500-1000,Hair follicle,1,0.0037762924360862505
555,500-1000,Skin,6,0.022657754616517502
556,500-1000,Skin,10,0.03776292436086251
557,500-1000,Hair follicle,1,0.0037762924360862505
557,500-1000,Skin,6,0.022657754616517502
558,500-1000,Hair follicle,2,0.007552584872172501
558,500-1000,Skin,1,0.0037762924360862505
559,500-1000,Skin,3,0.011328877308258751
560,500-1000,Skin,6,0.022657754616517502
561,500-1000,Skin,2,0.007552584872172501
562,500-1000,Skin,6,0.022657754616517502
563,500-1000,Skin,12,0.045315509233035005
564,500-1000,Hair follicle,1,0.0037762924360862505
564,500-1000,Skin,10,0.03776292436086251
565,500-1000,Skin,9,0.03398663192477625
566,500-1000,Hair follicle,1,0.0037762924360862505
566,500-1000,Skin,5,0.018881462180431255
567,500-1000,Skin,6,0.022657754616517502
568,500-1000,Hair follicle,1,0.0037762924360862505
568,500-1000,Skin,6,0.022657754616517502
569,500-1000,Skin,2,0.007552584872172501
570,500-1000,Hair follicle,2,0.007552584872172501
570,500-1000,Skin,6,0.022657754616517502
571,500-1000,Skin,6,0.022657754616517502
572,500-1000,Skin,4,0.015105169744345002
573,500-1000,Skin,6,0.022657754616517502
574,500-1000,Hair follicle,1,0.0037762924360862505
574,500-1000,Skin,4,0.015105169744345002
575,500-1000,Hair follicle,1,0.0037762924360862505
575,500-1000,Skin,4,0.015105169744345002
576,500-1000,Hair follicle,1,0.0037762924360862505
576,500-1000,Skin,7,0.026434047052603753
577,500-1000,Skin,10,0.03776292436086251
578,500-1000,Hair follicle,1,0.0037762924360862505
578,500-1000,Skin,5,0.018881462180431255
579,500-1000,Skin,6,0.022657754616517502
580,500-1000,Skin,4,0.015105169744345002
581,500-1000,Skin,2,0.007552584872172501
582,500-1000,Hair follicle,1,0.0037762924360862505
582,500-1000,Skin,4,0.015105169744345002
583,500-1000,Hair follicle,2,0.007552584872172501
583,500-1000,Skin,3,0.011328877308258751
584,500-1000,Skin,5,0.018881462180431255
585,500-1000,Hair follicle,2,0.007552584872172501
585,500-1000,Skin,2,0.007552584872172501
586,500-1000,Hair follicle,1,0.0037762924360862505
586,500-1000,Skin,1,0.0037762924360862505
587,500-1000,Skin,3,0.011328877308258751
588,500-1000,Skin,5,0.018881462180431255
589,500-1000,Skin,1,0.0037762924360862505
590,500-1000,Skin,5,0.018881462180431255
591,500-1000,Hair follicle,1,0.0037762924360862505
591,500-1000,Skin,2,0.007552584872172501
592,500-1000,Skin,1,0.0037762924360862505
593,500-1000,Skin,6,0.022657754616517502
594,500-1000,Skin,6,0.022657754616517502
595,500-1000,Skin,4,0.015105169744345002
596,500-1000,Skin,1,0.0037762924360862505
597,500-1000,Skin,5,0.018881462180431255
598,500-1000,Skin,4,0.015105169744345002
600,500-1000,Hair follicle,1,0.0037762924360862505
600,500-1000,Skin,5,0.018881462180431255
601,500-1000,Skin,5,0.018881462180431255
602,500-1000,Hair follicle,1,0.0037762924360862505
602,500-1000,Skin,4,0.015105169744345002
603,500-1000,Skin,5,0.018881462180431255
604,500-1000,Skin,2,0.007552584872172501
605,500-1000,Hair follicle,3,0.011328877308258751
605,500-1000,Skin,3,0.011328877308258751
606,500-1000,Skin,6,0.022657754616517502
607,500-1000,Skin,3,0.011328877308258751
608,500-1000,Skin,5,0.018881462180431255
609,500-1000,Skin,7,0.026434047052603753
610,500-1000,Skin,4,0.015105169744345002
611,500-1000,Skin,2,0.007552584872172501
612,500-1000,Hair follicle,2,0.007552584872172501
612,500-1000,Skin,5,0.018881462180431255
613,500-1000,Skin,8,0.030210339488690004
614,500-1000,Hair follicle,1,0.0037762924360862505
614,500-1000,Skin,3,0.011328877308258751
615,500-1000,Skin,2,0.007552584872172501
616,500-1000,Skin,5,0.018881462180431255
617,500-1000,Skin,3,0.011328877308258751
618,500-1000,Skin,5,0.018881462180431255
619,500-1000,Skin,5,0.018881462180431255
620,500-1000,Hair follicle,1,0.0037762924360862505
620,500-1000,Skin,1,0.0037762924360862505
621,500-1000,Skin,2,0.007552584872172501
623,500-1000,Skin,2,0.007552584872172501
624,500-1000,Skin,5,0.018881462180431255
625,500-1000,Skin,4,0.015105169744345002
626,500-1000,Skin,3,0.011328877308258751
627,500-1000,Skin,3,0.011328877308258751
628,500-1000,Skin,2,0.007552584872172501
629,500-1000,Skin,2,0.007552584872172501
630,500-1000,Skin,2,0.007552584872172501
631,500-1000,Skin,1,0.0037762924360862505
632,500-1000,Skin,1,0.0037762924360862505
633,500-1000,Skin,4,0.015105169744345002
634,500-1000,Hair follicle,1,0.0037762924360862505
634,500-1000,Skin,1,0.0037762924360862505
635,500-1000,Skin,2,0.007552584872172501
636,500-1000,Skin,7,0.026434047052603753
637,500-1000,Skin,2,0.007552584872172501
638,500-1000,Skin,3,0.011328877308258751
639,500-1000,Hair follicle,1,0.0037762924360862505
639,500-1000,Skin,3,0.011328877308258751
640,500-1000,Skin,3,0.011328877308258751
641,500-1000,Hair follicle,1,0.0037762924360862505
641,500-1000,Skin,2,0.007552584872172501
642,500-1000,Skin,1,0.0037762924360862505
643,500-1000,Hair follicle,1,0.0037762924360862505
643,500-1000,Skin,2,0.007552584872172501
644,500-1000,Skin,1,0.0037762924360862505
645,500-1000,Skin,1,0.0037762924360862505
646,500-1000,Skin,1,0.0037762924360862505
647,500-1000,Hair follicle,1,0.0037762924360862505
647,500-1000,Skin,3,0.011328877308258751
648,500-1000,Skin,1,0.0037762924360862505
649,500-1000,Hair follicle,1,0.0037762924360862505
649,500-1000,Skin,3,0.011328877308258751
650,500-1000,Skin,1,0.0037762924360862505
652,500-1000,Skin,2,0.007552584872172501
653,500-1000,Skin,2,0.007552584872172501
654,500-1000,Skin,5,0.018881462180431255
656,500-1000,Skin,1,0.0037762924360862505
657,500-1000,Skin,2,0.007552584872172501
658,500-1000,Hair follicle,1,0.0037762924360862505
658,500-1000,Skin,1,0.0037762924360862505
659,500-1000,Hair follicle,1,0.0037762924360862505
659,500-1000,Skin,3,0.011328877308258751
660,500-1000,Skin,2,0.007552584872172501
663,500-1000,Skin,6,0.022657754616517502
664,500-1000,Skin,2,0.007552584872172501
665,500-1000,Skin,1,0.0037762924360862505
666,500-1000,Skin,1,0.0037762924360862505
667,500-1000,Hair follicle,1,0.0037762924360862505
667,500-1000,Skin,3,0.011328877308258751
668,500-1000,Hair follicle,1,0.0037762924360862505
669,500-1000,Hair follicle,1,0.0037762924360862505
669,500-1000,Skin,1,0.0037762924360862505
670,500-1000,Skin,2,0.007552584872172501
671,500-1000,Skin,1,0.0037762924360862505
672,500-1000,Hair follicle,1,0.0037762924360862505
672,500-1000,Skin,4,0.015105169744345002
674,500-1000,Skin,2,0.007552584872172501
675,500-1000,Skin,2,0.007552584872172501
676,500-1000,Skin,1,0.0037762924360862505
677,500-1000,Skin,2,0.007552584872172501
678,500-1000,Hair follicle,1,0.0037762924360862505
679,500-1000,Skin,1,0.0037762924360862505
680,500-1000,Skin,2,0.007552584872172501
681,500-1000,Hair follicle,1,0.0037762924360862505
681,500-1000,Skin,1,0.0037762924360862505
682,500-1000,Hair follicle,1,0.0037762924360862505
682,500-1000,Skin,2,0.007552584872172501
683,500-1000,Hair follicle,1,0.0037762924360862505
684,500-1000,Skin,1,0.0037762924360862505
687,500-1000,Skin,1,0.0037762924360862505
690,500-1000,Skin,2,0.007552584872172501
691,500-1000,Hair follicle,1,0.0037762924360862505
693,500-1000,Skin,2,0.007552584872172501
697,500-1000,Skin,1,0.0037762924360862505
699,500-1000,Skin,2,0.007552584872172501
704,500-1000,Skin,1,0.0037762924360862505
708,500-1000,Hair follicle,1,0.0037762924360862505
712,500-1000,Skin,1,0.0037762924360862505
715,500-1000,Skin,2,0.007552584872172501
716,500-1000,Skin,1,0.0037762924360862505
721,500-1000,Skin,1,0.0037762924360862505
723,500-1000,Skin,2,0.007552584872172501
724,500-1000,Skin,1,0.0037762924360862505
727,500-1000,Skin,1,0.0037762924360862505
729,500-1000,Hair follicle,1,0.0037762924360862505
729,500-1000,Skin,1,0.0037762924360862505
730,500-1000,Hair follicle,1,0.0037762924360862505
730,500-1000,Skin,1,0.0037762924360862505
731,500-1000,Hair follicle,1,0.0037762924360862505
731,500-1000,Skin,1,0.0037762924360862505
733,500-1000,Skin,2,0.007552584872172501
736,500-1000,Skin,1,0.0037762924360862505
739,500-1000,Skin,1,0.0037762924360862505
744,500-1000,Hair follicle,1,0.0037762924360862505
744,500-1000,Skin,2,0.007552584872172501
747,500-1000,Skin,1,0.0037762924360862505
750,500-1000,Hair follicle,1,0.0037762924360862505
751,500-1000,Skin,1,0.0037762924360862505
753,500-1000,Skin,1,0.0037762924360862505
754,500-1000,Skin,1,0.0037762924360862505
755,500-1000,Hair follicle,1,0.0037762924360862505
756,500-1000,Skin,1,0.0037762924360862505
758,500-1000,Skin,1,0.0037762924360862505
760,500-1000,Hair follicle,1,0.0037762924360862505
761,500-1000,Skin,1,0.0037762924360862505
763,500-1000,Skin,1,0.0037762924360862505
764,500-1000,Skin,1,0.0037762924360862505
766,500-1000,Hair follicle,2,0.007552584872172501
767,500-1000,Skin,1,0.0037762924360862505
768,500-1000,Hair follicle,1,0.0037762924360862505
768,500-1000,Skin,1,0.0037762924360862505
769,500-1000,Hair follicle,1,0.0037762924360862505
771,500-1000,Hair follicle,2,0.007552584872172501
775,500-1000,Hair follicle,1,0.0037762924360862505
776,500-1000,Hair follicle,1,0.0037762924360862505
777,500-1000,Skin,1,0.0037762924360862505
782,500-1000,Hair follicle,1,0.0037762924360862505
790,500-1000,Hair follicle,1,0.0037762924360862505
797,500-1000,Skin,1,0.0037762924360862505
803,500-1000,Skin,1,0.0037762924360862505
804,500-1000,Hair follicle,1,0.0037762924360862505
811,500-1000,Skin,2,0.007552584872172501
812,500-1000,Hair follicle,2,0.007552584872172501
818,500-1000,Skin,1,0.0037762924360862505
820,500-1000,Skin,2,0.007552584872172501
821,500-1000,Hair follicle,3,0.011328877308258751
823,500-1000,Skin,1,0.0037762924360862505
826,500-1000,Hair follicle,1,0.0037762924360862505
835,500-1000,Hair follicle,1,0.0037762924360862505
841,500-1000,Skin,1,0.0037762924360862505
848,500-1000,Hair follicle,1,0.0037762924360862505
858,500-1000,Hair follicle,1,0.0037762924360862505
858,500-1000,Skin,1,0.0037762924360862505
867,500-1000,Skin,1,0.0037762924360862505
868,500-1000,Hair follicle,1,0.0037762924360862505
869,500-1000,Hair follicle,1,0.0037762924360862505
876,500-1000,Skin,1,0.0037762924360862505
877,500-1000,Hair follicle,1,0.0037762924360862505
880,500-1000,Hair follicle,1,0.0037762924360862505
895,500-1000,Skin,1,0.0037762924360862505
898,500-1000,Skin,1,0.0037762924360862505
899,500-1000,Skin,1,0.0037762924360862505
