gt_DP,gt_dp_bins,tissue,n_mutations,pct_mutations
137,100-499,Skin,8,0.030210339488690004
138,100-499,Hair follicle,16,0.06042067897738001
138,100-499,Skin,12,0.045315509233035005
139,100-499,Hair follicle,10,0.03776292436086251
139,100-499,Skin,3,0.011328877308258751
140,100-499,Hair follicle,10,0.03776292436086251
140,100-499,Skin,7,0.026434047052603753
141,100-499,Hair follicle,13,0.049091801669121256
141,100-499,Skin,3,0.011328877308258751
142,100-499,Hair follicle,7,0.026434047052603753
142,100-499,Skin,10,0.03776292436086251
143,100-499,Hair follicle,8,0.030210339488690004
143,100-499,Skin,2,0.007552584872172501
144,100-499,Hair follicle,10,0.03776292436086251
144,100-499,Skin,7,0.026434047052603753
145,100-499,Hair follicle,6,0.022657754616517502
145,100-499,Skin,8,0.030210339488690004
146,100-499,Hair follicle,5,0.018881462180431255
146,100-499,Skin,7,0.026434047052603753
147,100-499,Hair follicle,8,0.030210339488690004
147,100-499,Skin,4,0.015105169744345002
148,100-499,Hair follicle,5,0.018881462180431255
148,100-499,Skin,7,0.026434047052603753
149,100-499,Hair follicle,15,0.056644386541293765
149,100-499,Skin,5,0.018881462180431255
150,100-499,Hair follicle,8,0.030210339488690004
150,100-499,Skin,4,0.015105169744345002
151,100-499,Hair follicle,7,0.026434047052603753
151,100-499,Skin,3,0.011328877308258751
152,100-499,Hair follicle,19,0.07174955628563877
152,100-499,Skin,6,0.022657754616517502
153,100-499,Hair follicle,6,0.022657754616517502
153,100-499,Skin,8,0.030210339488690004
154,100-499,Hair follicle,11,0.041539216796948754
154,100-499,Skin,3,0.011328877308258751
155,100-499,Hair follicle,8,0.030210339488690004
155,100-499,Skin,2,0.007552584872172501
156,100-499,Hair follicle,12,0.045315509233035005
156,100-499,Skin,4,0.015105169744345002
157,100-499,Hair follicle,11,0.041539216796948754
157,100-499,Skin,5,0.018881462180431255
158,100-499,Hair follicle,7,0.026434047052603753
158,100-499,Skin,6,0.022657754616517502
159,100-499,Hair follicle,6,0.022657754616517502
159,100-499,Skin,2,0.007552584872172501
160,100-499,Hair follicle,13,0.049091801669121256
160,100-499,Skin,6,0.022657754616517502
161,100-499,Hair follicle,8,0.030210339488690004
161,100-499,Skin,6,0.022657754616517502
162,100-499,Hair follicle,9,0.03398663192477625
162,100-499,Skin,4,0.015105169744345002
163,100-499,Hair follicle,7,0.026434047052603753
163,100-499,Skin,4,0.015105169744345002
164,100-499,Hair follicle,7,0.026434047052603753
164,100-499,Skin,2,0.007552584872172501
165,100-499,Hair follicle,8,0.030210339488690004
165,100-499,Skin,4,0.015105169744345002
166,100-499,Hair follicle,10,0.03776292436086251
166,100-499,Skin,6,0.022657754616517502
167,100-499,Hair follicle,5,0.018881462180431255
167,100-499,Skin,5,0.018881462180431255
168,100-499,Hair follicle,8,0.030210339488690004
168,100-499,Skin,4,0.015105169744345002
169,100-499,Hair follicle,8,0.030210339488690004
169,100-499,Skin,2,0.007552584872172501
170,100-499,Hair follicle,8,0.030210339488690004
170,100-499,Skin,4,0.015105169744345002
171,100-499,Hair follicle,8,0.030210339488690004
171,100-499,Skin,4,0.015105169744345002
172,100-499,Hair follicle,11,0.041539216796948754
172,100-499,Skin,3,0.011328877308258751
173,100-499,Hair follicle,12,0.045315509233035005
173,100-499,Skin,2,0.007552584872172501
174,100-499,Hair follicle,9,0.03398663192477625
174,100-499,Skin,4,0.015105169744345002
175,100-499,Hair follicle,6,0.022657754616517502
175,100-499,Skin,5,0.018881462180431255
176,100-499,Hair follicle,7,0.026434047052603753
176,100-499,Skin,4,0.015105169744345002
177,100-499,Hair follicle,10,0.03776292436086251
177,100-499,Skin,3,0.011328877308258751
178,100-499,Hair follicle,9,0.03398663192477625
178,100-499,Skin,5,0.018881462180431255
179,100-499,Hair follicle,4,0.015105169744345002
179,100-499,Skin,2,0.007552584872172501
180,100-499,Hair follicle,7,0.026434047052603753
180,100-499,Skin,3,0.011328877308258751
181,100-499,Hair follicle,9,0.03398663192477625
181,100-499,Skin,4,0.015105169744345002
182,100-499,Hair follicle,4,0.015105169744345002
182,100-499,Skin,5,0.018881462180431255
183,100-499,Hair follicle,9,0.03398663192477625
183,100-499,Skin,3,0.011328877308258751
184,100-499,Hair follicle,1,0.0037762924360862505
184,100-499,Skin,10,0.03776292436086251
185,100-499,Hair follicle,4,0.015105169744345002
185,100-499,Skin,5,0.018881462180431255
186,100-499,Hair follicle,5,0.018881462180431255
186,100-499,Skin,3,0.011328877308258751
187,100-499,Hair follicle,7,0.026434047052603753
187,100-499,Skin,3,0.011328877308258751
188,100-499,Hair follicle,6,0.022657754616517502
188,100-499,Skin,5,0.018881462180431255
189,100-499,Hair follicle,7,0.026434047052603753
189,100-499,Skin,2,0.007552584872172501
190,100-499,Hair follicle,6,0.022657754616517502
190,100-499,Skin,4,0.015105169744345002
191,100-499,Hair follicle,2,0.007552584872172501
191,100-499,Skin,1,0.0037762924360862505
192,100-499,Hair follicle,4,0.015105169744345002
192,100-499,Skin,4,0.015105169744345002
193,100-499,Hair follicle,7,0.026434047052603753
193,100-499,Skin,3,0.011328877308258751
194,100-499,Hair follicle,8,0.030210339488690004
194,100-499,Skin,5,0.018881462180431255
195,100-499,Hair follicle,7,0.026434047052603753
195,100-499,Skin,4,0.015105169744345002
196,100-499,Hair follicle,4,0.015105169744345002
196,100-499,Skin,5,0.018881462180431255
197,100-499,Hair follicle,6,0.022657754616517502
197,100-499,Skin,3,0.011328877308258751
198,100-499,Hair follicle,5,0.018881462180431255
198,100-499,Skin,6,0.022657754616517502
199,100-499,Hair follicle,8,0.030210339488690004
199,100-499,Skin,4,0.015105169744345002
200,100-499,Hair follicle,5,0.018881462180431255
200,100-499,Skin,6,0.022657754616517502
201,100-499,Hair follicle,5,0.018881462180431255
201,100-499,Skin,3,0.011328877308258751
202,100-499,Hair follicle,6,0.022657754616517502
202,100-499,Skin,7,0.026434047052603753
203,100-499,Hair follicle,6,0.022657754616517502
203,100-499,Skin,6,0.022657754616517502
204,100-499,Hair follicle,6,0.022657754616517502
204,100-499,Skin,8,0.030210339488690004
205,100-499,Hair follicle,6,0.022657754616517502
205,100-499,Skin,6,0.022657754616517502
206,100-499,Hair follicle,3,0.011328877308258751
206,100-499,Skin,1,0.0037762924360862505
207,100-499,Hair follicle,5,0.018881462180431255
207,100-499,Skin,5,0.018881462180431255
208,100-499,Hair follicle,3,0.011328877308258751
208,100-499,Skin,7,0.026434047052603753
209,100-499,Hair follicle,3,0.011328877308258751
209,100-499,Skin,4,0.015105169744345002
210,100-499,Hair follicle,4,0.015105169744345002
210,100-499,Skin,3,0.011328877308258751
211,100-499,Hair follicle,5,0.018881462180431255
211,100-499,Skin,11,0.041539216796948754
212,100-499,Hair follicle,3,0.011328877308258751
212,100-499,Skin,3,0.011328877308258751
213,100-499,Hair follicle,3,0.011328877308258751
213,100-499,Skin,3,0.011328877308258751
214,100-499,Hair follicle,6,0.022657754616517502
214,100-499,Skin,4,0.015105169744345002
215,100-499,Hair follicle,5,0.018881462180431255
215,100-499,Skin,3,0.011328877308258751
216,100-499,Hair follicle,2,0.007552584872172501
216,100-499,Skin,4,0.015105169744345002
217,100-499,Hair follicle,9,0.03398663192477625
217,100-499,Skin,6,0.022657754616517502
218,100-499,Hair follicle,3,0.011328877308258751
218,100-499,Skin,7,0.026434047052603753
219,100-499,Hair follicle,5,0.018881462180431255
219,100-499,Skin,3,0.011328877308258751
220,100-499,Hair follicle,3,0.011328877308258751
220,100-499,Skin,4,0.015105169744345002
221,100-499,Hair follicle,2,0.007552584872172501
221,100-499,Skin,1,0.0037762924360862505
222,100-499,Hair follicle,1,0.0037762924360862505
223,100-499,Hair follicle,4,0.015105169744345002
223,100-499,Skin,6,0.022657754616517502
224,100-499,Hair follicle,3,0.011328877308258751
224,100-499,Skin,3,0.011328877308258751
225,100-499,Hair follicle,10,0.03776292436086251
225,100-499,Skin,5,0.018881462180431255
226,100-499,Hair follicle,7,0.026434047052603753
226,100-499,Skin,4,0.015105169744345002
227,100-499,Hair follicle,7,0.026434047052603753
227,100-499,Skin,1,0.0037762924360862505
228,100-499,Hair follicle,5,0.018881462180431255
