plot_morphology,plot_group,VARIANT_CLASS,mean_ratio,sd_ratio,se_ratio,n_samples
Papilloma,Week 8,insertion,0.03499986675112595,0.015980653005255693,0.009226434314410377,3
Papilloma,Week 8,substitution,0.015946559001576436,0.005390514543337434,0.0031122150226664605,3
Papilloma,Week 14,SNV,0.7448098563124083,0.04392246085182522,0.02535864459627209,3
Papilloma,Week 14,deletion,0.21049383414626788,0.04938559021880668,0.02851278380691659,3
Papilloma,Week 14,insertion,0.026237980451848247,0.008782504676008553,0.005070581438852685,3
Papilloma,Week 14,substitution,0.01845832908947561,0.012377964924899867,0.007146421381410684,3
Papilloma,Week 17,SNV,0.7612085769980507,0.1267120256307193,0.05172996784495435,6
Papilloma,Week 17,deletion,0.20680952861079904,0.11889811987123455,0.048539954176798975,6
Papilloma,Week 17,insertion,0.020460034185079558,0.02363555089355504,0.009649173246465477,6
Papilloma,Week 17,substitution,0.011521860206070732,0.013036608439671629,0.005322173108942712,6
Papilloma,Skin DT,SNV,0.6396345666592146,0.05941359279401149,0.029706796397005745,4
Papilloma,Skin DT,deletion,0.30420986567553476,0.05921149371096001,0.029605746855480005,4
Papilloma,Skin DT,insertion,0.044425814144124005,0.033704668085073164,0.016852334042536582,4
Papilloma,Skin DT,substitution,0.011729753521126762,0.014079623383074013,0.0070398116915370065,4
Visually normal,Week 8,SNV,0.7541568025886836,0.10378499460931248,0.02996014728776521,12
Visually normal,Week 8,deletion,0.16135993325544357,0.11995338676985276,0.03462756007089089,12
Visually normal,Week 8,insertion,0.047968435811426936,0.04400879183503278,0.01270424390633319,12
Visually normal,Week 8,substitution,0.036514828344446,0.06121583183318524,0.01767148849377818,12
Visually normal,Week 14,SNV,0.7862542315862747,0.06252023664808738,0.0188505606150848,11
Visually normal,Week 14,deletion,0.18041069816376504,0.06135403398663118,0.018498937282578974,11
Visually normal,Week 14,insertion,0.023091269442433917,0.023068701975314874,0.0069554753502409,11
Visually normal,Week 14,substitution,0.010243800807526298,0.012311270105515444,0.0037119876029739875,11
Visually normal,Week 17,SNV,0.6720825716391888,0.19122968122478415,0.041729737587373764,21
Visually normal,Week 17,deletion,0.28203819316379886,0.19766947143349403,0.04313501502028083,21
Visually normal,Week 17,insertion,0.024447672301752845,0.022955702994163323,0.005009345076270374,21
Visually normal,Week 17,substitution,0.021431562895259514,0.01826277820728464,0.003985264930241514,21
Visually normal,Week 19,SNV,0.7515907749938275,0.14408114717388246,0.06443504787139058,5
Visually normal,Week 19,deletion,0.19155714192458115,0.1584746997924668,0.07087204028996552,5
Visually normal,Week 19,insertion,0.031036486774191692,0.02838497821798111,0.012694148167051321,5
Visually normal,Week 19,substitution,0.025815596307399588,0.0150785540834029,0.006743334386579184,5
Visually normal,Skin DT,SNV,0.6284108615350489,0.2762987354403951,0.06907468386009878,16
Visually normal,Skin DT,deletion,0.2702354844255301,0.2329797613094508,0.0582449403273627,16
Visually normal,Skin DT,insertion,0.028004280212344464,0.02930258101441761,0.007325645253604403,16
Visually normal,Skin DT,substitution,0.07334937382707657,0.247323917090169,0.06183097927254225,16
