sample_name,tissue,treatment,time,category,callable_mbp,coverage,mutations
hairfollicle21-d3-w8,Hair follicle,DT,Week 8,Visually normal,2.538416,40.43,83
hairfollicle21-d4-w14,Hair follicle,DT,Week 14,Visually normal,0.87896,19.37,53
hairfollicle21-d4-w17,Hair follicle,DT,Week 17,Visually normal,6.847142,209.92,149
hairfollicle21-d4-w8,Hair follicle,DT,Week 8,Visually normal,4.031194,63.28,138
hairfollicle21-d5-w17,Hair follicle,DT,Week 17,Papilloma,0.732307,32.14,24
hairfollicle21-d6-w17,Hair follicle,DT,Week 17,Papilloma,6.714743,196.19,116
hairfollicle21-d7-w17,Hair follicle,DT,Week 17,Visually normal,0.487497,17.89,5
hairfollicle21-e1-w14,Hair follicle,DT,Week 14,Papilloma,6.83134,202.72,110
hairfollicle21-e1-w17,Hair follicle,DT,Week 17,Papilloma,1.976902,29.66,72
hairfollicle21-e2-w14,Hair follicle,DT,Week 14,Papilloma,8.678968,122.58,277
hairfollicle21-e2-w17,Hair follicle,DT,Week 17,Papilloma,0.09647,3.87,1
hairfollicle21-e2-w8,Hair follicle,DT,Week 8,Papilloma,4.144713,62.9,89
hairfollicle21-e3-w14,Hair follicle,DT,Week 14,SCC,6.401981,108.63,476
hairfollicle21-e3-w17,Hair follicle,DT,Week 17,SCC,1.726768,42.16,43
hairfollicle21-e3-w8,Hair follicle,DT,Week 8,SCC,3.061262,44.83,79
hairfollicle21-e4-w14,Hair follicle,DT,Week 14,SCC,13.537542,302.55,149
hairfollicle21-e4-w17,Hair follicle,DT,Week 17,SCC,1.130164,47.62,23
hairfollicle21-e4-w8,Hair follicle,DT,Week 8,SCC,2.535779,42.71,67
hairfollicle21-e5-w17,Hair follicle,DT,Week 17,Visually normal,5.085448,106.36,137
hairfollicle21-e6-w17,Hair follicle,DT,Week 17,Visually normal,2.372833,55,54
hairfollicle21-e7-w17,Hair follicle,DT,Week 17,Visually normal,0.210351,4.87,1
hairfollicle21-f1-w14,Hair follicle,DT,Week 14,Papilloma,8.368855,272.73,145
hairfollicle21-f1-w17,Hair follicle,DT,Week 17,Visually normal,1.765464,51.85,59
hairfollicle21-f1-w8,Hair follicle,DT,Week 8,Papilloma,5.118998,71.72,504
hairfollicle21-f2-w14,Hair follicle,DT,Week 14,Visually normal,6.596567,112.58,102
hairfollicle21-f2-w17,Hair follicle,DT,Week 17,Visually normal,2.140865,37.35,73
hairfollicle21-f2-w19,Hair follicle,DT,Week 19,Visually normal,1.337532,25.99,61
hairfollicle21-f3-w17,Hair follicle,DT,Week 17,SCC,1.892017,54.23,37
hairfollicle21-f3-w8,Hair follicle,DT,Week 8,SCC,2.421663,40.47,51
hairfollicle21-f4-w17,Hair follicle,DT,Week 17,SCC,7.08742,261.67,120
hairfollicle21-f4-w19,Hair follicle,DT,Week 19,Visually normal,0.703676,19.78,29
hairfollicle21-f4-w8,Hair follicle,DT,Week 8,SCC,1.019368,23.38,68
hairfollicle21-f5-w17,Hair follicle,DT,Week 17,Visually normal,2.300146,50.48,76
hairfollicle21-f6-w14,Hair follicle,DT,Week 14,Visually normal,3.079898,38.21,81
hairfollicle21-f6-w17,Hair follicle,DT,Week 17,Visually normal,4.406615,54.51,201
hairfollicle21-f6-w19,Hair follicle,DT,Week 19,SCC,4.84509,64.01,121
hairfollicle21-f6-w8,Hair follicle,DT,Week 8,Visually normal,3.740226,57.75,231
hairfollicle21-f7-w14,Hair follicle,DT,Week 14,Visually normal,0.883633,18.77,31
hairfollicle21-f7-w17,Hair follicle,DT,Week 17,Visually normal,0.261405,7.8,17
hairfollicle21-f7-w19,Hair follicle,DT,Week 19,Visually normal,1.250293,23.74,33
hairfollicle21-f7-w8,Hair follicle,DT,Week 8,Visually normal,0.482424,15.44,16
hairfollicle21-g1-w14,Hair follicle,DT,Week 14,Visually normal,3.742096,37.4,111
hairfollicle21-g1-w17,Hair follicle,DT,Week 17,Visually normal,3.03108,67.83,75
hairfollicle21-g1-w8,Hair follicle,DT,Week 8,Visually normal,5.031802,68.31,265
