vaf_group,x,mean,lwr,upr,n_samples
TES Acetone,0.043052837573385516,6.607593722263437,5.4296334586846475,7.785553985842227,4
TES Acetone,0.04500978473581213,7.040011741202176,5.448304853969829,8.631718628434523,4
TES Acetone,0.046966731898238745,7.527872553474587,5.597337788370297,9.458407318578878,4
TES Acetone,0.04892367906066536,8.072452016811447,5.939114851797828,10.205789181825065,4
TES Acetone,0.050880626223091974,8.664377531572583,6.475721721139468,10.853033342005698,4
TES Acetone,0.05283757338551859,9.285483254505866,7.1378040813051475,11.433162427706584,4
TES Acetone,0.0547945205479452,9.91256361026953,7.793881186459744,12.031246034079315,4
TES Acetone,0.05675146771037182,10.52198210763415,8.315192768428219,12.728771446840081,4
TES Acetone,0.05870841487279843,11.092380277215625,8.672045047079834,13.512715507351416,4
TES Acetone,0.060665362035225046,11.60434565419546,8.935805447266866,14.272885861124056,4
TES Acetone,0.06262230919765166,12.040157606825717,9.19664881048634,14.883666403165094,4
TES Acetone,0.06457925636007827,12.386027023042043,9.512534012063698,15.259520034020388,4
TES Acetone,0.06653620352250489,12.636100681940064,9.906970024139465,15.365231339740664,4
TES Acetone,0.0684931506849315,12.8153968605194,10.3671966742371,15.2635970468017,4
TES Acetone,0.07045009784735812,12.963343360698346,10.867982883870443,15.058703837526249,4
TES Acetone,0.07240704500978473,13.130159643660711,11.376059351511742,14.88425993580968,4
TES Acetone,0.07436399217221135,13.360852572796677,11.856069299506554,14.8656358460868,4
TES Acetone,0.07632093933463796,13.680402284599682,12.280740171122567,15.080064398076797,4
TES Acetone,0.07827788649706457,14.087187885177919,12.643019581534904,15.531356188820933,4
TES Acetone,0.08023483365949119,14.55987757120327,12.959003618896281,16.160751523510257,4
TES Acetone,0.0821917808219178,15.073837686744124,13.262371035069217,16.885304338419033,4
TES Acetone,0.08414872798434442,15.611500559924302,13.590774937870144,17.63222618197846,4
TES Acetone,0.08610567514677103,16.162637455675167,13.983386733358738,18.341888177991596,4
TES Acetone,0.08806262230919765,16.711347227304955,14.47228577567865,18.95040867893126,4
TES Acetone,0.09001956947162426,17.21998576994377,15.05327344615596,19.386698093731578,4
TES Acetone,0.09197651663405088,17.61702586550901,15.631575819301288,19.602475911716734,4
TES Acetone,0.09393346379647749,17.792889930977967,15.976184720153592,19.609595141802345,4
TES Acetone,0.0958904109589041,17.61267980248529,15.786011746611026,19.43934785835955,4
TES Acetone,0.09784735812133072,16.947490336492905,14.920974262949077,18.974006410036733,4
TES Acetone,0.09980430528375733,15.718928150395504,13.463831079470392,17.974025221320616,4
TES Acetone,0.10176125244618395,13.93915056895337,11.551588821868684,16.326712316038055,4
TES Acetone,0.10371819960861056,11.737565125871004,9.344247176481026,14.130883075260982,4
TES Acetone,0.10567514677103718,9.340468668367436,7.0436230674109375,11.637314269323934,4
TES Acetone,0.10763209393346379,7.002304607143606,4.874946203794224,9.129663010492989,4
TES Acetone,0.1095890410958904,4.934976553603177,3.037667571163544,6.832285536042811,4
TES Acetone,0.11154598825831702,3.2665898949349823,1.6571649935310315,4.876014796338933,4
TES Acetone,0.11350293542074363,2.030915124986377,0.7497626702792448,3.312067579693509,4
TES Acetone,0.11545988258317025,1.190405064827003,0.24453908326209128,2.136271046391915,4
TES Acetone,0.11741682974559686,0.6588539361628782,0.013068101854482594,1.3046397704712738,4
TES Acetone,0.11937377690802348,0.34744517270385844,0,0.7650246419334695,4
TES Acetone,0.12133072407045009,0.17427628801448536,0,0.4259489887803651,4
TES Acetone,0.1232876712328767,0.0833675281509008,0,0.2249677063207688,4
TES Acetone,0.12524461839530332,0.03811513395229445,0,0.11259306198191872,4
TES Acetone,0.12720156555772993,0.016676066404293848,0,0.05333604028118927,4
TES Acetone,0.12915851272015655,0.006982995786800053,0,0.02388287294393967,4
TES Acetone,0.13111545988258316,0.002795639252674913,0,0.010095498095215795,4
TES Acetone,0.13307240704500978,0.001067873764617694,0,0.004023249941328182,4
TES Acetone,0.1350293542074364,3.8814530963453167e-4,0,0.0015097640301316641,4
TES Acetone,0.136986301369863,1.3385807041201603e-4,0,5.329150122805839e-4,4
TES Acetone,0.13894324853228962,4.381425936563525e-5,0,1.7677683324710463e-4,4
TES Acetone,0.14090019569471623,1.3517933340142363e-5,0,5.506373363722467e-5,4
TES Acetone,0.14285714285714285,3.92344055399756e-6,0,1.609577810512092e-5,4
TES Acetone,0.14481409001956946,1.0700549805117757e-6,0,4.413105180866307e-6,4
TES Acetone,0.14677103718199608,2.7398654429015033e-7,0,1.1344467086586822e-6,4
TES Acetone,0.1487279843444227,6.581929369494757e-8,0,2.733303698901043e-7,4
TES Acetone,0.1506849315068493,1.6731236620581056e-8,0,6.967046288724427e-8,4
TES Acetone,0.15264187866927592,4.109069693510095e-9,0,1.7141549208823765e-8,4
TES Acetone,0.15459882583170254,9.386415967686546e-10,0,3.919871472101537e-9,4
TES Acetone,0.15655577299412915,1.994777600603701e-10,0,8.335778277297761e-10,4
TES Acetone,0.15851272015655576,3.945559243640108e-11,0,1.6494084631698888e-10,4
TES Acetone,0.16046966731898238,7.266595532773051e-12,0,3.0385008766946986e-11,4
TES Acetone,0.162426614481409,1.2464253611856505e-12,0,5.213107146702835e-12,4
TES Acetone,0.1643835616438356,1.9901216950661459e-13,0,8.323577130594352e-13,4
TES Acetone,0.16634050880626222,2.949048904880035e-14,0,1.2334238696316468e-13,4
TES Acetone,0.16829745596868884,4.042298045768704e-15,0,1.6906694526380865e-14,4
TES Acetone,0.17025440313111545,4.0823626803440035e-16,0,1.7063467007613407e-15,4
TES Acetone,0.17221135029354206,3.2186529758558534e-18,0,1.1257236703347269e-17,4
TES Acetone,0.17416829745596868,0,0,0,4
TES Acetone,0.1761252446183953,0,0,0,4
TES Acetone,0.1780821917808219,6.881312554561374e-18,0,2.878072026932761e-17,4
TES Acetone,0.18003913894324852,4.886625781458783e-17,0,2.04380499449664e-16,4
TES Acetone,0.18199608610567514,0,0,0,4
TES Acetone,0.18395303326810175,0,0,0,4
TES Acetone,0.18590998043052837,0,0,0,4
TES Acetone,0.18786692759295498,1.6202145635868903e-17,0,6.776460415240844e-17,4
TES Acetone,0.1898238747553816,3.0658763114626827e-18,0,1.282286305133394e-17,4
TES Acetone,0.1917808219178082,0,0,0,4
TES Acetone,0.19373776908023482,8.564620183428529e-17,0,2.5697462348588786e-16,4
TES Acetone,0.19569471624266144,1.55027104380339e-16,0,4.2807565187451745e-16,4
TES Acetone,0.19765166340508805,8.412577874042778e-17,0,2.421268484165374e-16,4
TES Acetone,0.19960861056751467,6.062484165120164e-17,0,2.535601449724781e-16,4
TES Acetone,0.20156555772994128,3.688417224799237e-18,0,1.5426606994206355e-17,4
TES Acetone,0.2035225048923679,1.5888143060473605e-18,0,6.6451305241096815e-18,4
TES Acetone,0.2054794520547945,0,0,0,4
TES Acetone,0.20743639921722112,0,0,0,4
TES Acetone,0.20939334637964774,0,0,0,4
TES Acetone,0.21135029354207435,0,0,0,4
TES Acetone,0.21330724070450097,0,0,0,4
TES Acetone,0.21526418786692758,0,0,0,4
TES Acetone,0.2172211350293542,0,0,0,4
TES Acetone,0.2191780821917808,0,0,0,4
TES Acetone,0.22113502935420742,0,0,0,4
TES Acetone,0.22309197651663404,0,0,0,4
TES Acetone,0.22504892367906065,0,0,0,4
TES Acetone,0.22700587084148727,0,0,0,4
TES Acetone,0.22896281800391388,0,0,0,4
TES Acetone,0.2309197651663405,0,0,0,4
TES Acetone,0.2328767123287671,2.3918956369705102e-17,0,1.0003975069471531e-16,4
TES Acetone,0.23483365949119372,1.118291032610359e-16,0,3.1736425163395124e-16,4
TES Acetone,0.23679060665362034,3.2118348306795775e-16,2.5204943625978486e-17,6.171620225099371e-16,4
TES Acetone,0.23874755381604695,6.603765206959199e-17,0,1.9315775174598745e-16,4
TES Acetone,0.24070450097847357,0,0,0,4
TES Acetone,0.24266144814090018,0,0,0,4
TES Acetone,0.2446183953033268,0,0,0,4
TES Acetone,0.2465753424657534,0,0,0,4
TES Acetone,0.24853228962818003,0,0,0,4
TES Acetone,0.25048923679060664,0,0,0,4
TES Acetone,0.25244618395303325,0,0,0,4
TES Acetone,0.25440313111545987,0,0,0,4
TES Acetone,0.2563600782778865,0,0,0,4
TES Acetone,0.2583170254403131,0,0,0,4
TES Acetone,0.2602739726027397,0,0,0,4
TES Acetone,0.2622309197651663,0,0,0,4
TES Acetone,0.26418786692759294,7.035165197580796e-19,0,2.9424200687682327e-18,4
TES Acetone,0.26614481409001955,5.930415206448978e-18,0,2.4803643169010847e-17,4
TES Acetone,0.26810176125244617,0,0,0,4
TES Acetone,0.2700587084148728,7.545646986920191e-17,0,3.1559263361419497e-16,4
TES Acetone,0.2720156555772994,2.951034127096749e-17,0,9.763028658325998e-17,4
TES Acetone,0.273972602739726,6.890365442983395e-17,0,2.042695328822194e-16,4
TES Acetone,0.2759295499021526,3.205020951085894e-17,0,9.425489113474078e-17,4
TES Acetone,0.27788649706457924,7.239226104803537e-19,0,3.0277674475148917e-18,4
TES Acetone,0.27984344422700586,1.3336458651751768e-17,0,5.577902221358812e-17,4
TES Acetone,0.28180039138943247,2.335925295696554e-18,0,9.769882122404804e-18,4
TES Acetone,0.2837573385518591,0,0,0,4
TES Acetone,0.2857142857142857,0,0,0,4
TES Acetone,0.2876712328767123,0,0,0,4
TES Acetone,0.2896281800391389,0,0,0,4
TES Acetone,0.29158512720156554,0,0,0,4
TES Acetone,0.29354207436399216,0,0,0,4
TES Acetone,0.29549902152641877,0,0,0,4
TES Acetone,0.2974559686888454,0,0,0,4
TES Acetone,0.299412915851272,5.392999071889349e-18,0,2.2555929042622073e-17,4
TES Acetone,0.3013698630136986,3.5567260987127916e-17,0,1.0537739990864645e-16,4
TES Acetone,0.30332681017612523,1.3396911368674294e-16,0,2.8598658606121786e-16,4
TES Acetone,0.30528375733855184,1.296723591166233e-16,0,3.491994459903074e-16,4
TES Acetone,0.30724070450097846,1.377674555844842e-16,0,4.442601489724189e-16,4
TES Acetone,0.30919765166340507,1.5753586176489762e-16,0,4.822558932742902e-16,4
TES Acetone,0.3111545988258317,6.578590107699208e-17,0,2.243840760208629e-16,4
TES Acetone,0.3131115459882583,1.6118566772423167e-16,0,4.576523596338782e-16,4
TES Acetone,0.3150684931506849,1.7908486092093368e-16,0,4.924875658178544e-16,4
TES Acetone,0.31702544031311153,2.912255650856206e-16,0,6.351015187412436e-16,4
TES Acetone,0.31898238747553814,3.57835568190884e-16,3.0858736437030897e-16,4.0708377201145904e-16,4
TES Acetone,0.32093933463796476,6.824104953413465e-16,0,1.373928503496572e-15,4
TES Acetone,0.32289628180039137,7.758950605415674e-16,6.98199391592998e-16,8.535907294901367e-16,4
TES Acetone,0.324853228962818,9.44761370709122e-16,5.91991021779271e-16,1.297531719638973e-15,4
