gene_symbol,Morphologically normal,HF papilloma,HF SCC,Skin papilloma,Skin SCC
Nek10,0,1,0,0,0
Dnah1,1,1,0,0,0
Arhgap22,1,1,0,0,0
Gm47189,0,1,0,0,0
Mettl17,0,1,0,0,0
Trav13-1,0,1,0,0,0
Trav4-4-dv10,0,1,0,0,0
Myh6,1,1,0,0,0
Fam167a,0,1,0,0,0
Chrna2,0,1,0,0,0
Pcdh9,0,1,0,0,0
Ghr,0,1,0,0,0
Osmr,0,1,0,0,0
Ctnnd2,0,1,0,0,0
Gsdmc3,0,1,0,0,0
Mroh5,0,1,0,0,0
Cyp11b1,0,1,0,0,0
Cyp2d40,0,1,0,0,0
Rtl6,1,1,0,0,0
Dennd6b,0,1,0,0,0
Miox,0,1,0,0,0
Syt10,0,1,0,0,0
Muc19,1,1,0,0,0
Pus7l,0,1,0,0,0
Dip2b,1,1,0,0,0
Mefv,0,1,0,0,0
Pkp2,1,1,0,0,0
Ehhadh,0,1,0,0,0
Senp2,0,1,0,0,0
Muc20,1,1,0,0,0
Ncam2,1,1,0,0,0
2310057N15Rik,1,1,0,1,0
Dscam,0,1,0,0,0
Snx9,0,1,0,0,0
Vmn2r116,1,1,0,1,0
Vmn2r117,1,1,0,1,0
Traf7,0,1,0,0,0
Prss34,1,1,0,0,0
Umodl1,0,1,0,0,0
Myo1f,0,1,0,0,0
Col11a2,0,1,0,0,0
Btnl4,0,1,0,0,0
Ltb,0,1,0,0,0
2300002M23Rik,1,1,0,1,0
Mdc1,0,1,0,0,0
H2-M1,0,1,0,0,0
Olfr126,0,1,0,0,0
Olfr128,0,1,0,0,0
Olfr133,0,1,0,0,0
Olfr138,0,1,0,0,0
Ptchd4,1,1,0,1,0
Aars2,0,1,0,0,0
Hsp90ab1,1,1,0,1,0
Tmem63b,1,1,0,0,0
Ttbk1,1,1,0,0,0
Ubr2,1,1,0,0,0
Pgc,0,1,0,0,0
1700067P10Rik,0,1,0,0,0
Dennd1c,0,1,0,1,0
Msh2,1,1,0,0,0
Lyzl1,1,1,0,0,0
Gm10125,0,1,0,0,0
Lama3,1,1,0,0,0
Ttc39c,1,1,0,1,0
Cdh2,0,1,0,0,0
Pcdhb22,1,1,0,0,0
Trim36,0,1,0,0,0
Dmxl1,0,1,0,0,0
Rttn,1,1,0,0,0
Lipn,0,1,0,0,0
Sec31b,1,1,0,0,0
Gucy2g,0,1,0,0,0
Tdrd1,0,1,0,0,0
Emx2,0,1,0,0,0
Nebl,0,1,0,1,0
Arhgap21,1,1,0,0,0
Vav2,1,1,0,0,0
Crat,0,1,0,0,0
Ptgs1,0,1,0,0,0
Olfr351,0,1,0,0,0
Ttn,1,1,0,1,0
Olfr996,0,1,0,0,0
Olfr1090,1,1,0,0,0
Olfr1263,1,1,0,0,0
Olfr1267-ps1,0,1,0,0,0
Traf6,1,1,0,0,0
Wt1,0,1,0,0,0
Olfr1316,0,1,0,0,0
Olfr1317,0,1,0,0,0
Nutm1,0,1,0,0,0
Itpka,0,1,0,0,0
Sptbn5,0,1,0,0,0
Slc28a2,0,1,0,0,0
1700020A23Rik,0,1,0,0,0
Ddrgk1,0,1,0,0,0
Acss1,0,1,0,0,0
Slc35c2,0,1,0,0,0
Nfatc2,0,1,0,0,0
Sall4,1,1,0,0,0
Cass4,0,1,0,0,0
Edn3,0,1,0,0,0
Cdh26,0,1,0,0,0
Oprl1,0,1,0,0,0
Myt1,0,1,0,0,0
Zmat3,0,1,0,0,0
Pcdh10,0,1,0,0,0
Cog6,0,1,0,0,0
Tm4sf1,1,1,0,0,0
Siah2,0,1,0,0,0
Gpr149,1,1,0,0,0
Vmn2r128,0,1,0,1,0
Rsrc1,0,1,0,0,0
Glrb,1,1,0,0,0
Kirrel,0,1,0,0,0
Sprr2i,0,1,0,0,0
Kprp,0,1,0,0,0
Plekho1,0,1,0,0,0
Hsd3b5,0,1,0,0,0
5330417C22Rik,1,1,0,0,0
Prmt6,0,1,0,0,0
Abca4,1,1,0,0,0
Arsj,1,1,0,0,0
Cfi,0,1,0,0,0
Bank1,0,1,0,0,0
Clca3a2,0,1,0,0,0
Aco1,1,1,0,0,0
Nol6,0,1,0,0,0
Atp8b5,0,1,0,1,0
Tmem8b,0,1,0,0,0
Invs,1,1,0,0,0
Acnat2,0,1,0,0,0
E130308A19Rik,0,1,0,0,0
Mup21,0,1,0,0,0
Brinp1,1,1,0,0,0
Frem1,1,1,0,0,0
Ssbp3,1,1,0,0,0
Zfp69,1,1,0,0,0
Macf1,1,1,0,0,0
Inpp5b,1,1,0,0,0
Epb41,0,1,0,0,0
Cnr2,0,1,0,0,0
Hspg2,1,1,0,0,0
Pla2g2c,0,1,0,0,0
Fbxo42,1,1,0,0,0
Tnfrsf8,0,1,0,0,0
Gm13212,1,1,0,1,0
Cep104,0,1,0,0,0
Vmn2r-ps159,1,1,0,1,0
Gm21190,0,1,0,0,0
Gm21083,0,1,0,0,0
Gsap,0,1,0,0,0
Kcnh2,0,1,0,0,0
Gm10471,1,1,0,1,0
Ppm1g,0,1,0,0,0
Rgs12,1,1,0,1,0
Sh3tc1,1,1,0,1,0
Wfs1,1,1,0,0,0
Rfc1,0,1,0,0,0
Pdgfra,0,1,0,0,0
Uba6,0,1,0,0,0
Enam,1,1,0,0,0
Wdfy3,1,1,0,0,0
Gbp9,0,1,0,0,0
Vmn2r10,1,1,0,1,0
Vmn2r14,0,1,0,0,0
Pheta1,0,1,0,0,0
Ran,1,1,0,1,0
Sun1,0,1,0,0,0
Eif3b,1,1,0,0,0
Lmtk2,1,1,0,0,0
Asb15,0,1,0,0,0
Snd1,0,1,0,0,0
Akr1b7,0,1,0,0,0
Ttc26,0,1,0,0,0
Tbxas1,0,1,0,0,0
Try5,0,1,0,0,0
Tcaf3,1,1,0,0,0
Olfr237,0,1,0,0,0
Sspo,1,1,0,0,0
Nod1,0,1,0,0,0
Vmn1r4,0,1,0,0,0
Vmn1r15,0,1,0,1,0
Igkv10-96,0,1,0,0,0
Igkv4-51,0,1,0,0,0
Igkv8-21,0,1,0,0,0
Igkv3-2,0,1,0,0,0
Reg3g,0,1,0,0,0
Rab11fip5,0,1,0,0,0
Noto,0,1,0,0,0
Aak1,1,1,0,0,0
Wnt7a,0,1,0,0,0
Fgd5,1,1,0,1,0
Slc6a11,0,1,0,0,0
Olfr212,0,1,0,0,0
Acrbp,0,1,0,0,0
Vwf,0,1,0,0,0
Prpmp5,1,1,0,0,0
Tuba3b,0,1,0,0,0
Lilra6,0,1,0,0,0
Ptprh,0,1,0,0,0
Zscan4-ps1,0,1,0,0,0
Zscan4d,0,1,0,0,0
Zfp329,0,1,0,0,0
Vmn1r85,0,1,0,0,0
Vmn1r113,0,1,0,0,0
Kcnn4,0,1,0,0,0
Ifnl2,0,1,0,0,0
Zfp790,0,1,0,0,0
Arhgap33,0,1,0,0,0
Kmt2b,1,1,0,1,0
1600014C10Rik,0,1,0,0,0
Gm5114,0,1,0,1,0
Izumo2,0,1,0,0,0
Ntn5,0,1,0,0,0
Saa3,0,1,0,0,0
Herc2,1,1,0,0,0
Lrrc28,0,1,0,0,0
Igf1r,0,1,0,1,0
Akap13,1,1,0,0,0
Ap3b2,1,1,0,1,0
Vmn2r76,0,1,0,0,0
Olfr294,0,1,0,0,0
Olfr618,0,1,0,0,0
Olfr476,0,1,0,0,0
Olfr493,0,1,0,0,0
Abca15,1,1,0,0,0
Hs3st4,0,1,0,0,0
4933402N03Rik,0,1,0,0,0
Olfr536,0,1,0,0,0
Olfr46,1,1,0,0,0
Olfr541,0,1,0,0,0
Muc2,1,1,0,0,0
Cd209f,0,1,0,0,0
Myo16,0,1,0,0,0
BB014433,1,1,0,0,0
Ikbkb,1,1,0,0,0
Kcnu1,0,1,0,0,0
Thap1,1,1,0,1,0
Stox2,0,1,0,0,0
Npy5r,0,1,0,1,0
Mau2,0,1,0,1,0
Hook2,1,1,0,0,0
Cx3cl1,0,1,0,0,0
Cdh11,1,1,0,1,0
Plekhg4,1,1,0,0,0
Hp,0,1,0,0,0
Pkd1l2,0,1,0,0,0
Gria4,0,1,0,0,0
Olfr147,0,1,0,0,0
Olfr933,0,1,0,0,0
Arcn1,1,1,0,1,0
Tmprss4,0,1,0,0,0
Il10ra,0,1,0,0,0
Tmprss5,1,1,0,0,0
Acsbg1,0,1,0,1,0
Hcn4,0,1,0,0,0
Pias1,0,1,0,0,0
Megf11,1,1,0,0,0
Parp16,0,1,0,0,0
Vps13c,1,1,0,0,0
Hcrtr2,0,1,0,0,0
Fam83b,0,1,0,0,0
Filip1,0,1,0,0,0
Htr1b,0,1,0,0,0
Tbx18,0,1,0,1,0
Atr,1,1,0,0,0
Cldn18,0,1,0,1,0
Pcbp4,1,1,0,0,0
Cdhr4,0,1,0,0,0
Plxnb1,1,1,0,0,0
Ccrl2,0,1,0,0,0
Itga9,0,1,0,0,0
Xirp1,1,1,0,0,0
Ccnb3,1,1,0,0,0
Wdr45,0,1,0,0,0
Spin2f,1,1,0,1,0
Rnf113a1,1,1,0,0,0
Zdhhc9,1,1,0,0,0
1700013H16Rik,1,1,0,0,0
Cdr1,1,1,0,0,0
Hcfc1,0,1,0,0,0
Ikbkg,0,1,0,0,0
Mageb4,1,1,0,1,0
Pdk3,0,1,0,0,0
Pcdh19,0,1,0,0,0
Tro,1,1,0,1,0
Wnk3,0,1,0,0,0
Magea6,1,1,0,0,0
Acot9,0,1,0,0,0
Zrsr2,0,1,0,0,0
Eya1,0,1,0,0,0
Il18rap,0,1,0,0,0
Stat1,0,1,0,0,0
Dnah7a,1,1,0,0,0
Nif3l1,0,1,0,0,0
Sp140,1,1,0,1,0
Col6a3,1,1,0,1,0
Ppip5k2,0,1,0,0,0
Vps4b,0,1,0,0,0
4930562F07Rik,0,1,0,0,0
Tnfsf18,0,1,0,0,0
Gm4846,0,1,0,0,0
D1Pas1,0,1,0,0,0
Cenpf,1,1,0,0,0
Syt14,1,1,0,0,0
Esr1,0,1,0,0,0
Taar8c,0,1,0,0,0
Atg5,0,1,0,0,0
Arid5b,0,1,0,0,0
Gm5134,0,1,0,0,0
Pcbp3,1,1,0,0,0
Trpm2,0,1,0,1,0
Os9,1,1,0,0,0
Myo1a,1,1,0,0,0
Zbtb39,0,1,0,0,0
Olfr826,0,1,0,0,0
Kremen1,0,1,0,0,0
Znrf3,0,1,0,0,0
Camk2b,1,1,0,0,0
Abca13,0,1,0,1,0
Asb3,0,1,0,0,0
Timd2,0,1,0,0,0
Tbc1d9b,1,1,0,0,0
Olfr51,0,1,0,0,0
Myo15,1,1,0,0,0
Kcnj12,0,1,0,0,0
Mink1,0,1,0,0,0
Nlrp1b,0,1,0,0,0
Olfr382,0,1,0,0,0
Olfr409-ps1,0,1,0,0,0
Rhot1,0,1,0,0,0
Ap2b1,0,1,0,0,0
Ankfn1,1,1,0,0,0
Col1a1,0,1,0,0,0
Spop,0,1,0,0,0
Gsdma3,0,1,0,0,0
Gm884,1,1,0,0,0
Crhr1,0,1,0,0,0
Cdc27,0,1,0,0,0
Prkca,0,1,0,0,0
Tmem94,1,1,0,0,0
Wbp2,0,1,0,0,0
Engase,0,1,0,0,0
Tbc1d16,0,1,0,0,0
Ogfod3,0,1,0,0,0
Ncoa1,0,1,0,0,0
Itsn2,0,1,0,0,0
Kcns3,0,1,0,0,0
Nemf,0,1,0,0,0
Fntb,0,1,0,0,0
Dlst,0,1,0,0,0
Tdp1,0,1,0,0,0
Serpina1b,0,1,0,0,0
Jag2,0,1,0,0,0
Trgc1,0,1,0,0,0
Epdr1,0,1,0,0,0
Vmn1r199,1,1,0,0,0
Btn2a2,0,1,0,0,0
Prpf4b,0,1,0,0,0
Kif13a,0,1,0,0,0
Hapln1,1,1,0,0,0
Vcan,1,1,0,0,0
Usp54,1,1,0,0,0
Sema3g,1,1,0,0,0
Wdfy4,1,1,0,0,0
Mmrn2,0,1,0,1,0
Rnase1,0,1,0,0,0
Vmn2r88,0,1,0,0,0
Hmbox1,0,1,0,0,0
Extl3,0,1,0,0,0
Bmp1,0,1,0,0,0
Tsc22d1,0,1,0,0,0
Tbc1d4,0,1,0,0,0
Oxgr1,0,1,0,0,0
Slc45a2,0,1,0,0,0
Washc5,0,1,0,0,0
Fam135b,0,1,0,0,0
Rbfox2,0,1,0,0,0
Abcd2,0,1,0,0,0
Bin2,0,1,0,0,0
Krt78,0,1,0,1,0
Pcbp2,0,1,0,0,0
Nckap1l,1,1,0,0,0
Naa60,0,1,0,0,0
Nagpa,0,1,0,0,0
Ube2l3,0,1,0,0,0
Thap7,0,1,0,0,0
P2rx6,0,1,0,0,0
Osbpl11,0,1,0,0,0
Stxbp5l,0,1,0,0,0
Qtrt2,0,1,0,0,0
Cadm2,0,1,0,0,0
Map3k7cl,0,1,0,0,0
Urb1,0,1,0,0,0
Ifnar1,0,1,0,0,0
Morc3,0,1,0,0,0
Igsf5,1,1,0,0,0
Map3k4,1,1,0,0,0
Vmn2r112,0,1,0,0,0
Mmp25,1,1,0,0,0
Kifc5b,0,1,0,0,0
H2-Oa,1,1,0,0,0
Tnxb,1,1,0,1,0
H2-M10.4,0,1,0,0,0
Trim31,0,1,0,0,0
Lama1,0,1,0,0,0
Emilin2,1,1,0,0,0
Alk,1,1,0,0,0
Nrxn1,1,1,0,0,0
Pcdhb5,0,1,0,0,0
Pcdhb10,1,1,0,0,0
Pcdhb21,1,1,0,0,0
Pggt1b,0,1,0,0,0
Rbm22,0,1,0,0,0
Alpk2,0,1,0,0,0
Myo5b,1,1,0,0,0
Epg5,1,1,0,0,0
Gpr152,0,1,0,0,0
Efemp2,0,1,0,0,0
Capn1,1,1,0,0,0
Ahnak,1,1,0,0,0
Ms4a15,1,1,0,0,0
Ms4a4b,0,1,0,0,0
Cbwd1,1,1,0,0,0
A1cf,1,1,0,0,0
Kif11,0,1,0,0,0
Plce1,0,1,0,1,0
Entpd1,0,1,0,0,0
Dnmbp,0,1,0,0,0
Pax2,1,1,0,0,0
Ucma,0,1,0,0,0
Abca2,0,1,0,0,0
Gtf3c5,0,1,0,0,0
Prrc2b,1,1,0,0,0
Cfap157,0,1,0,0,0
Epc2,0,1,0,0,0
