gene_symbol,group,n_samples,n_mutations,datasets,samples,max_gt_AF
Cep170,Morphologically normal,1,1,WES,hairfollicle05-c7-t2,0.12
Cep170b,HF papilloma,1,1,WES,hairfollicle04-c2-t3,0.024
Cep170b,Skin papilloma,1,1,WES,skin04-c2-t2,0.053
Cep19,Skin papilloma,1,1,WES,skin04-c5-t2,0.057
Cep192,Morphologically normal,1,2,WES,hairfollicle05-e5-t3,0.025
Cep192,HF papilloma,1,1,WES,hairfollicle03-f6-t2,0.403
Cep250,Morphologically normal,2,2,WES,hairfollicle05-c7-t2; skin05-e5-t2,0.143
Cep250,Skin papilloma,1,1,WES,skin04-c5-t2,0.029
Cep295,HF papilloma,2,2,WES,hairfollicle04-c4-t3; hairfollicle04-c5-t3,0.082
Cep41,Morphologically normal,1,1,WES,hairfollicle05-b1-t3,0.124
Cep78,Morphologically normal,1,1,WES,hairfollicle05-b1-t3,0.095
Cep89,Skin papilloma,1,1,WES,skin04-c5-t2,0.081
Cerk,HF papilloma,1,1,WES,hairfollicle04-c5-t3,0.035
Cerkl,Morphologically normal,1,1,WES,hairfollicle05-e5-t3,0.044
Ces1a,HF papilloma,1,1,WES,hairfollicle04-c5-t3,0.019
Ces1d,Morphologically normal,1,1,WES,hairfollicle04-c6-t3,0.131
Ces1h,Morphologically normal,1,1,WES,hairfollicle05-e5-t3,0.03
Ces2b,Skin papilloma,1,1,WES,skin04-c2-t2,0.022
Ces5a,Morphologically normal,2,2,WES,hairfollicle05-c7-t2; hairfollicle05-e5-t3,0.059
Cfap157,HF papilloma,1,1,WES,hairfollicle04-c4-t3,0.061
Cfap44,Morphologically normal,1,1,WES,hairfollicle05-b5-t3,0.088
Cfap46,Morphologically normal,1,1,WES,hairfollicle05-c7-t2,0.097
Cfap47,Morphologically normal,1,1,WES,hairfollicle05-c7-t2,0.097
Cfap54,Morphologically normal,1,1,WES,hairfollicle05-b5-t3,0.068
Cfap57,Skin papilloma,1,1,WES,skin04-c5-t2,0.058
Cfap58,HF papilloma,1,1,WES,hairfollicle04-c5-t3,0.044
Cfap61,HF papilloma,1,1,WES,hairfollicle04-c5-t3,0.029
Cfap65,HF papilloma,1,2,WES,hairfollicle04-c5-t3,0.025
Cfap70,Morphologically normal,1,1,WES,hairfollicle05-e5-t3,0.044
Cfb,Morphologically normal,1,2,WES,hairfollicle05-c7-t2,0.23
Cfc1,Morphologically normal,1,1,WES,skin04-c6-t2,0.04
Cfd,Morphologically normal,1,1,WES,hairfollicle05-c7-t2,0.156
Cfhr1,Skin papilloma,1,1,WES,skin04-c5-t2,0.053
Cfi,HF papilloma,2,2,WES,hairfollicle04-c2-t3; hairfollicle04-c4-t3,0.039
Cflar,Morphologically normal,1,1,WES,hairfollicle05-e5-t3,0.03
Cfp,Morphologically normal,1,2,WES,hairfollicle05-c7-t2,0.063
Cgnl1,Morphologically normal,1,1,WES,hairfollicle05-e5-t3,0.039
Cgnl1,HF papilloma,1,1,WES,hairfollicle04-c4-t3,0.06
Chaf1b,Morphologically normal,1,1,WES,hairfollicle05-e5-t3,0.027
Chat,Skin papilloma,1,1,WES,skin04-c4-t2,0.036
Chd1,Skin papilloma,1,1,WES,skin04-c5-t2,0.038
Chd1l,Morphologically normal,3,3,WES,hairfollicle05-b5-t3; hairfollicle05-c6; hairfollicle05-e5-t3,0.4
Chd3,Morphologically normal,1,1,WES,hairfollicle04-c6-t3,0.042
Chd4,Skin papilloma,1,1,WES,skin04-c4-t2,0.067
Chd5,Morphologically normal,1,1,WES,hairfollicle05-e5-t3,0.031
Chd5,Skin papilloma,1,1,WES,skin04-c2-t2,0.053
Chd7,Morphologically normal,1,1,WES,skin04-c6-t2,0.072
Chia1,Skin papilloma,1,1,WES,skin04-c2-t2,0.034
Chil4,Morphologically normal,1,1,WES,hairfollicle05-e5-t3,0.022
Chrd,Morphologically normal,1,1,WES,hairfollicle04-c6-t3,0.055
Chrdl1,Morphologically normal,1,1,WES,hairfollicle04-c6-t3,0.05
Chrdl2,Morphologically normal,1,1,WES,hairfollicle05-c7-t2,0.109
Chrm2,Skin papilloma,1,1,WES,skin04-c5-t2,0.067
Chrna1,Morphologically normal,1,1,WES,hairfollicle05-e5-t3,0.029
Chrna2,HF papilloma,1,1,WES,hairfollicle04-c2-t3,0.042
Chrna5,Skin papilloma,1,1,WES,skin04-c5-t2,0.089
Chrna7,Morphologically normal,1,1,WES,skin04-c6-t2,0.065
Chrnb1,Morphologically normal,1,1,WES,hairfollicle05-e5-t3,0.028
Chrnb4,Morphologically normal,2,2,WES,hairfollicle05-b5-t3; hairfollicle05-c7-t2,0.103
Chrnd,Morphologically normal,1,1,WES,hairfollicle04-c6-t3,0.078
Chrne,HF papilloma,1,2,WES,hairfollicle04-c5-t3,0.046
Chrng,Morphologically normal,1,1,WES,skin05-c7-t2,0.088
Chst7,Morphologically normal,2,2,WES,hairfollicle05-c7-t2; skin04-c6-t2,0.131
Chst9,Morphologically normal,1,2,WES,hairfollicle04-c6-t3,0.055
Chsy3,Morphologically normal,1,1,WES,hairfollicle05-c7-t2,0.068
Chtf18,Morphologically normal,1,1,WES,hairfollicle05-c7-t2,0.114
Chuk,Morphologically normal,1,1,TES,hairfollicle21-g2-w14,0.158
Chuk,HF SCC,1,1,TES,hairfollicle21-b7-w8,0.308
Ciapin1,Skin papilloma,1,1,WES,skin04-c4-t2,0.048
Cic,Morphologically normal,2,2,WES,hairfollicle05-c7-t2; hairfollicle05-e5-t3,0.097
Ciita,Morphologically normal,1,1,WES,hairfollicle05-e5-t3,0.025
Cilk1,Morphologically normal,1,1,WES,hairfollicle05-c7-t2,0.154
Cilp,Morphologically normal,1,1,WES,skin04-c6-t2,0.056
Cip2a,Morphologically normal,1,1,WES,hairfollicle05-e5-t3,0.033
Cipc,Morphologically normal,1,2,WES,hairfollicle05-e5-t3,0.026
Cit,Morphologically normal,1,1,WES,hairfollicle05-c7-t2,0.103
Ciz1,Morphologically normal,1,1,WES,hairfollicle03-a3,0.25
Ckap2,HF papilloma,1,1,WES,hairfollicle04-c4-t3,0.049
Ckap4,Skin papilloma,1,1,WES,skin04-c5-t2,0.037
Ckap5,Morphologically normal,1,1,WES,skin04-c6-t2,0.081
Ckmt2,Morphologically normal,1,1,WES,hairfollicle05-b1-t3,0.222
Clasp1,Morphologically normal,2,3,WES,hairfollicle04-c6-t3; hairfollicle05-e5-t3,0.061
Clca1,Morphologically normal,1,1,WES,hairfollicle05-b1-t3,0.211
Clca3a1,Morphologically normal,1,1,WES,hairfollicle04-c6-t3,0.063
Clca3a2,HF papilloma,1,1,WES,hairfollicle04-c2-t3,0.028
Clca3b,Morphologically normal,1,1,WES,skin04-c6-t2,0.016
Clca4a,Morphologically normal,1,1,WES,hairfollicle05-c7-t2,0.091
Clcn2,Morphologically normal,2,3,WES,hairfollicle05-b1-t3; hairfollicle05-e5-t3,0.166
Clcn3,Skin papilloma,1,1,WES,skin04-c4-t2,0.097
Clcnka,Morphologically normal,1,1,WES,hairfollicle05-e5-t3,0.032
Cldn18,HF papilloma,2,2,WES,hairfollicle04-c2-t3; hairfollicle04-c5-t3,0.033
Cldn18,Skin papilloma,1,1,WES,skin04-c5-t2,0.065
Cldn3,Morphologically normal,2,2,WES,hairfollicle05-e5-t3; skin05-b5-t2,0.047
Clec18a,Morphologically normal,1,1,WES,hairfollicle05-c7-t2,0.042
Clec4a4,Morphologically normal,1,1,WES,skin04-c6-t2,0.045
Clgn,HF papilloma,1,1,WES,hairfollicle04-c5-t3,0.045
Clic4,Morphologically normal,1,1,WES,skin05-b1-t2,0.044
Clic6,Morphologically normal,1,1,WES,hairfollicle05-e5-t3,0.034
Clip1,Skin papilloma,1,1,WES,skin04-c5-t2,0.066
Clip2,Morphologically normal,1,1,WES,hairfollicle05-e5-t3,0.048
Clip2,Skin papilloma,1,1,WES,skin04-c2-t2,0.056
Clk3,Skin papilloma,1,1,WES,skin04-c5-t2,0.061
Clmn,Morphologically normal,2,2,WES,hairfollicle05-b1-t3; hairfollicle05-e5-t3,0.13
Clmn,HF papilloma,1,1,WES,hairfollicle04-c5-t3,0.044
Clock,Morphologically normal,1,1,WES,skin04-c6-t2,0.101
Clptm1,Morphologically normal,2,2,WES,hairfollicle05-c7-t2; skin05-e5-t2,0.08
Clptm1l,Morphologically normal,1,1,WES,skin05-e5-t2,0.062
Clstn3,Morphologically normal,1,1,WES,hairfollicle05-c7-t2,0.167
Clstn3,HF papilloma,1,1,WES,hairfollicle04-c5-t3,0.031
Clu,Skin papilloma,1,1,WES,skin04-c4-t2,0.039
Cluh,Morphologically normal,1,1,WES,hairfollicle04-c6-t3,0.062
Clybl,Morphologically normal,1,1,WES,skin05-c7-t2,0.036
Cmklr1,Morphologically normal,1,1,WES,skin05-c6,0.044
Cmpk2,Morphologically normal,1,1,WES,hairfollicle05-c7-t2,0.103
Cmss1,Morphologically normal,1,1,WES,skin05-e5-t2,0.083
Cmtm4,Morphologically normal,1,1,WES,hairfollicle05-b1-t3,0.149
Cmtr1,Morphologically normal,1,1,WES,hairfollicle05-c7-t2,0.096
Cndp2,Morphologically normal,1,1,WES,hairfollicle05-e5-t3,0.02
Cnep1r1,Morphologically normal,1,1,WES,skin04-c6-t2,0.077
Cnfn,Morphologically normal,1,1,WES,hairfollicle04-g2-t2,0.312
Cnga1,Morphologically normal,1,1,WES,hairfollicle05-b5-t3,0.061
Cnga2,Morphologically normal,1,1,WES,hairfollicle05-b1-t3,0.125
Cnga2,HF papilloma,1,1,WES,hairfollicle04-c5-t3,0.022
Cnga4,Morphologically normal,1,1,WES,hairfollicle05-b1-t3,0.12
Cnga4,Skin papilloma,1,1,WES,skin04-c5-t2,0.067
Cnih1,Morphologically normal,1,1,WES,hairfollicle05-b1-t3,0.115
Cnksr1,Skin papilloma,1,1,WES,skin04-c4-t2,0.04
Cnn1,Morphologically normal,1,1,WES,hairfollicle05-e5-t3,0.022
Cnnm4,Morphologically normal,1,2,WES,hairfollicle04-c6-t3,0.087
Cnot1,Morphologically normal,3,3,TES; WES,hairfollicle05-b5-t3; hairfollicle21-d1-w8; hairfollicle21-f6-w8,0.229
Cnot1,HF papilloma,1,1,TES,hairfollicle21-d2-w8,0.5
Cnot1,HF SCC,1,1,TES,hairfollicle21-e3-w14,0.308
Cnp,Morphologically normal,1,1,WES,hairfollicle05-e5-t3,0.041
Cnr2,HF papilloma,1,1,WES,hairfollicle04-c2-t3,0.028
Cntd1,Morphologically normal,1,1,WES,hairfollicle05-e5-t3,0.027
Cntn4,Morphologically normal,1,1,WES,hairfollicle05-c7-t2,0.091
Cntnap1,Morphologically normal,2,3,WES,hairfollicle05-e5-t3; skin04-c6-t2,0.079
Cntnap2,HF papilloma,2,2,WES,hairfollicle04-c4-t3; hairfollicle04-c5-t3,0.072
Cntnap3,HF papilloma,1,1,WES,hairfollicle04-c2-t3,0.031
Cntnap4,Morphologically normal,1,1,WES,skin05-b5-t2,0.068
Cntnap4,HF papilloma,1,1,TES,hairfollicle21-d6-w17,0.043
Cntnap4,HF SCC,1,1,TES,hairfollicle21-c6-w14,0.09
Cntnap5a,Morphologically normal,1,1,WES,hairfollicle05-b5-t3,0.122
Cntnap5c,HF papilloma,1,1,WES,hairfollicle04-c5-t3,0.028
Cntrob,Morphologically normal,1,1,WES,skin03-c5,0.086
Coa7,Morphologically normal,1,1,WES,hairfollicle04-c6-t3,0.038
Cobl,Skin papilloma,1,1,WES,skin04-c5-t2,0.027
Cobll1,Morphologically normal,21,15,TES; WES,hairfollicle21-b5-w8; hairfollicle21-c1-w17; hairfollicle21-c2-w17; hairfollicle21-c3-w17; hairfollicle21-c5-w17; hairfollicle21-d1-w8; hairfollicle21-d3-w8; hairfollicle21-d4-w14; hairfollicle21-d4-w8; hairfollicle21-e6-w17; hairfollicle21-f2-w19; hairfollicle21-f5-w17; hairfollicle21-f6-w8; hairfollicle21-f7-w19; hairfollicle21-g1-w14; hairfollicle21-g1-w8; hairfollicle21-g2-w19; hairfollicle21-g3-w14; hairfollicle21-g4-w8; hairfollicle21-g5-w17; skin05-b5-t2,0.455
Cobll1,HF papilloma,3,3,TES,hairfollicle21-d6-w17; hairfollicle21-f1-w14; hairfollicle21-f1-w8,0.094
Cobll1,HF SCC,7,8,TES,hairfollicle21-b6-w14; hairfollicle21-b6-w17; hairfollicle21-b6-w8; hairfollicle21-c6-w14; hairfollicle21-f4-w17; hairfollicle21-f4-w8; hairfollicle21-g6-w19,0.208
Coch,Morphologically normal,1,1,WES,hairfollicle05-e5-t3,0.027
Cog1,Morphologically normal,1,1,WES,hairfollicle05-b5-t3,0.075
Cog6,HF papilloma,1,1,WES,hairfollicle04-c2-t3,0.033
Cog7,Morphologically normal,1,1,WES,hairfollicle05-b5-t3,0.1
Col11a2,HF papilloma,1,2,WES,hairfollicle04-c2-t3,0.042
Col12a1,Morphologically normal,2,3,TES; WES,hairfollicle05-c7-t2; hairfollicle21-d1-w8,0.163
Col12a1,HF SCC,1,1,TES,hairfollicle21-e3-w17,0.125
Col13a1,Morphologically normal,2,2,WES,hairfollicle05-c7-t2; skin05-e5-t2,0.111
Col14a1,Morphologically normal,1,1,WES,hairfollicle05-c7-t2,0.115
Col14a1,Skin papilloma,1,1,WES,skin04-c5-t2,0.038
Col16a1,Morphologically normal,1,1,WES,skin05-e5-t2,0.053
Col18a1,Morphologically normal,2,2,WES,hairfollicle05-e5-t3; skin04-c6-t2,0.04
Col1a1,HF papilloma,1,1,WES,hairfollicle04-c4-t3,0.043
Col1a2,Morphologically normal,1,1,WES,hairfollicle05-e5-t3,0.02
Col20a1,Morphologically normal,1,1,WES,hairfollicle05-e5-t3,0.041
Col22a1,Morphologically normal,1,1,WES,hairfollicle05-e5-t3,0.03
Col23a1,Morphologically normal,1,1,WES,hairfollicle05-b5-t3,0.081
Col25a1,Morphologically normal,1,1,WES,skin05-b5-t2,0.067
Col27a1,Morphologically normal,1,1,WES,hairfollicle05-e5-t3,0.027
Col28a1,Morphologically normal,1,1,WES,hairfollicle05-e5-t3,0.047
Col3a1,Morphologically normal,1,1,WES,hairfollicle05-b1-t3,0.176
Col4a2,Morphologically normal,1,1,WES,hairfollicle05-e5-t3,0.028
Col4a6,Morphologically normal,1,1,WES,hairfollicle05-e5-t3,0.03
Col5a1,Skin papilloma,1,1,WES,skin04-c2-t2,0.045
Col6a3,Morphologically normal,3,3,WES,hairfollicle05-b5-t3; hairfollicle05-c6; hairfollicle05-e5-t3,0.234
Col6a3,HF papilloma,1,1,WES,hairfollicle04-c4-t3,0.058
Col6a3,Skin papilloma,2,2,WES,skin04-c4-t2; skin04-c5-t2,0.065
Col6a4,Morphologically normal,1,1,WES,hairfollicle05-e5-t3,0.031
Col6a4,HF papilloma,1,1,WES,hairfollicle04-c4-t3,0.073
Col6a5,Morphologically normal,2,2,WES,hairfollicle04-c6-t3; hairfollicle05-e5-t3,0.06
Col6a5,Skin papilloma,1,1,WES,skin04-c5-t2,0.1
Col6a6,Morphologically normal,2,3,WES,hairfollicle05-c7-t2; hairfollicle05-e5-t3,0.065
Col6a6,HF papilloma,1,1,WES,hairfollicle04-c4-t3,0.103
Col7a1,Morphologically normal,3,3,WES,hairfollicle05-b5-t3; hairfollicle05-e5-t3; skin05-b1-t2,0.077
Col7a1,Skin papilloma,1,1,WES,skin04-c2-t2,0.034
Col9a1,HF papilloma,1,1,WES,hairfollicle04-c5-t3,0.08
Col9a2,Morphologically normal,1,1,WES,hairfollicle05-e5-t3,0.021
Col9a3,Morphologically normal,1,1,WES,hairfollicle05-b1-t3,0.4
Colca2,Morphologically normal,1,1,WES,hairfollicle04-g2-t2,0.182
Colec11,Morphologically normal,1,1,WES,hairfollicle05-b5-t3,0.098
Colgalt1,Morphologically normal,1,2,WES,skin04-c6-t2,0.083
Comp,HF papilloma,1,1,WES,hairfollicle04-c5-t3,0.024
Copa,Morphologically normal,3,3,WES,hairfollicle04-c6-t3; hairfollicle05-b1-t3; skin05-e5-t2,0.125
Copb1,Morphologically normal,1,1,WES,hairfollicle05-c7-t2,0.1
Copb2,Morphologically normal,1,1,TES,hairfollicle21-b5-w8,0.235
Copb2,HF SCC,1,1,TES,hairfollicle21-c7-w14,0.458
Copb2,Skin papilloma,1,1,WES,skin04-c5-t2,0.032
Cope,Morphologically normal,1,1,WES,skin04-c6-t2,0.038
Cops3,Skin papilloma,1,1,WES,skin04-c5-t2,0.05
Copz2,Morphologically normal,1,1,WES,hairfollicle05-b5-t3,0.064
Coq3,Morphologically normal,1,1,WES,hairfollicle05-e5-t3,0.025
Corin,Morphologically normal,1,1,WES,hairfollicle05-e5-t3,0.048
Coro1a,Morphologically normal,1,1,WES,hairfollicle05-c7-t2,0.054
Coro2b,Morphologically normal,1,1,WES,hairfollicle05-e5-t3,0.078
Cort,Morphologically normal,1,1,WES,hairfollicle05-c7-t2,0.056
Cox7a2l,Morphologically normal,1,1,WES,hairfollicle05-e5-t3,0.023
Cpa5,Morphologically normal,1,1,WES,skin05-e5-t2,0.034
Cpe,Morphologically normal,1,1,WES,skin05-e5-t2,0.091
Cpeb3,Morphologically normal,1,1,WES,hairfollicle05-b1-t3,0.136
Cped1,Morphologically normal,2,2,WES,skin04-c6-t2; skin05-e5-t2,0.043
Cplane1,Morphologically normal,3,3,WES,hairfollicle05-c7-t2; skin04-c6-t2; skin05-e5-t2,0.119
Cplane2,Morphologically normal,1,1,WES,hairfollicle05-b1-t3,0.091
Cpn1,Morphologically normal,1,1,WES,skin05-e5-t2,0.032
Cpne3,Morphologically normal,1,1,WES,skin04-c6-t2,0.083
Cpne4,Skin papilloma,1,1,WES,skin04-c4-t2,0.07
Cps1,Morphologically normal,1,1,WES,hairfollicle04-c6-t3,0.05
Cpsf1,Morphologically normal,1,1,WES,hairfollicle04-c6-t3,0.049
Cpsf3,Morphologically normal,1,1,WES,skin05-e5-t2,0.056
Cpsf4,Morphologically normal,1,1,WES,hairfollicle05-e5-t3,0.021
Cpt1a,Morphologically normal,1,1,WES,hairfollicle05-c7-t2,0.075
Cpxm1,Morphologically normal,1,1,WES,hairfollicle05-b5-t3,0.064
Cpxm2,HF papilloma,1,1,WES,hairfollicle04-c5-t3,0.034
Cr2,HF papilloma,1,1,TES,hairfollicle21-d2-w8,0.286
Cramp1l,Morphologically normal,1,1,WES,skin05-b5-t2,0.063
Crat,HF papilloma,1,1,WES,hairfollicle04-c2-t3,0.042
Crb2,Skin papilloma,1,1,WES,skin04-c5-t2,0.035
Creb5,Skin papilloma,1,1,WES,skin04-c2-t2,0.048
Crebbp,Morphologically normal,2,3,TES; WES,hairfollicle04-c6-t3; hairfollicle21-f6-w17,0.154
Crebbp,HF SCC,1,2,TES,hairfollicle21-b6-w14,0.506
Creg2,Skin papilloma,1,1,WES,skin04-c5-t2,0.081
Crh,HF papilloma,1,1,WES,hairfollicle04-c5-t3,0.041
Crhr1,HF papilloma,1,1,WES,hairfollicle04-c4-t3,0.117
Crhr2,Morphologically normal,1,1,WES,hairfollicle04-c6-t3,0.089
Crim1,Morphologically normal,1,1,WES,hairfollicle05-e5-t3,0.026
Crisp2,Morphologically normal,1,1,WES,hairfollicle05-c7-t2,0.176
Crk,Morphologically normal,1,1,WES,hairfollicle05-e5-t3,0.055
Crmp1,Morphologically normal,1,1,WES,hairfollicle05-c7-t2,0.064
Crxos,Morphologically normal,1,1,WES,hairfollicle04-c6-t3,0.037
Crybb3,Morphologically normal,1,2,WES,hairfollicle05-c7-t2,0.105
Crybg1,Morphologically normal,1,1,WES,hairfollicle05-c7-t2,0.137
Crybg2,Morphologically normal,2,2,WES,hairfollicle05-c7-t2; skin04-c6-t2,0.081
Crygd,HF papilloma,1,1,WES,hairfollicle04-c5-t3,0.027
Cryge,Morphologically normal,1,1,WES,hairfollicle04-c6-t3,0.038
Csf1,HF papilloma,1,1,WES,hairfollicle04-c4-t3,0.133
Csf2rb2,Morphologically normal,1,1,WES,hairfollicle05-e5-t3,0.028
Csf3r,Morphologically normal,3,3,WES,hairfollicle04-c6-t3; hairfollicle05-c7-t2; hairfollicle05-e5-t3,0.077
Csf3r,HF papilloma,1,1,WES,hairfollicle04-c5-t3,0.033
Csgalnact2,Morphologically normal,1,1,WES,hairfollicle05-b5-t3,0.059
Csl,Morphologically normal,1,1,WES,hairfollicle05-e5-t3,0.036
Csmd1,Morphologically normal,1,1,WES,skin04-c6-t2,0.04
Csmd1,HF papilloma,1,1,WES,hairfollicle04-c4-t3,0.079
Csmd2,Morphologically normal,4,5,TES; WES,hairfollicle04-c6-t3; hairfollicle05-b5-t3; hairfollicle21-c1-w17; skin04-c6-t2,0.153
Csmd2,HF SCC,1,1,TES,hairfollicle21-f4-w17,0.035
Csmd2,Skin papilloma,1,1,WES,skin04-c5-t2,0.091
Csmd3,Morphologically normal,1,1,WES,hairfollicle05-b1-t3,0.105
Csn1s2a,Morphologically normal,1,1,WES,hairfollicle05-b1-t3,0.167
Csnk1g1,Morphologically normal,1,1,WES,hairfollicle05-e5-t3,0.056
Csnk2b,Morphologically normal,2,1,WES,skin04-c6-t2; skin05-c7-t2,0.04
Cspg5,Morphologically normal,1,1,WES,hairfollicle05-c7-t2,0.083
Ctcf,HF SCC,1,1,TES,hairfollicle21-c6-w8,0.166
Ctdnep1,Skin papilloma,1,1,WES,skin04-c5-t2,0.044
Ctif,Morphologically normal,1,1,WES,hairfollicle05-e5-t3,0.021
Ctla2b,HF papilloma,1,1,WES,hairfollicle04-c5-t3,0.046
Ctla4,Morphologically normal,1,1,WES,hairfollicle04-c6-t3,0.073
Ctla4,HF papilloma,1,1,WES,hairfollicle04-c5-t3,0.031
Ctnna1,Morphologically normal,1,1,WES,hairfollicle05-b5-t3,0.093
Ctnnal1,Morphologically normal,1,1,WES,hairfollicle05-e5-t3,0.024
Ctnnb1,Morphologically normal,1,1,WES,hairfollicle04-c6-t3,0.093
Ctnnd2,HF papilloma,1,1,WES,hairfollicle04-c2-t3,0.034
Ctns,Morphologically normal,1,1,WES,hairfollicle05-c7-t2,0.103
Ctrl,HF papilloma,1,1,WES,hairfollicle04-c4-t3,0.044
Cts8,Morphologically normal,2,2,WES,hairfollicle04-c6-t3; hairfollicle05-b5-t3,0.224
Ctsll3,Morphologically normal,1,1,WES,hairfollicle05-e5-t3,0.023
Ctso,Morphologically normal,1,1,WES,hairfollicle05-e5-t3,0.024
Ctsr,HF papilloma,1,1,WES,hairfollicle04-c5-t3,0.046
Cttn,HF papilloma,1,1,WES,hairfollicle04-c4-t3,0.036
Ctu1,Morphologically normal,1,1,WES,hairfollicle05-b5-t3,0.065
Ctu2,Morphologically normal,1,1,WES,hairfollicle05-b1-t3,0.107
Cubn,Morphologically normal,1,1,WES,hairfollicle05-e5-t3,0.033
Cul9,Morphologically normal,2,2,WES,skin04-c6-t2; skin05-b5-t2,0.065
Cux1,Morphologically normal,1,1,WES,hairfollicle05-e5-t3,0.021
Cux2,Morphologically normal,1,1,WES,hairfollicle05-c7-t2,0.099
Cwc15,Skin papilloma,1,1,WES,skin04-c5-t2,0.1
Cwf19l1,Morphologically normal,1,1,WES,hairfollicle05-c7-t2,0.104
Cx3cl1,HF papilloma,1,1,WES,hairfollicle04-c2-t3,0.026
Cx3cr1,Morphologically normal,2,2,WES,skin04-c6-t2; skin05-b1-t2,0.061
Cxcr1,Skin papilloma,1,1,WES,skin04-c5-t2,0.059
Cxcr3,Morphologically normal,1,1,WES,hairfollicle04-c6-t3,0.051
Cxcr4,Morphologically normal,1,1,WES,skin05-e5-t2,0.042
Cxcr6,HF papilloma,1,1,WES,hairfollicle04-c5-t3,0.028
Cyba,Morphologically normal,1,1,WES,hairfollicle04-c6-t3,0.062
Cyfip2,Morphologically normal,2,2,WES,hairfollicle05-b5-t3; hairfollicle05-c7-t2,0.107
Cyld,HF SCC,1,1,TES,hairfollicle21-f3-w17,0.729
Cym,Morphologically normal,1,1,WES,hairfollicle04-c6-t3,0.043
Cyp11b1,HF papilloma,1,1,WES,hairfollicle04-c2-t3,0.037
Cyp1a1,Skin papilloma,1,1,WES,skin04-c2-t2,0.024
Cyp1a2,Morphologically normal,1,1,WES,hairfollicle05-b1-t3,0.158
Cyp1a2,Skin papilloma,1,1,WES,skin04-c5-t2,0.036
Cyp24a1,Morphologically normal,1,1,WES,skin05-c7-t2,0.049
Cyp24a1,Skin papilloma,1,1,WES,skin04-c5-t2,0.066
Cyp2a22,HF papilloma,1,1,WES,hairfollicle04-c4-t3,0.037
Cyp2a5,Morphologically normal,1,1,WES,hairfollicle05-b5-t3,0.073
Cyp2ab1,Morphologically normal,1,1,WES,hairfollicle05-c7-t2,0.088
Cyp2b10,Morphologically normal,1,1,TES,hairfollicle21-d4-w8,0.5
Cyp2b10,HF papilloma,2,2,TES,hairfollicle21-d6-w17; hairfollicle21-e1-w14,0.051
Cyp2b19,Skin papilloma,1,1,TES,skin21-f1-w19,0.012
Cyp2b19,Skin SCC,1,2,TES,skin21-b6-w19,0.037
Cyp2b23,HF papilloma,1,2,TES,hairfollicle21-f1-w8,0.333
Cyp2c37,Morphologically normal,2,2,WES,hairfollicle04-c6-t3; hairfollicle05-e5-t3,0.041
Cyp2c39,Skin papilloma,1,1,WES,skin04-c5-t2,0.035
Cyp2c50,Morphologically normal,1,1,WES,hairfollicle05-c7-t2,0.094
Cyp2c65,Morphologically normal,1,1,WES,hairfollicle05-e5-t3,0.03
Cyp2c68,Morphologically normal,1,1,WES,hairfollicle05-b5-t3,0.054
Cyp2d10,Morphologically normal,2,2,WES,hairfollicle05-b5-t3; hairfollicle05-c7-t2,0.097
Cyp2d10,HF papilloma,1,1,WES,hairfollicle04-c5-t3,0.021
Cyp2d11,Morphologically normal,2,2,WES,hairfollicle05-b5-t3; hairfollicle05-e5-t3,0.086
Cyp2d12,Morphologically normal,1,1,WES,hairfollicle04-c6-t3,0.118
Cyp2d40,HF papilloma,1,1,WES,hairfollicle04-c2-t3,0.031
Cyp2j11,HF papilloma,1,1,WES,hairfollicle04-c4-t3,0.043
Cyp2j7,HF papilloma,1,1,WES,hairfollicle04-c5-t3,0.057
Cyp2j9,Morphologically normal,1,1,WES,hairfollicle05-b1-t3,0.13
Cyp2u1,Morphologically normal,1,2,WES,hairfollicle05-c7-t2,0.266
Cyp3a44,Morphologically normal,6,2,WES,hairfollicle04-c6-t3; hairfollicle05-b1-t3; hairfollicle05-b5-t3; hairfollicle05-c7-t2; skin05-c7-t2; skin05-e5-t2,0.185
Cyp3a44,Skin papilloma,3,2,WES,skin04-c2-t2; skin04-c4-t2; skin04-c5-t2,0.037
Cyp4a12a,Morphologically normal,1,1,WES,hairfollicle05-e5-t3,0.024
Cyp4a12b,Skin papilloma,1,1,WES,skin04-c5-t2,0.051
Cyp4a29,Skin papilloma,1,1,WES,skin04-c5-t2,0.039
Cyp4a31,Morphologically normal,1,1,WES,hairfollicle05-b5-t3,0.133
Cyp4a32,Morphologically normal,1,1,WES,hairfollicle05-e5-t3,0.039
Cyp4f15,Morphologically normal,1,1,WES,hairfollicle05-b5-t3,0.082
Cyp4f15,HF papilloma,1,1,WES,hairfollicle04-c5-t3,0.051
Cyp4x1,Skin papilloma,1,1,WES,skin04-c5-t2,0.055
Cyp51,Morphologically normal,1,1,WES,hairfollicle05-b1-t3,0.143
Cyp8b1,Skin papilloma,1,1,WES,skin04-c4-t2,0.052
Cypt15,Morphologically normal,1,1,WES,hairfollicle05-e5-t3,0.033
Cyth1,HF papilloma,1,1,WES,hairfollicle04-c5-t3,0.04
Cytip,Morphologically normal,1,1,WES,hairfollicle05-e5-t3,0.023
D130043K22Rik,Morphologically normal,1,1,WES,hairfollicle05-c7-t2,0.158
D130043K22Rik,Skin papilloma,1,1,WES,skin04-c5-t2,0.071
