gene_symbol,group,n_samples,n_mutations,datasets,samples,max_gt_AF
Tnfrsf11a,Morphologically normal,1,1,WES,hairfollicle05-b5-t3,0.04
Tnfrsf14,HF papilloma,1,1,WES,hairfollicle04-c5-t3,0.058
Tnfrsf17,Morphologically normal,1,1,WES,hairfollicle05-c7-t2,0.085
Tnfrsf1b,Morphologically normal,1,1,WES,hairfollicle05-c7-t2,0.12
Tnfrsf21,Morphologically normal,1,1,WES,hairfollicle05-e5-t3,0.02
Tnfrsf26,Morphologically normal,1,1,WES,skin04-c6-t2,0.088
Tnfrsf8,HF papilloma,2,2,WES,hairfollicle04-c2-t3; hairfollicle04-c4-t3,0.08
Tnfsf15,Morphologically normal,1,1,WES,skin04-c6-t2,0.054
Tnfsf18,HF papilloma,1,1,WES,hairfollicle04-c4-t3,0.044
Tnik,Morphologically normal,1,1,WES,skin04-c6-t2,0.063
Tnip1,HF papilloma,1,1,WES,hairfollicle04-c2-t3,0.027
Tnk2,Morphologically normal,1,1,WES,hairfollicle05-b5-t3,0.075
Tnks,Morphologically normal,2,2,WES,hairfollicle04-c6-t3; hairfollicle05-e5-t3,0.036
Tnn,Morphologically normal,1,1,WES,hairfollicle04-c6-t3,0.049
Tnn,Skin papilloma,1,1,WES,skin04-c2-t2,0.042
Tnni3,Morphologically normal,1,1,WES,hairfollicle04-c6-t3,0.055
Tnni3k,Morphologically normal,1,1,WES,hairfollicle04-c6-t3,0.047
Tnnt3,Morphologically normal,1,1,WES,hairfollicle05-b5-t3,0.051
Tnp2,HF papilloma,1,1,WES,hairfollicle04-c5-t3,0.027
Tnpo2,Morphologically normal,1,1,WES,hairfollicle05-c7-t2,0.071
Tnpo3,Morphologically normal,1,1,WES,skin05-e5-t2,0.056
Tnr,Morphologically normal,2,2,TES,hairfollicle21-c5-w14; hairfollicle21-d1-w8,0.325
Tnr,HF papilloma,1,1,WES,hairfollicle04-c5-t3,0.041
Tnr,HF SCC,3,1,TES,hairfollicle21-b6-w14; hairfollicle21-e3-w14; hairfollicle21-f6-w19,0.666
Tnr,Skin papilloma,1,1,WES,skin04-c5-t2,0.043
Tnrc6a,Morphologically normal,1,2,WES,hairfollicle05-c7-t2,0.136
Tnrc6a,HF papilloma,1,1,WES,hairfollicle04-c5-t3,0.032
Tnrc6b,Morphologically normal,1,1,WES,skin04-c6-t2,0.065
Tnrc6c,Morphologically normal,2,2,WES,hairfollicle05-b5-t3; skin05-b1-t2,0.05
Tns1,Morphologically normal,1,1,WES,skin05-b5-t2,0.03
Tns1,Skin papilloma,1,1,WES,skin04-c5-t2,0.083
Tns3,Morphologically normal,1,1,WES,skin05-c7-t2,0.077
Tns4,Morphologically normal,1,1,WES,hairfollicle05-c7-t2,0.136
Tnxb,Morphologically normal,2,5,WES,hairfollicle05-c7-t2; skin04-c6-t2,0.115
Tnxb,HF papilloma,1,1,WES,hairfollicle04-c4-t3,0.088
Tnxb,Skin papilloma,1,1,WES,skin04-c4-t2,0.013
Tob1,Morphologically normal,3,4,TES,hairfollicle21-g4-w8; hairfollicle21-g6-w8; skin21-c6-w19,0.375
Tob1,HF SCC,1,1,TES,hairfollicle21-c7-w8,0.282
Tonsl,Morphologically normal,1,1,WES,hairfollicle05-e5-t3,0.021
Tonsl,Skin papilloma,1,1,WES,skin04-c5-t2,0.063
Top1mt,Morphologically normal,1,1,WES,hairfollicle05-c7-t2,0.097
Topors,Skin papilloma,1,1,WES,skin04-c5-t2,0.05
Tor1aip2,Morphologically normal,1,1,WES,hairfollicle05-e5-t3,0.032
Tor4a,Skin papilloma,1,1,WES,skin04-c5-t2,0.041
Tpp1,Morphologically normal,1,1,WES,hairfollicle05-b1-t3,0.105
Tpsab1,HF papilloma,1,1,WES,hairfollicle04-c5-t3,0.035
Tpsab1,Skin papilloma,1,1,WES,skin04-c4-t2,0.045
Trabd,Morphologically normal,1,1,WES,skin05-b5-t2,0.075
Trabd2b,Morphologically normal,1,1,WES,hairfollicle04-c6-t3,0.042
Traf6,Morphologically normal,1,1,WES,hairfollicle05-c7-t2,0.114
Traf6,HF papilloma,1,1,WES,hairfollicle04-c2-t3,0.032
Traf7,HF papilloma,1,1,WES,hairfollicle04-c2-t3,0.023
Traj19,Morphologically normal,1,1,WES,hairfollicle05-c7-t2,0.156
Traj57,Morphologically normal,1,1,WES,hairfollicle05-e5-t3,0.067
Trak2,Morphologically normal,1,3,WES,hairfollicle05-c7-t2,0.115
Trank1,Morphologically normal,1,1,WES,hairfollicle05-c7-t2,0.088
