gene_symbol,row_label,gene_label,candidate_group,lollipop_order,mutation_type,n_mutations,total_mutations
Huwe1,Huwe1 / HUWE1,Huwe1 / HUWE1,Predisposition,25,Splice,0,7
Ptch1,Ptch1 / PTCH1,Ptch1 / PTCH1,Predisposition,26,Missense,1,7
Ptch1,Ptch1 / PTCH1,Ptch1 / PTCH1,Predisposition,26,Deletion,3,7
Ptch1,Ptch1 / PTCH1,Ptch1 / PTCH1,Predisposition,26,Stop gain/loss,0,7
Ptch1,Ptch1 / PTCH1,Ptch1 / PTCH1,Predisposition,26,DBS,2,7
Ptch1,Ptch1 / PTCH1,Ptch1 / PTCH1,Predisposition,26,Splice,1,7
Erbb2,Erbb2 / ERBB2,Erbb2 / ERBB2,Predisposition,27,Missense,4,5
Erbb2,Erbb2 / ERBB2,Erbb2 / ERBB2,Predisposition,27,Deletion,0,5
Erbb2,Erbb2 / ERBB2,Erbb2 / ERBB2,Predisposition,27,Stop gain/loss,1,5
Erbb2,Erbb2 / ERBB2,Erbb2 / ERBB2,Predisposition,27,DBS,0,5
Erbb2,Erbb2 / ERBB2,Erbb2 / ERBB2,Predisposition,27,Splice,0,5
Csmd2,Csmd2 / CSMD2,Csmd2 / CSMD2,Predisposition,28,Missense,6,7
Csmd2,Csmd2 / CSMD2,Csmd2 / CSMD2,Predisposition,28,Deletion,0,7
Csmd2,Csmd2 / CSMD2,Csmd2 / CSMD2,Predisposition,28,Stop gain/loss,0,7
Csmd2,Csmd2 / CSMD2,Csmd2 / CSMD2,Predisposition,28,DBS,0,7
Csmd2,Csmd2 / CSMD2,Csmd2 / CSMD2,Predisposition,28,Splice,1,7
Lrp1b,Lrp1b / LRP1B,Lrp1b / LRP1B,Predisposition,29,Missense,6,6
Lrp1b,Lrp1b / LRP1B,Lrp1b / LRP1B,Predisposition,29,Deletion,0,6
Lrp1b,Lrp1b / LRP1B,Lrp1b / LRP1B,Predisposition,29,Stop gain/loss,0,6
Lrp1b,Lrp1b / LRP1B,Lrp1b / LRP1B,Predisposition,29,DBS,0,6
Lrp1b,Lrp1b / LRP1B,Lrp1b / LRP1B,Predisposition,29,Splice,0,6
Psme4,Psme4 / PSME4,Psme4 / PSME4,Predisposition,30,Missense,3,6
Psme4,Psme4 / PSME4,Psme4 / PSME4,Predisposition,30,Deletion,0,6
Psme4,Psme4 / PSME4,Psme4 / PSME4,Predisposition,30,Stop gain/loss,1,6
Psme4,Psme4 / PSME4,Psme4 / PSME4,Predisposition,30,DBS,1,6
Psme4,Psme4 / PSME4,Psme4 / PSME4,Predisposition,30,Splice,1,6
