sample_name,tissue,treatment,unique_pct,non_duplicate_mapped_reads,on_target_ratio,coverage,qcBasesMapped
hairfollicle21-f7-w17,Hair follicle,DT,1.3416465140001492,1308365,0.14677424932714594,7.8,100917130
hairfollicle21-f7-w19,Hair follicle,DT,0.8022613249944461,1937034,0.20443514137225124,23.74,220637747
hairfollicle21-b7-w14,Hair follicle,DT,2.3601861513125195,2634185,0.10162307934891791,6.23,116432262
hairfollicle21-f7-w8,Hair follicle,DT,1.2070509434181433,1392432,0.2122246936474876,15.44,138205901
hairfollicle21-g1-w14,Hair follicle,DT,3.5000504909032952,4982405,0.10527853105087127,37.4,675011204
hairfollicle21-b7-w17,Hair follicle,DT,1.804720375554482,994162,0.38269467579391875,22.2,110233543
hairfollicle21-b7-w8,Hair follicle,DT,1.0593200982073483,2568165,0.19783037421732352,31.37,301305693
hairfollicle21-g1-w17,Hair follicle,DT,3.7903110293597906,3878537,0.2550507766683618,67.83,505259026
hairfollicle21-g1-w8,Hair follicle,DT,2.1160204029871292,5308600,0.18676507413246177,68.31,694864217
hairfollicle21-c1-w17,Hair follicle,DT,17.225390027489635,17934883,0.1794398003138554,225.18,2384234324
hairfollicle21-c2-w17,Hair follicle,DT,12.287549596957316,11569896,0.08079198198232697,65.04,1529532473
hairfollicle21-g2-w14,Hair follicle,DT,1.9291423844808446,4376798,0.13731119360664498,34.07,471389559
hairfollicle21-c3-w17,Hair follicle,DT,3.906141994487328,3731328,0.28307714313023985,75.1,504017712
hairfollicle21-g2-w17,Hair follicle,DT,1.9111241830641525,3837272,0.17765485202126927,41.75,446518663
hairfollicle21-c5-w14,Hair follicle,DT,4.803098437421382,13760469,0.21966370044768993,200.15,1731125171
hairfollicle21-g2-w19,Hair follicle,DT,2.1217881058627786,3450632,0.12344863519385636,25.68,395202903
hairfollicle21-g2-w8,Hair follicle,DT,0.9358564100427686,1495210,0.2518633650515328,20.14,151948621
hairfollicle21-c5-w17,Hair follicle,DT,3.4076287623847996,4022821,0.3861584423994192,105.88,520958306
hairfollicle21-g3-w14,Hair follicle,DT,1.2557296917338803,2136510,0.2332563412926677,33.43,272257147
hairfollicle21-c5-w8,Hair follicle,DT,3.204509851789083,7278015,0.24360168850943698,125.86,981655396
hairfollicle21-g3-w17,Hair follicle,DT,5.388997769506841,4222518,0.30601549836030756,95.72,594299256
hairfollicle21-c6-w14,Hair follicle,DT,25.522482818798657,104599471,0.03885952980870241,287.54,14058413488
hairfollicle21-g3-w8,Hair follicle,DT,1.3266124171314846,1129946,0.20027141448474525,12.37,117357038
hairfollicle21-c6-w17,Hair follicle,DT,2.3196798362520283,1833169,0.23512660756281276,28.88,233346092
hairfollicle21-g4-w14,Hair follicle,DT,0.7502979914930298,1643445,0.1251872215908387,15.3,232128676
hairfollicle21-c6-w8,Hair follicle,DT,2.7562773606062425,7244065,0.12406643454951874,60.44,925507954
hairfollicle21-g4-w17,Hair follicle,DT,2.7006335634178313,2522557,0.22546839329647114,36.53,307833985
hairfollicle21-c7-w14,Hair follicle,DT,1.2021327682210086,657075,0.659697003598933,35.5,102246693
hairfollicle21-g4-w8,Hair follicle,DT,1.1139434255279768,2199392,0.23668859091314468,34.01,272978595
hairfollicle21-c7-w17,Hair follicle,DT,1.1079635862575588,1248110,0.3177386152910139,21.2,126743512
hairfollicle21-g5-w17,Hair follicle,DT,4.18735996429956,3753142,0.2315373588932243,59.22,485951682
hairfollicle21-c7-w8,Hair follicle,DT,1.4903222568398504,3868794,0.16081176080817813,39.34,464738130
hairfollicle21-g6-w14,Hair follicle,DT,2.17985430347054,4617194,0.22719896981494336,66.24,553964937
hairfollicle21-g6-w17,Hair follicle,DT,1.0854428161310188,2152999,0.19799002900245416,13.18,126430680
hairfollicle21-d1-w14,Hair follicle,DT,0.5850031165308115,696694,0.3142643946551647,14.37,86895100
hairfollicle21-g6-w19,Hair follicle,DT,1.3219427691608756,2056643,0.20926200545356097,25.48,231316750
hairfollicle21-g6-w8,Hair follicle,DT,1.0029617889685694,1393180,0.20467517860579543,11.87,110166358
hairfollicle21-d1-w17,Hair follicle,DT,31.698270330070685,37068067,0.7916924692857111,2106.89,5056167933
hairfollicle21-g7-w14,Hair follicle,DT,0.8250749964197351,2259628,0.17669518512715923,9.92,106657230
hairfollicle21-d1-w8,Hair follicle,DT,6.449551091806052,32866436,0.1032687971210025,155.52,2861276535
hairfollicle21-g7-w17,Hair follicle,DT,0.5735325614627961,1302274,0.2510184888208685,15.14,114608769
hairfollicle21-g7-w19,Hair follicle,DT,0.9268190844478863,2401477,0.16035321827053556,15.28,181053828
hairfollicle21-d2-w14,Hair follicle,DT,3.1440308630026585,4546898,0.19087567796407834,62.4,621096513
hairfollicle21-g7-w8,Hair follicle,DT,1.1259866919203074,1160311,0.18276563366030574,8.43,87599751
hairfollicle21-d2-w17,Hair follicle,DT,3.2662451807783515,1398909,0.41414221730615486,37.92,173945722
hairfollicle21-d2-w8,Hair follicle,DT,1.6812957813288072,6295378,0.1534330997313466,56.96,705354589
skin19-a3-w19,Skin,Acetone,43.43205134093737,143928314,0.30136082201073605,2750.16,17338346392
skin19-a4-w19,Skin,Acetone,33.95238919396779,63142345,0.8098464427468341,3690.72,8658543394
hairfollicle21-d3-w14,Hair follicle,DT,6.145431931672497,12795658,0.1742242459208028,159.96,1744346290
skin19-b3-w19,Skin,Acetone,34.8607525948636,95440693,0.3609429852924728,2302.81,12121464811
skin19-b4-w19,Skin,Acetone,37.57322863716618,55431549,0.8428174756434539,3357.66,7569021670
hairfollicle21-d3-w17,Hair follicle,DT,1.8410968401611398,1666372,0.23844490769881063,27.93,222559754
skin21-b5-w19,Skin,DT,21.092256901243765,135520574,0.7807853465200694,7496.5,18241604074
hairfollicle21-d3-w8,Hair follicle,DT,1.3773807738028019,3194944,0.1955789863468737,40.43,392783813
skin21-b6-w19,Skin,DT,17.561070318569627,139837819,0.7331723394403115,7024.02,18201843219
hairfollicle21-d4-w14,Hair follicle,DT,1.3455836321022359,3175125,0.09908713761265084,19.37,371457193
skin21-b7-w19,Skin,DT,29.440786420977545,149294109,0.563168952179965,5853.57,19747763679
hairfollicle21-d4-w17,Hair follicle,DT,8.742141147402407,8982471,0.3428512067821154,209.92,1163293922
hairfollicle21-d4-w8,Hair follicle,DT,2.1929971462346924,6734807,0.14674979655627762,63.28,819302744
skin21-c5-w19,Skin,DT,25.075351875910982,140118726,0.6956925620450016,6922.28,18904607507
hairfollicle21-d5-w17,Hair follicle,DT,2.368944813569954,2071309,0.23486518275652496,32.14,259997639
skin21-c6-w19,Skin,DT,36.980058476085944,71888784,0.7548810369307957,3819.7,9613624864
hairfollicle21-d6-w17,Hair follicle,DT,6.157762450120433,8463247,0.31843122211236685,196.19,1170579350
skin21-c7-w19,Skin,DT,40.570482979107375,90259025,0.5941787806910375,3688.53,11794295311
hairfollicle21-d7-w17,Hair follicle,DT,1.4562849074741397,768868,0.38696283317835795,17.89,87815015
skin21-d1-w19,Skin,DT,12.913261970419372,106504945,0.7933423915982994,6182.95,14807136595
hairfollicle21-e1-w14,Hair follicle,DT,9.196428248029685,15335558,0.21444084140692332,202.72,1796090094
hairfollicle21-e1-w17,Hair follicle,DT,1.1188483165203165,2566888,0.19193555775580637,29.66,293612990
skin21-d2-w19,Skin,DT,29.819312551860676,70792632,0.7376247970078558,3736.29,9623686462
hairfollicle21-e1-w19,Hair follicle,DT,2.77520236152435,3820839,0.35083564357301744,81.9,443548855
skin21-d3-w19,Skin,DT,16.469846381921677,120082303,0.7456532565401014,6377.67,16250296665
hairfollicle21-e1-w8,Hair follicle,DT,3.5424920008953493,4944577,0.2883656843099048,91.53,603055417
hairfollicle21-e2-w14,Hair follicle,DT,4.55017682312941,12657178,0.14110176567797134,122.58,1650538800
skin21-d4-w19,Skin,DT,20.346810881093845,153115438,0.6246404706126747,6750.26,20531762869
hairfollicle21-e2-w17,Hair follicle,DT,2.4136010104299452,330193,0.1850227322632207,3.87,39775626
skin21-e1-w19,Skin,DT,27.222607186470675,55001452,0.8282477820839355,3314.5,7603144465
hairfollicle21-e2-w8,Hair follicle,DT,2.3966246257723127,6233805,0.14725765407252647,62.9,811491788
skin21-e2-w19,Skin,DT,36.63169698941493,66333000,0.7768555204109047,3700.77,9050823519
skin21-e3-w19,Skin,DT,36.52764247463998,57613993,0.7636795160431334,3269.73,8134621806
hairfollicle21-e3-w14,Hair follicle,DT,1.6659582461765952,5606612,0.2976574328846744,108.63,693392300
skin21-e4-w19,Skin,DT,36.328286257140036,66705390,0.8132252835274851,3921.83,9162493095
skin21-f1-w19,Skin,DT,22.630019745992584,130842615,0.6679814228588599,6060.79,17238545672
hairfollicle21-e3-w17,Hair follicle,DT,4.356008575716208,3088622,0.20314501224795015,42.16,394337415
hairfollicle21-e3-w8,Hair follicle,DT,1.2217336197087296,2757527,0.24088040969915347,44.83,353557577
skin21-f2-w19,Skin,DT,63.37175824968116,27230207,0.7764945369606936,564.29,1380708627
skin21-f3-w19,Skin,DT,29.48634379365947,61301325,0.826667949858187,3711.66,8530480311
hairfollicle21-e4-w14,Hair follicle,DT,13.630312121236035,56859697,0.0754790992026305,302.55,7615538713
skin21-f4-w19,Skin,DT,60.968832200990704,31202343,0.8173682505132969,680.91,1582727931
skin21-f6-w19,Skin,DT,57.81432584826368,36522866,0.774624720172427,754.95,1851672869
hairfollicle21-e4-w17,Hair follicle,DT,2.044810464254483,2051364,0.3645600651479944,47.62,248184463
skin21-f7-w19,Skin,DT,55.60670826864652,38733843,0.7840308484970187,809.84,1962465269
hairfollicle21-e4-w8,Hair follicle,DT,1.99983282975118,4920560,0.13294997367433517,42.71,610379647
skin21-g1-w19,Skin,DT,19.825725349232478,107147342,0.8047292824826119,6090.42,14379159936
hairfollicle21-e5-w17,Hair follicle,DT,6.207480879886253,4853080,0.3041882831606315,106.36,664294436
skin21-g2-w19,Skin,DT,60.549323251774894,40716809,0.6223784294595113,674.93,2060344998
hairfollicle21-e6-w17,Hair follicle,DT,3.758530104333957,3220664,0.24564821499533251,55,425402277
skin21-g3-w19,Skin,DT,19.93880544026393,134779214,0.7345875449145001,6722.06,17385798532
hairfollicle21-e7-w17,Hair follicle,DT,0.5917745216612368,353779,0.25235018659480934,4.87,36651877
hairfollicle21-f1-w14,Hair follicle,DT,8.345643810872517,21675404,0.1688770194157063,272.73,3068326388
skin21-g4-w19,Skin,DT,20.79694743310433,137726856,0.6801140363662639,6537.05,18261478055
hairfollicle21-f1-w17,Hair follicle,DT,2.3822089859398057,2449941,0.31577486852475883,51.85,311976990
skin21-g6-w19,Skin,DT,63.012975026613326,53785774,0.3999933583413466,571.6,2715044681
hairfollicle21-f1-w8,Hair follicle,DT,4.226789050408115,15092429,0.07558054162192654,71.72,1802779526
skin21-g7-w19,Skin,DT,56.97984901293627,37744346,0.6847466565228036,688.61,1910630423
skin21-pp-bc-w19,Skin,DT,19.42550436126904,120241532,0.8188504141822522,6975.38,16184501542
hairfollicle21-f2-w14,Hair follicle,DT,4.961017917457792,9192340,0.1964758117041137,112.58,1088622763
hairfollicle21-f2-w17,Hair follicle,DT,0.4195618376619311,2368620,0.3037558016176835,37.35,233623202
hairfollicle21-f2-w19,Hair follicle,DT,0.7821653684749452,1956896,0.24748121363577105,25.99,199553248
hairfollicle21-f2-w8,Hair follicle,DT,3.4058473509401,4001991,0.2613653961476587,62.99,457913889
skin21-pp-de-w19,Skin,DT,14.802572122488264,99471310,0.8183572417736136,5450.79,12654708189
